stage,report_id,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
raw,SRR30333743_1,SRR30333743_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50095819,0,151,53,12.0,35.49808739527744,49.21006681216251,29.943572650157062,SRR30333743,1
raw,SRR30333743_2,SRR30333743_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50095819,0,151,53,12.0,33.417361157425134,49.426148717121485,28.14723686649015,SRR30333743,2
raw,SRR30333744_1,SRR30333744_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45278477,0,151,53,24.0,36.456478715041584,39.1587309794011,36.25352351978061,SRR30333744,1
raw,SRR30333744_2,SRR30333744_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45278477,0,151,54,12.0,34.556082087301654,39.21893397606991,35.78551104540189,SRR30333744,2
raw,SRR30333745_1,SRR30333745_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47813388,0,151,53,18.0,35.8555364660626,44.901971807561516,33.544724717816976,SRR30333745,1
raw,SRR30333745_2,SRR30333745_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47813388,0,151,54,12.0,34.24120332154668,45.10398635629,32.200552232663874,SRR30333745,2
raw,SRR30333746_1,SRR30333746_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42216035,0,151,53,24.0,36.27152564185623,40.59551068687526,37.923483549343906,SRR30333746,1
raw,SRR30333746_2,SRR30333746_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42216035,0,151,53,18.0,34.71016868353459,40.82067394533854,35.493345479226285,SRR30333746,2
raw,SRR30333747_1,SRR30333747_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41136868,0,151,51,24.0,36.95992718745627,34.01490118304583,41.44198204299306,SRR30333747,1
raw,SRR30333747_2,SRR30333747_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41136868,0,151,52,18.0,34.75794802851787,34.098244912568454,41.222690402451654,SRR30333747,2
raw,SRR30333748_1,SRR30333748_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65409634,0,151,52,24.0,36.85897679843309,30.761641320298473,34.688768667404574,SRR30333748,1
raw,SRR30333748_2,SRR30333748_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65409634,0,151,53,18.0,35.419622008586686,30.874406054618806,34.54142539757339,SRR30333748,2
raw,SRR30333749_1,SRR30333749_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53414494,0,151,51,24.0,37.539621212175106,26.30556792319328,23.467360972382345,SRR30333749,1
raw,SRR30333749_2,SRR30333749_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53414494,0,151,52,18.0,35.650989261454015,26.28906491185707,22.570908881387485,SRR30333749,2
raw,SRR30333750_1,SRR30333750_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52941542,0,151,52,24.0,36.538165473155274,34.837606354571236,37.84809371566401,SRR30333750,1
raw,SRR30333750_2,SRR30333750_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52941542,0,151,52,18.0,35.11986830682038,34.942684517953786,36.954291966211265,SRR30333750,2
raw,SRR30333751_1,SRR30333751_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,55234926,0,151,52,24.0,36.481877770597535,36.27424249649579,36.66674194827691,SRR30333751,1
raw,SRR30333751_2,SRR30333751_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,55234926,0,151,52,18.0,34.94054359736084,36.46513982837598,35.61540352571399,SRR30333751,2
raw,SRR30333752_1,SRR30333752_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59339030,0,151,52,24.0,36.839747751185016,31.881148040337028,36.519360198615985,SRR30333752,1
raw,SRR30333752_2,SRR30333752_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59339030,0,151,52,18.0,35.08939124889638,31.88928096734982,35.78575638611787,SRR30333752,2
raw,SRR30333753_1,SRR30333753_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40311762,0,151,53,18.0,35.63532551616077,46.60071668412807,36.35170987156243,SRR30333753,1
raw,SRR30333753_2,SRR30333753_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40311762,0,151,53,12.0,33.984904256975916,46.70125309828928,34.50516533258807,SRR30333753,2
raw,SRR30333754_1,SRR30333754_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51091830,0,151,52,24.0,36.15852959269613,44.903234039571494,30.81598804849176,SRR30333754,1
raw,SRR30333754_2,SRR30333754_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51091830,0,151,54,12.0,34.18515449534691,45.12508359947177,30.060343209006234,SRR30333754,2
raw,SRR30333755_1,SRR30333755_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40136901,0,151,53,12.0,35.19190579761003,48.3304079704609,33.86979369755573,SRR30333755,1
raw,SRR30333755_2,SRR30333755_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40136901,0,151,53,12.0,33.31705190692226,48.651812953870056,31.754791510829094,SRR30333755,2
raw,SRR30333756_1,SRR30333756_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49776986,0,151,52,24.0,37.15798377185794,32.438540975542395,29.739155761704428,SRR30333756,1
raw,SRR30333756_2,SRR30333756_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49776986,0,151,53,18.0,34.93266500707777,32.52772676915392,28.968642135665114,SRR30333756,2
