module_key,module,status,srr_count
adapter_content,Adapter Content,fail,46
basic_statistics,Basic Statistics,pass,46
overrepresented_sequences,Overrepresented sequences,fail,4
overrepresented_sequences,Overrepresented sequences,pass,18
overrepresented_sequences,Overrepresented sequences,warn,24
per_base_n_content,Per base N content,pass,46
per_base_sequence_content,Per base sequence content,fail,46
per_base_sequence_quality,Per base sequence quality,pass,46
per_sequence_gc_content,Per sequence GC content,pass,8
per_sequence_gc_content,Per sequence GC content,warn,38
per_sequence_quality_scores,Per sequence quality scores,pass,46
per_tile_sequence_quality,Per tile sequence quality,fail,28
per_tile_sequence_quality,Per tile sequence quality,pass,18
sequence_duplication_levels,Sequence Duplication Levels,fail,46
sequence_length_distribution,Sequence Length Distribution,pass,26
sequence_length_distribution,Sequence Length Distribution,warn,20
