report_id,severity_raw,severity_trimmed,severity_delta
SRR30333743_1,13,14,1
SRR30333743_2,12,13,1
SRR30333744_1,12,13,1
SRR30333744_2,12,13,1
SRR30333745_1,12,13,1
SRR30333745_2,12,13,1
SRR30333746_1,12,13,1
SRR30333746_2,11,12,1
SRR30333747_1,12,13,1
SRR30333747_2,11,12,1
SRR30333748_1,12,13,1
SRR30333748_2,12,13,1
SRR30333749_1,12,13,1
SRR30333749_2,11,12,1
SRR30333750_1,12,13,1
SRR30333750_2,11,12,1
SRR30333751_1,12,13,1
SRR30333751_2,12,13,1
SRR30333752_1,12,13,1
SRR30333752_2,12,13,1
SRR30333753_1,12,13,1
SRR30333753_2,12,13,1
SRR30333754_1,12,13,1
SRR30333754_2,14,15,1
SRR30333755_1,12,13,1
SRR30333755_2,12,13,1
SRR30333756_1,13,14,1
SRR30333756_2,14,15,1
SRR30333757_1,10,11,1
SRR30333757_2,8,9,1
SRR30333758_1,10,11,1
SRR30333758_2,8,9,1
SRR30333759_1,10,11,1
SRR30333759_2,8,9,1
SRR30333760_1,10,11,1
SRR30333760_2,8,9,1
SRR30333761_1,10,11,1
SRR30333761_2,8,9,1
SRR30333762_1,10,11,1
SRR30333762_2,8,9,1
SRR30333763_1,10,11,1
SRR30333763_2,8,9,1
SRR30333764_1,10,11,1
SRR30333764_2,8,9,1
SRR30333765_1,10,11,1
SRR30333765_2,8,9,1
SRR30333766_1,10,11,1
SRR30333766_2,8,9,1
SRR30333767_1,10,11,1
SRR30333767_2,8,9,1
SRR30333768_1,10,11,1
SRR30333768_2,8,9,1
