sample,raw,trimmed,severity_delta
SRR30333743,13,14,1
SRR30333766,10,11,1
SRR30333765,10,11,1
SRR30333764,10,11,1
SRR30333763,10,11,1
SRR30333762,10,11,1
SRR30333761,10,11,1
SRR30333760,10,11,1
SRR30333759,10,11,1
SRR30333758,10,11,1
SRR30333757,10,11,1
SRR30333756,14,15,1
SRR30333755,12,13,1
SRR30333754,14,15,1
SRR30333753,12,13,1
SRR30333752,12,13,1
SRR30333751,12,13,1
SRR30333750,12,13,1
SRR30333749,12,13,1
SRR30333748,12,13,1
SRR30333747,12,13,1
SRR30333746,12,13,1
SRR30333745,12,13,1
SRR30333744,12,13,1
SRR30333767,10,11,1
SRR30333768,10,11,1
