stage,report_id,Adapter Content,Basic Statistics,Overrepresented sequences,Per base N content,Per base sequence content,Per base sequence quality,Per sequence GC content,Per sequence quality scores,Per tile sequence quality,Sequence Duplication Levels,Sequence Length Distribution
raw,SRR30333743_1,fail,pass,warn,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333743_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333744_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333744_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333745_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333745_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333746_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333746_2,fail,pass,warn,pass,warn,pass,pass,pass,fail,fail,pass
raw,SRR30333747_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333747_2,fail,pass,warn,pass,warn,pass,pass,pass,fail,fail,pass
raw,SRR30333748_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333748_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333749_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333749_2,fail,pass,warn,pass,warn,pass,pass,pass,fail,fail,pass
raw,SRR30333750_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333750_2,fail,pass,warn,pass,warn,pass,pass,pass,fail,fail,pass
raw,SRR30333751_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333751_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333752_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333752_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333753_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333753_2,fail,pass,warn,pass,warn,pass,warn,pass,fail,fail,pass
raw,SRR30333754_1,fail,pass,pass,pass,fail,pass,pass,pass,fail,fail,pass
raw,SRR30333754_2,fail,pass,fail,pass,warn,pass,warn,pass,fail,fail,pass
