stage,srr,severity,fail_total,warn_total,fail_modules,warn_modules
trimmed,SRR30333756,29,8,5,"adapter_content, overrepresented_sequences, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333754,28,8,4,"adapter_content, overrepresented_sequences, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333743,27,7,6,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
raw,SRR30333756,27,8,3,"adapter_content, overrepresented_sequences, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels",per_sequence_gc_content
trimmed,SRR30333748,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333745,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333744,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333751,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333752,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
trimmed,SRR30333753,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
raw,SRR30333754,26,8,2,"adapter_content, overrepresented_sequences, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels",per_sequence_gc_content
trimmed,SRR30333755,26,7,5,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content, sequence_length_distribution"
raw,SRR30333743,25,7,4,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content"
trimmed,SRR30333750,25,7,4,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, sequence_length_distribution"
trimmed,SRR30333747,25,7,4,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, sequence_length_distribution"
trimmed,SRR30333746,25,7,4,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, sequence_length_distribution"
trimmed,SRR30333749,25,7,4,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, sequence_length_distribution"
raw,SRR30333755,24,7,3,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content"
raw,SRR30333753,24,7,3,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content"
raw,SRR30333744,24,7,3,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content"
raw,SRR30333752,24,7,3,"adapter_content, per_base_sequence_content, per_tile_sequence_quality, sequence_duplication_levels","overrepresented_sequences, per_sequence_gc_content"
