Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR30333743_1	(1, 0.0022258248449952287)	(2, 0.06881491288618706)	(3, 0.2697683209262336)	(4, 0.08691443762204261)	(5, 0.0032139342988902375)	(6, 0.0019370245870718441)	(7, 0.07737990339260058)	(8, 0.03907673775601911)	(9, 0.0)	(10, 0.11326828630114552)	(15, 4.125717970334066e-07)	(20, 0.052847146625603116)	(25, 0.008035248319022626)	(30, 0.0090586463182416)	(35, 0.09271404117555468)	(40, 0.1046458382030229)	(45, 0.004819302600624269)	(50, 0.018673503415715834)	(55, 0.040971086076103266)	(60, 0.031520911333755924)	(65, 0.025779365321522262)	(70, 0.029435085983634125)	(75, 0.01970060170892906)	(80, 0.0053827128349781634)	(85, 0.02292919217422092)	(90, 0.022501715098738877)	(95, 0.042210900005463965)	(100, 0.10267132211574964)	(105, 0.009414278021278933)	(110, 0.02219470834196041)	(115, 0.041602538817184884)	(120, 0.0847066320589544)	(125, 0.012937046396560955)	(130, 0.06798091324599663)	(135, 0.07601588148052293)	(140, 0.03336908658108812)	(145, 0.0010566573554346885)	(150, 0.001486881195092557)
fastp | SRR30333743_2	(1, 0.0683115752938063)	(2, 0.04192142029656445)	(3, 0.00015884014185786155)	(4, 0.0010046123257763451)	(5, 0.04627198989628172)	(6, 4.125717970334066e-06)	(7, 0.06894487300225258)	(8, 0.08154894140162315)	(9, 3.5068602747839565e-05)	(10, 0.07626430925342224)	(15, 0.03962133252810321)	(20, 0.07836677513110449)	(25, 0.023134550946851243)	(30, 0.025813459717818857)	(35, 0.021333684562150387)	(40, 0.03461973385833498)	(45, 0.03563307967941551)	(50, 0.11980080394950376)	(55, 0.021985014554608457)	(60, 0.012459471374807084)	(65, 0.0117919098957712)	(70, 0.016681381656011268)	(75, 0.055846619887250634)	(80, 0.07596950432102367)	(85, 0.05307926368691466)	(90, 0.008509185879657098)	(95, 0.004129241791091603)	(100, 0.06821864788405978)	(105, 0.008447078613573047)	(110, 0.027306501814183495)	(115, 0.012699021863990054)	(120, 0.028794058842894932)	(125, 0.009275195591871756)	(130, 0.06821201709935454)	(135, 0.038825603200697806)	(140, 0.06461485497191544)	(145, 0.046187027049051116)	(150, 1.0991063358726628e-05)
fastp | SRR30333744_1	(1, 0.0013749127452598162)	(2, 0.09084064575359346)	(3, 0.3408475260556868)	(4, 0.10827610019932563)	(5, 0.0023665025715573795)	(6, 0.0014690219648852794)	(7, 0.10118806921875416)	(8, 0.04984575154601364)	(9, 0.0)	(10, 0.14315756768616256)	(15, 0.0)	(20, 0.06749191882983403)	(25, 0.010491571245465054)	(30, 0.011422263360712948)	(35, 0.1164437208378222)	(40, 0.1312441754706254)	(45, 0.005932623338662804)	(50, 0.022161011898205886)	(55, 0.051735576226918545)	(60, 0.03965397241834054)	(65, 0.03322703426853924)	(70, 0.036883464439139535)	(75, 0.025936842277108567)	(80, 0.006809304660384845)	(85, 0.028067551040153144)	(90, 0.028226381367370598)	(95, 0.052975739644199445)	(100, 0.12734211495115683)	(105, 0.012028659174726102)	(110, 0.027788650204490513)	(115, 0.051275959568655056)	(120, 0.10662004941562839)	(125, 0.01693100719426475)	(130, 0.08549372762807975)	(135, 0.09627330375156153)	(140, 0.04200822477692747)	(145, 0.0008250797029259729)	(150, 0.0008461768268286793)
fastp | SRR30333744_2	(1, 0.0589284389132809)	(2, 0.04200714215525859)	(3, 0.00020887656063212564)	(4, 0.0007873039593057044)	(5, 0.05628649472330753)	(6, 2.295346820133249e-06)	(7, 0.08687199110158307)	(8, 0.10139465043256615)	(9, 2.295346820133249e-05)	(10, 0.09479461018595499)	(15, 0.04155633603978442)	(20, 0.09713356859567078)	(25, 0.029191302719726607)	(30, 0.03262920686875379)	(35, 0.02598353100668617)	(40, 0.04380714928782572)	(45, 0.04436839856334242)	(50, 0.14951627529336062)	(55, 0.02754993029429897)	(60, 0.015465246740465306)	(65, 0.015360006904119797)	(70, 0.015465049952892294)	(75, 0.06955031143123577)	(80, 0.09605647530233791)	(85, 0.06663952867955159)	(90, 0.010679895183387777)	(95, 0.005377916373507347)	(100, 0.08548950571140743)	(105, 0.010723729827510048)	(110, 0.03349178033179029)	(115, 0.01631276729245273)	(120, 0.035803947889163544)	(125, 0.011505681862547744)	(130, 0.08600661385041199)	(135, 0.04930935388973426)	(140, 0.08314140572274005)	(145, 0.05807557968476434)	(150, 7.281176438122754e-06)
fastp | SRR30333745_1	(1, 0.0020471589356607723)	(2, 0.07233294906001393)	(3, 0.28168863490595925)	(4, 0.08990982960313955)	(5, 0.0030598723794165255)	(6, 0.001940671899729373)	(7, 0.08200805689606676)	(8, 0.040756283099131756)	(9, 0.0)	(10, 0.11808151825999488)	(15, 0.0)	(20, 0.05510725841498046)	(25, 0.008316854826723752)	(30, 0.00962699461970572)	(35, 0.09602017620790321)	(40, 0.10921394288744248)	(45, 0.0050338635602939314)	(50, 0.0191933368057628)	(55, 0.04279370016056944)	(60, 0.03307334782121039)	(65, 0.02652057255452772)	(70, 0.030521190871100726)	(75, 0.020319593545110325)	(80, 0.0056747147400948075)	(85, 0.023728543703228296)	(90, 0.023256114296439815)	(95, 0.04404744796716333)	(100, 0.10669387249038322)	(105, 0.00990856161983565)	(110, 0.02331191360124048)	(115, 0.043123496740575355)	(120, 0.08741435906646781)	(125, 0.013873880309509366)	(130, 0.0706203337383392)	(135, 0.07945533519232535)	(140, 0.03474696869252926)	(145, 0.0011013264114771001)	(150, 0.0012739298683256514)
fastp | SRR30333745_2	(1, 0.06820168670683865)	(2, 0.041942852928081635)	(3, 0.00015212433704485566)	(4, 0.001049657925609504)	(5, 0.048047385253210194)	(6, 4.346409629853019e-06)	(7, 0.07175922298887334)	(8, 0.08546127934698498)	(9, 4.998371074330972e-05)	(10, 0.07937630586519076)	(15, 0.04012170729317322)	(20, 0.08128003328306638)	(25, 0.02405259625064362)	(30, 0.0268750317889222)	(35, 0.02190233079216077)	(40, 0.03614829592666452)	(45, 0.037057183464807034)	(50, 0.12467684324082003)	(55, 0.02291699018907775)	(60, 0.012917854074676854)	(65, 0.012434267644850604)	(70, 0.016744133251971143)	(75, 0.0579577854845733)	(80, 0.07885320502005286)	(85, 0.05532728436450746)	(90, 0.008814132962303085)	(95, 0.00437297679795709)	(100, 0.07146139940051635)	(105, 0.008999904387364116)	(110, 0.028065785138967222)	(115, 0.013190844314454398)	(120, 0.03005963435882075)	(125, 0.009614131450173933)	(130, 0.07083519419995311)	(135, 0.04062251653752972)	(140, 0.06800392371733158)	(145, 0.04795676522284042)	(150, 7.999565250293865e-06)
fastp | SRR30333746_1	(1, 0.0014722339237104927)	(2, 0.08462059911257633)	(3, 0.3321384066335892)	(4, 0.10492769348177312)	(5, 0.0026037856171408713)	(6, 0.0016523088168585531)	(7, 0.09821138665625087)	(8, 0.04702388155666374)	(9, 0.0)	(10, 0.138542809143512)	(15, 4.866889004001629e-07)	(20, 0.06454760210447201)	(25, 0.009814568365469685)	(30, 0.011133145789996905)	(35, 0.11289486017712388)	(40, 0.12764973874740299)	(45, 0.005647490095262042)	(50, 0.022132009134251732)	(55, 0.05000140600165344)	(60, 0.038815685018911555)	(65, 0.03128013733520565)	(70, 0.0361742714678356)	(75, 0.0237973368832266)	(80, 0.006532304672948916)	(85, 0.027644350634888473)	(90, 0.027391271155370916)	(95, 0.05180290579209386)	(100, 0.12445975103706167)	(105, 0.011482281277686983)	(110, 0.026994957178211043)	(115, 0.04984497995544656)	(120, 0.10414706182067296)	(125, 0.01624654838565609)	(130, 0.08371151954110284)	(135, 0.09420785736231589)	(140, 0.040231518871018376)	(145, 0.000884793190050258)	(150, 0.0010809743735084455)
fastp | SRR30333746_2	(1, 0.06103565499918443)	(2, 0.04198421799302005)	(3, 0.00020927622717207008)	(4, 0.0008468386866962834)	(5, 0.05667978934060298)	(6, 4.866889004001629e-06)	(7, 0.08488341111879241)	(8, 0.09970795502498137)	(9, 3.650166753001222e-05)	(10, 0.09296196017653471)	(15, 0.042014879393745264)	(20, 0.09608066265029896)	(25, 0.02842311847226991)	(30, 0.031486187470845195)	(35, 0.025763609351764312)	(40, 0.042763649932747616)	(45, 0.043198599134898416)	(50, 0.14641180955601252)	(55, 0.026823948169405434)	(60, 0.015130891433782476)	(65, 0.014827840138275462)	(70, 0.01634518321541317)	(75, 0.06845381865029403)	(80, 0.09335230176625003)	(85, 0.0647194231009101)	(90, 0.010384106891914352)	(95, 0.005057917947250781)	(100, 0.08422456668961208)	(105, 0.010432446754616544)	(110, 0.032946466302292754)	(115, 0.015984580641458197)	(120, 0.03500796525051067)	(125, 0.011349178345868212)	(130, 0.08339743643155674)	(135, 0.04776779690815646)	(140, 0.08066723383662697)	(145, 0.05612841812659257)	(150, 5.2570005636556e-06)
fastp | SRR30333747_1	(1, 0.0013657450602139291)	(2, 0.10270908684312531)	(3, 0.41071747696911226)	(4, 0.12981659713085292)	(5, 0.0016338357572188856)	(6, 0.0015908400793973362)	(7, 0.11677626096332878)	(8, 0.05895972008093911)	(9, 0.0)	(10, 0.17190177824559322)	(15, 0.006675458355423417)	(20, 0.08148945525943112)	(25, 0.012383261044110076)	(30, 0.01332125377789189)	(35, 0.14216100480077878)	(40, 0.15830676230857743)	(45, 0.00696833981110607)	(50, 0.03731091667809113)	(55, 0.07216287355225898)	(60, 0.04990485614561322)	(65, 0.0505303124152542)	(70, 0.047577710472387576)	(75, 0.030768460190804967)	(80, 0.00969316204788982)	(85, 0.04426150055882255)	(90, 0.03853687487323104)	(95, 0.06365027581503044)	(100, 0.1629268864083335)	(105, 0.014417319991412625)	(110, 0.04058991867732882)	(115, 0.07415370816838747)	(120, 0.13459101771012302)	(125, 0.022661555555919272)	(130, 0.10763489462835933)	(135, 0.11891739400110911)	(140, 0.06086417572843388)	(145, 0.004017053571259684)	(150, 0.0005746898094016415)
fastp | SRR30333747_2	(1, 0.04833978765901635)	(2, 0.06104627503404372)	(3, 0.031063112647310147)	(4, 0.00920107505381162)	(5, 0.06933685338104606)	(6, 0.00026809069700495653)	(7, 0.10400401549280963)	(8, 0.12392113095426277)	(9, 4.046652030263494e-05)	(10, 0.12510022418958078)	(15, 0.04669634110322559)	(20, 0.1324256760273653)	(25, 0.03798086429304559)	(30, 0.04294513300084776)	(35, 0.0353760507429689)	(40, 0.06003741641681349)	(45, 0.05777857165777918)	(50, 0.1896024452136567)	(55, 0.03887755022956289)	(60, 0.023506807546419366)	(65, 0.024927816276536435)	(70, 0.01703271133152309)	(75, 0.08659698918154315)	(80, 0.12251789112169749)	(85, 0.08571436304604806)	(90, 0.01475609015038739)	(95, 0.011560390642460483)	(100, 0.10634992625190116)	(105, 0.016499452499854503)	(110, 0.05279608714447792)	(115, 0.024705166169738273)	(120, 0.04636628738052939)	(125, 0.024158227781234547)	(130, 0.10862907344126749)	(135, 0.06365388792490757)	(140, 0.10941516599454462)	(145, 0.07550928244734965)	(150, 4.5024570500550705e-05)
