Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR30333743_1	(1.0, 16.554091819386375)	(2.0, 10.911876582898627)	(3.0, 8.605851025623352)	(4.0, 6.282334359769283)	(5.0, 4.66311271499227)	(6.0, 3.58232826797597)	(7.0, 2.922457126333186)	(8.0, 2.4941977024788384)	(9.0, 2.123812480582069)	('>10', 24.382481952179518)	('>50', 6.3258252232377465)	('>100', 8.419699532632768)	('>500', 1.6133878505619086)	('>1k', 1.1046248236149945)	('>5k', 0.013918537732951273)	('>10k+', 0.0)
fastp | SRR30333743_2	(1.0, 13.975579402903746)	(2.0, 9.870581661041628)	(3.0, 8.212145907087546)	(4.0, 6.338699132221266)	(5.0, 5.003128791190074)	(6.0, 3.972347039029541)	(7.0, 3.289577528654862)	(8.0, 2.6571935759871264)	(9.0, 2.351372392398402)	('>10', 26.157834620307263)	('>50', 6.403854284011014)	('>100', 8.913655899778504)	('>500', 1.6951356490154514)	('>1k', 1.0872643585198758)	('>5k', 0.023461701747018157)	('>10k+', 0.048168056106610214)
fastp | SRR30333744_1	(1.0, 24.163187857957986)	(2.0, 10.97662822726809)	(3.0, 6.882961485572121)	(4.0, 5.046985046125557)	(5.0, 3.9366925835841013)	(6.0, 3.184394426363378)	(7.0, 2.5606252101991753)	(8.0, 2.283362639002849)	(9.0, 1.9454198565075607)	('>10', 22.925381264993703)	('>50', 6.08907094038439)	('>100', 7.924445473225526)	('>500', 1.3703758916748001)	('>1k', 0.7104690971409057)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333744_2	(1.0, 21.909104727598372)	(2.0, 10.706273978878134)	(3.0, 7.51437531732577)	(4.0, 5.563544765998684)	(5.0, 4.384602372987982)	(6.0, 3.501270366679669)	(7.0, 2.9832792419764225)	(8.0, 2.4495152649500844)	(9.0, 2.0569592607406224)	('>10', 23.42421207992549)	('>50', 5.82930927322884)	('>100', 7.795720728575326)	('>500', 1.2539936318546299)	('>1k', 0.5575514286831164)	('>5k', 0.01912927274513035)	('>10k+', 0.05115828785161925)
fastp | SRR30333745_1	(1.0, 20.700171194478497)	(2.0, 11.579358050723577)	(3.0, 7.824152092167676)	(4.0, 5.346678880946609)	(5.0, 4.014116119744619)	(6.0, 3.2337948443115043)	(7.0, 2.713298249817062)	(8.0, 2.325452589320726)	(9.0, 1.9752771015371329)	('>10', 23.2723434104975)	('>50', 6.11775806869164)	('>100', 8.240507390532839)	('>500', 1.5661674878745104)	('>1k', 1.0779678461060613)	('>5k', 0.012956673249950186)	('>10k+', 0.0)
fastp | SRR30333745_2	(1.0, 18.081050051773122)	(2.0, 10.707350681764991)	(3.0, 7.7090817011375945)	(4.0, 5.824830777648722)	(5.0, 4.504060077697076)	(6.0, 3.4808095406478805)	(7.0, 3.004126697980334)	(8.0, 2.544634774315494)	(9.0, 2.2700471990228746)	('>10', 24.72353653477562)	('>50', 6.064734539495165)	('>100', 8.46111048971899)	('>500', 1.6041085382495122)	('>1k', 0.9346121614102004)	('>5k', 0.026590076912828352)	('>10k+', 0.059316157449295345)
fastp | SRR30333746_1	(1.0, 25.728851969886197)	(2.0, 11.275884879219161)	(3.0, 6.96929016496779)	(4.0, 4.942180204810404)	(5.0, 3.7185906353571228)	(6.0, 3.0907537021964724)	(7.0, 2.523968536881055)	(8.0, 2.2327732406072363)	(9.0, 1.9002334241311942)	('>10', 22.109308295588214)	('>50', 5.64634668882704)	('>100', 7.639363398725962)	('>500', 1.3214742257881535)	('>1k', 0.8714063463876842)	('>5k', 0.029574286626263317)	('>10k+', 0.0)
fastp | SRR30333746_2	(1.0, 21.921108806134377)	(2.0, 11.15277500961373)	(3.0, 7.509931960875517)	(4.0, 5.548910711836606)	(5.0, 4.211725230498984)	(6.0, 3.4728621511730187)	(7.0, 2.910447440514633)	(8.0, 2.470142117327085)	(9.0, 2.0267718064883016)	('>10', 23.23750811783681)	('>50', 5.720955730474739)	('>100', 7.681296893075992)	('>500', 1.3483117638773532)	('>1k', 0.726191089117686)	('>5k', 0.012876645626389946)	('>10k+', 0.048184525528888404)
fastp | SRR30333747_1	(1.0, 29.0572101344909)	(2.0, 11.37814847770886)	(3.0, 7.1267811019911615)	(4.0, 5.203999459254784)	(5.0, 4.165560374801477)	(6.0, 3.123402152047856)	(7.0, 2.725093264447669)	(8.0, 2.2924776614686038)	(9.0, 1.9781943694067758)	('>10', 21.467603677852047)	('>50', 4.729360648989952)	('>100', 5.607281829323648)	('>500', 0.8095110969716107)	('>1k', 0.335375751244746)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333747_2	(1.0, 26.65481585443007)	(2.0, 12.075726979409014)	(3.0, 8.1494136060389)	(4.0, 5.83952101421908)	(5.0, 4.525114951685376)	(6.0, 3.7355942979367645)	(7.0, 2.914603250161444)	(8.0, 2.5427046507776043)	(9.0, 2.0116807877383787)	('>10', 21.201618984995747)	('>50', 4.506991177898059)	('>100', 4.946555275617703)	('>500', 0.5430758754166084)	('>1k', 0.2793535100826348)	('>5k', 0.016694820101814164)	('>10k+', 0.05653496349077999)
