Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastp | SRR30333743_1										69.5689342815019	53.0	130.17562869908005	137	27.27272727272727	48.476411
fastp | SRR30333743_2										72.44569394080777	53.0	130.20675736493777	137	18.181818181818183	48.476411
fastp | SRR30333744_1										63.21291905443525	53.0	135.3250699547112	147	27.27272727272727	43.566401
fastp | SRR30333744_2										64.9877865969352	53.0	135.33331699811512	147	18.181818181818183	43.566401
fastp | SRR30333745_1										65.91205946701321	53.0	132.68173656711136	142	27.27272727272727	46.014990999999995
fastp | SRR30333745_2										68.54893730925366	53.0	132.70611090633486	142	18.181818181818183	46.014990999999995
fastp | SRR30333746_1										61.61706980451707	53.0	134.85400067888236	147	27.27272727272727	41.094013
fastp | SRR30333746_2										64.8233310777527	53.0	134.87114487942563	147	18.181818181818183	41.094013
fastp | SRR30333747_1										58.01373338686698	51.0	137.37804422677053	151	27.27272727272727	39.538858
fastp | SRR30333747_2										59.346160994445526	51.0	137.3920263453234	151	18.181818181818183	39.538858
fastp | SRR30333748_1										65.0429520392618	52.0	138.93146870406494	151	27.27272727272727	63.076131
fastp | SRR30333748_2										66.5023668691745	52.0	138.93186397244307	151	18.181818181818183	63.076131
fastp | SRR30333749_1										76.65152251376595	51.0	141.1387510550345	151	27.27272727272727	51.690252
fastp | SRR30333749_2										78.72379405888492	51.0	141.14603095763587	151	18.181818181818183	51.690252
fastp | SRR30333750_1										61.77165279047701	52.0	137.25401850720976	151	27.27272727272727	51.719952
fastp | SRR30333750_2										63.31554145342951	52.0	137.2592058670124	151	18.181818181818183	51.719952
fastp | SRR30333751_1										62.94585323992915	52.0	136.5883133767302	151	27.27272727272727	53.509691
fastp | SRR30333751_2										64.95306434813823	52.0	136.59756261720892	151	18.181818181818183	53.509691
fastp | SRR30333752_1										63.04978220202711	52.0	138.45115214605224	151	27.27272727272727	57.597688999999995
fastp | SRR30333752_2										64.7330976145283	52.0	138.4510872823387	151	18.181818181818183	57.597688999999995
fastp | SRR30333753_1										63.15161950790957	53.0	131.8695020555152	137	27.27272727272727	38.889033999999995
fastp | SRR30333753_2										66.1280932660709	53.0	131.90634251804764	137	18.181818181818183	38.889033999999995
fastp | SRR30333754_1										68.69180452050853	53.0	132.25468354478076	142	27.27272727272727	48.831443
fastp | SRR30333754_2										71.09530064855163	53.0	132.27858601270498	142	18.181818181818183	48.831443
fastp | SRR30333755_1										65.61938117894593	52.0	130.67771848890575	137	27.27272727272727	38.60196
fastp | SRR30333755_2										68.88831349137764	52.0	130.72665346526446	137	18.181818181818183	38.60196
fastp | SRR30333756_1										70.2362683430188	52.0	138.8282779549087	151	27.27272727272727	47.678165
