Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastqc_fastp_trim | SRR30333743_1	(1, 0.0022231147708080138)	(2, 0.06881747757100126)	(3, 0.26982874915508226)	(4, 0.08692234261720098)	(5, 0.003211853837861903)	(6, 0.0019341304923371485)	(7, 0.07738792560108007)	(8, 0.039076866969513936)	(9, 0.0)	(10, 0.11329091952361685)	(15, 4.128359702990115e-07)	(20, 0.05285909654755393)	(25, 0.00803516587890486)	(30, 0.009063484172257543)	(35, 0.09272462039261097)	(40, 0.10465859744989675)	(45, 0.004817990492195744)	(50, 0.01866825386386993)	(55, 0.04097501514095109)	(60, 0.03152884855209696)	(65, 0.02578258656635124)	(70, 0.02943697977013751)	(75, 0.019696666954941006)	(80, 0.005384658160914304)	(85, 0.02293526462397272)	(90, 0.022505949975558166)	(95, 0.04222298410088369)	(100, 0.10268761852065857)	(105, 0.009411415074336772)	(110, 0.02220018872877505)	(115, 0.04159638776015422)	(120, 0.08469946679156955)	(125, 0.012937286643070799)	(130, 0.06797626156056928)	(135, 0.07597930613390391)	(140, 0.03332453131734784)	(145, 0.001073167856176977)	(150, 0.008039841143809722)
fastqc_fastp_trim | SRR30333743_2	(1, 0.06834891020519494)	(2, 0.04190684872511077)	(3, 0.0001589413531589759)	(4, 0.0010031882809774322)	(5, 0.04628702471736202)	(6, 4.128346835298076e-06)	(7, 0.0689578413634014)	(8, 0.08158439015916057)	(9, 3.509094810003364e-05)	(10, 0.07627368479023312)	(15, 0.039633489038675224)	(20, 0.07839114226124017)	(25, 0.02314351313591812)	(30, 0.02581476595860385)	(35, 0.021337802862154226)	(40, 0.03462800289054324)	(45, 0.035635773659141674)	(50, 0.11981834863942363)	(55, 0.021987766010800932)	(60, 0.012463013832621973)	(65, 0.011788325706467312)	(70, 0.016681731368168216)	(75, 0.05585232933644934)	(80, 0.07598390103201372)	(85, 0.053082280284483155)	(90, 0.008504504828322825)	(95, 0.004127792626238975)	(100, 0.0682294416805569)	(105, 0.008451938755220519)	(110, 0.02730725182448649)	(115, 0.012705393536787131)	(120, 0.02879257706776136)	(125, 0.009276773948473309)	(130, 0.06818368569723095)	(135, 0.038795689517450736)	(140, 0.06447114169317575)	(145, 0.04600586491613967)	(150, 0.06646158049808099)
fastqc_fastp_trim | SRR30333744_1	(1, 0.0013734877136585889)	(2, 0.09086379170576493)	(3, 0.3409028660531372)	(4, 0.10827814596154992)	(5, 0.002370299867049605)	(6, 0.0014653598015287287)	(7, 0.10122466641531995)	(8, 0.049838310867354046)	(9, 0.0)	(10, 0.14317713662034057)	(15, 0.0)	(20, 0.06750315026261977)	(25, 0.010492968739373441)	(30, 0.011423452128093764)	(35, 0.11645937319059445)	(40, 0.13125026971436488)	(45, 0.005932436442822866)	(50, 0.022162433208943996)	(55, 0.051737364068123216)	(60, 0.03965782084578627)	(65, 0.033229807985645884)	(70, 0.03689095857458807)	(75, 0.025940690202800227)	(80, 0.00682271835647333)	(85, 0.028071688227431217)	(90, 0.028237057681221187)	(95, 0.05298151950307115)	(100, 0.12734994650066656)	(105, 0.012023374554829663)	(110, 0.027790626400296448)	(115, 0.051275248273372105)	(120, 0.1066304150788517)	(125, 0.016925156360433822)	(130, 0.08550693798573328)	(135, 0.09624491274555948)	(140, 0.04197012178247751)	(145, 0.0008395864053232372)	(150, 0.009662532400405563)
fastqc_fastp_trim | SRR30333744_2	(1, 0.05893824117089139)	(2, 0.042006215376424634)	(3, 0.00020900899990456786)	(4, 0.0007878031534864482)	(5, 0.05630151224901837)	(6, 2.296802196753493e-06)	(7, 0.0868949175097749)	(8, 0.101419894602044)	(9, 2.296802196753493e-05)	(10, 0.0948110759611055)	(15, 0.041555277662895136)	(20, 0.09715189466820162)	(25, 0.029195266685404984)	(30, 0.03263506489389998)	(35, 0.025987735156201505)	(40, 0.04381148496636951)	(45, 0.04436244897520978)	(50, 0.1495345994975008)	(55, 0.0275485062184378)	(60, 0.015464205012717332)	(65, 0.015359296878836796)	(70, 0.015468495520984366)	(75, 0.0695640002377122)	(80, 0.09606308489982063)	(85, 0.06664027543253424)	(90, 0.010675531292454282)	(95, 0.00538023361130007)	(100, 0.08549230322886785)	(105, 0.010727368176439692)	(110, 0.03349337305318923)	(115, 0.016309811182113495)	(120, 0.035805346886834684)	(125, 0.011505636043819647)	(130, 0.08598684904459084)	(135, 0.0492781922849375)	(140, 0.08303808092271517)	(145, 0.057936485061141366)	(150, 0.08668323135399626)
fastqc_fastp_trim | SRR30333745_1	(1, 0.0020398471306375078)	(2, 0.07235150750139646)	(3, 0.2817315944789124)	(4, 0.08990767582297067)	(5, 0.0030641200501793694)	(6, 0.0019376373063944774)	(7, 0.08203969403336886)	(8, 0.04077084648741151)	(9, 0.0)	(10, 0.1181228065391149)	(15, 0.0)	(20, 0.055125632579279736)	(25, 0.00832047204956409)	(30, 0.00962986173671564)	(35, 0.09604691610507102)	(40, 0.10924557709484126)	(45, 0.005033489480442146)	(50, 0.019194653667243333)	(55, 0.042796812034209965)	(60, 0.03308093834906992)	(65, 0.026527905217674955)	(70, 0.030521680433451433)	(75, 0.020324691348145914)	(80, 0.005686266525096668)	(85, 0.02373234595914888)	(90, 0.023267580915415913)	(95, 0.04405657522846639)	(100, 0.10670040899335043)	(105, 0.009910870926845361)	(110, 0.023321778980563302)	(115, 0.043120285003660976)	(120, 0.08742699946818311)	(125, 0.013874679755648007)	(130, 0.07061277368073057)	(135, 0.07942412477824214)	(140, 0.03469960228482093)	(145, 0.0011227995820170538)	(150, 0.00806281904415754)
fastqc_fastp_trim | SRR30333745_2	(1, 0.06823266905211349)	(2, 0.04194517212765059)	(3, 0.00015005272069721539)	(4, 0.0010503690448805077)	(5, 0.048071237550897775)	(6, 4.3493542231076925e-06)	(7, 0.07178609145239247)	(8, 0.08548438257807014)	(9, 5.001757356573847e-05)	(10, 0.07939485173029708)	(15, 0.0401303206578201)	(20, 0.08129813441358538)	(25, 0.02405886841270825)	(30, 0.026878139930416687)	(35, 0.021903685610897103)	(40, 0.03616778794379052)	(45, 0.0370607135305277)	(50, 0.12470183120206599)	(55, 0.022921066820615323)	(60, 0.012917159919535124)	(65, 0.01242576171210868)	(70, 0.016745938534567836)	(75, 0.0579716805673864)	(80, 0.0788524971687271)	(85, 0.055331804486038895)	(90, 0.008818222520763556)	(95, 0.004374953724878814)	(100, 0.07147360590430968)	(105, 0.009003170515022838)	(110, 0.028069830555821938)	(115, 0.013184476056857786)	(120, 0.030063911278449654)	(125, 0.00961241733722051)	(130, 0.07081348631317164)	(135, 0.04058875598277528)	(140, 0.06781865091510328)	(145, 0.04775231993801402)	(150, 0.0705827922277716)
fastqc_fastp_trim | SRR30333746_1	(1, 0.0014681678565319032)	(2, 0.08464486821282191)	(3, 0.332202803504261)	(4, 0.10495330617523088)	(5, 0.0026076414168253207)	(6, 0.0016532105714513472)	(7, 0.09824794253196575)	(8, 0.047025197315186035)	(9, 0.0)	(10, 0.1385668022948608)	(15, 4.869564597474559e-07)	(20, 0.06456084999261011)	(25, 0.009816252826975385)	(30, 0.011133715529053971)	(35, 0.11291749383366743)	(40, 0.12765740403007278)	(45, 0.0056439151022072585)	(50, 0.022134981118981975)	(55, 0.05000528023179976)	(60, 0.03881896295745403)	(65, 0.031287378565644904)	(70, 0.03618530033752695)	(75, 0.023801216697241386)	(80, 0.00654698081525538)	(85, 0.027646331816716694)	(90, 0.02739846067966508)	(95, 0.05180308753940947)	(100, 0.12447599419920882)	(105, 0.011480937499606308)	(110, 0.026997350405789183)	(115, 0.04985065923576705)	(120, 0.10416766539579687)	(125, 0.016244237523583494)	(130, 0.08370862338670926)	(135, 0.09418494591453722)	(140, 0.04020065238876705)	(145, 0.0008976343533731097)	(150, 0.009323097166648687)
fastqc_fastp_trim | SRR30333746_2	(1, 0.061039748197769174)	(2, 0.04199008765132538)	(3, 0.00020452089543728004)	(4, 0.000844866079961145)	(5, 0.05668637485203279)	(6, 4.869545129459048e-06)	(7, 0.08490295410468324)	(8, 0.09973071902388606)	(9, 3.6521588470942865e-05)	(10, 0.09297325124773573)	(15, 0.04202432630963189)	(20, 0.09610601868208987)	(25, 0.02842993490702907)	(30, 0.03149045339532692)	(35, 0.025768003957340493)	(40, 0.04276884311648012)	(45, 0.04319909167567977)	(50, 0.14643570998936278)	(55, 0.026822910024078044)	(60, 0.015133008323408472)	(65, 0.014822902629831687)	(70, 0.016341015109370492)	(75, 0.06846504283063452)	(80, 0.09336499095550185)	(85, 0.06472529432719394)	(90, 0.010377065546678211)	(95, 0.005059614236826625)	(100, 0.08424440789773058)	(105, 0.010435087291051946)	(110, 0.03294539710815209)	(115, 0.015984886660799943)	(120, 0.0350026520246595)	(125, 0.011344062455250535)	(130, 0.08336557583810955)	(135, 0.047745658970171904)	(140, 0.08050434673972548)	(145, 0.056027058068377066)	(150, 0.0841027833680506)
fastqc_fastp_trim | SRR30333747_1	(1, 0.0013640647245928012)	(2, 0.10272495591084675)	(3, 0.41080365581493705)	(4, 0.12982150694278577)	(5, 0.0016348530836492574)	(6, 0.0015918306340795402)	(7, 0.11680341984945483)	(8, 0.058966063233789)	(9, 0.0)	(10, 0.17194605268265978)	(15, 0.006674079926505554)	(20, 0.08150925442031912)	(25, 0.012385763601863874)	(30, 0.013317387090993544)	(35, 0.14219202991143765)	(40, 0.15832136472296474)	(45, 0.006969881775633794)	(50, 0.03731011601561578)	(55, 0.07216925451076088)	(60, 0.04991736591590427)	(65, 0.05051935026955262)	(70, 0.04759069437411933)	(75, 0.030772377012663166)	(80, 0.00970467652488257)	(85, 0.04426787761149803)	(90, 0.03854282430311766)	(95, 0.0636614430949912)	(100, 0.1629436112902762)	(105, 0.014420249251124255)	(110, 0.04059031865057957)	(115, 0.07416392683080904)	(120, 0.1346068325578617)	(125, 0.022676342757809363)	(130, 0.10761708271242754)	(135, 0.11890493224582456)	(140, 0.06087521012547449)	(145, 0.004261455995448135)	(150, 0.010648695938639348)
fastqc_fastp_trim | SRR30333747_2	(1, 0.04835723331636224)	(2, 0.061026079348480165)	(3, 0.031054616392353)	(4, 0.009204273475591872)	(5, 0.0693699038326777)	(6, 0.0002682576267288255)	(7, 0.10400803720095539)	(8, 0.12394008501337266)	(9, 4.0491717242086865e-05)	(10, 0.12511991242451395)	(15, 0.046695205021058624)	(20, 0.13244806114747915)	(25, 0.037979986082002384)	(30, 0.042955692169037364)	(35, 0.03537965595826957)	(40, 0.06004462367103117)	(45, 0.05778164463999402)	(50, 0.18962130677774858)	(55, 0.038878513980493544)	(60, 0.023503480273478476)	(65, 0.024911085378128632)	(70, 0.01703326255695368)	(75, 0.0866052923552449)	(80, 0.12250586052454618)	(85, 0.08571602881882832)	(90, 0.014755691007081321)	(95, 0.011561552342143417)	(100, 0.10636874680017287)	(105, 0.01649162049207018)	(110, 0.052782395760132265)	(115, 0.024692014336757103)	(120, 0.04635928621730098)	(125, 0.024147471142750742)	(130, 0.10859672798450629)	(135, 0.06361624493871094)	(140, 0.10937613068968624)	(145, 0.07537595110267069)	(150, 0.10677575774380552)
