Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastqc_fastp_trim | SRR30333743_1	(1, 38.36661821225986)	(2, 38.874087237996015)	(3, 38.858862266418654)	(4, 38.98374442791867)	(5, 38.94872134984061)	(6, 38.87736134730415)	(7, 38.9113951083466)	(8, 38.925372287093)	(9, 38.919072636239676)	(10, 38.898806845839395)	(15, 39.23634016094901)	(20, 39.276560252944606)	(25, 39.08214728468141)	(30, 39.01942042959148)	(35, 39.012918949646874)	(40, 39.010912134901886)	(45, 39.04537410252364)	(50, 39.01247589008691)	(55, 38.99124144000054)	(60, 38.97135058952885)	(65, 38.94995933013534)	(70, 38.91561952015866)	(75, 38.89298959631422)	(80, 38.858337986443686)	(85, 38.81627433762302)	(90, 38.77744645792906)	(95, 38.74134656025417)	(100, 38.67226375054388)	(105, 38.679607100076886)	(110, 38.6358176198127)	(115, 38.61111179246645)	(120, 38.559551383510225)	(125, 38.564782829614)	(130, 38.53920175264992)	(135, 38.482896942083514)	(140, 38.487327295303686)	(145, 38.476116923428)	(150, 38.27859445344591)
fastqc_fastp_trim | SRR30333743_2	(1, 38.56038113888787)	(2, 39.10164357331372)	(3, 39.21849581123481)	(4, 39.24771521804834)	(5, 39.21552773627757)	(6, 39.23644755589689)	(7, 39.2647844872909)	(8, 39.27135900347652)	(9, 39.29944509651683)	(10, 39.30991049702778)	(15, 39.35324410572327)	(20, 39.33192925957913)	(25, 39.19085170751384)	(30, 39.13668868961799)	(35, 39.132766217236586)	(40, 39.117423364256105)	(45, 39.09107166261016)	(50, 39.04450753368546)	(55, 39.069822001316595)	(60, 39.04221924325551)	(65, 39.01113184057449)	(70, 38.98122573450976)	(75, 38.9250512960112)	(80, 38.88709005807936)	(85, 38.875866855412816)	(90, 38.858047354396696)	(95, 38.83098084649594)	(100, 38.759894803035344)	(105, 38.74078835508328)	(110, 38.69195443089247)	(115, 38.667043443103395)	(120, 38.605916707393895)	(125, 38.562438862304)	(130, 38.485168544841954)	(135, 38.424820519534265)	(140, 38.32182085756635)	(145, 38.21541930829683)	(150, 37.899296596993)
fastqc_fastp_trim | SRR30333744_1	(1, 38.268823195497255)	(2, 38.78919850675702)	(3, 38.789946621168546)	(4, 38.964732165876434)	(5, 38.94978875735996)	(6, 38.900385552700754)	(7, 38.91537356511589)	(8, 38.95290593136535)	(9, 38.96037526991732)	(10, 38.93467436570076)	(15, 39.280856143605796)	(20, 39.3199066983703)	(25, 39.142140813882136)	(30, 39.088026037675604)	(35, 39.07177777391687)	(40, 39.070111135351176)	(45, 39.116306579780215)	(50, 39.086446200081056)	(55, 39.06545580244292)	(60, 39.05007425189995)	(65, 39.03623828018315)	(70, 39.01331360725898)	(75, 38.99695555683222)	(80, 38.976241749964494)	(85, 38.94281792681857)	(90, 38.91438890924329)	(95, 38.88501179630953)	(100, 38.82048482583603)	(105, 38.84539515432847)	(110, 38.81004438737238)	(115, 38.786209601322504)	(120, 38.73822568346715)	(125, 38.756441944495464)	(130, 38.72454510315247)	(135, 38.684586032664306)	(140, 38.69922430070167)	(145, 38.69627040338426)	(150, 38.5120067555667)
fastqc_fastp_trim | SRR30333744_2	(1, 38.41961115368489)	(2, 38.96764478667818)	(3, 39.0975031348479)	(4, 39.14185750891819)	(5, 39.140978752397714)	(6, 39.16192595592046)	(7, 39.17719335135481)	(8, 39.17229730404804)	(9, 39.21845618373223)	(10, 39.22531588667072)	(15, 39.27928670600349)	(20, 39.25823205052882)	(25, 39.08813358849296)	(30, 39.02895670134076)	(35, 39.03024674250634)	(40, 39.011418117345556)	(45, 38.992728572232)	(50, 38.94311850301798)	(55, 38.97744379605373)	(60, 38.95512277708242)	(65, 38.930508130490736)	(70, 38.9048231217946)	(75, 38.851663767767874)	(80, 38.81370626371166)	(85, 38.80440106104656)	(90, 38.794485581805496)	(95, 38.770451968910585)	(100, 38.70107837818874)	(105, 38.693901824743236)	(110, 38.651186324535296)	(115, 38.633672260896915)	(120, 38.583707283571684)	(125, 38.558858602743285)	(130, 38.48571471313953)	(135, 38.44205114542887)	(140, 38.35572142592315)	(145, 38.26794161714271)	(150, 37.975841328512224)
fastqc_fastp_trim | SRR30333745_1	(1, 38.35070904694819)	(2, 38.85581634138499)	(3, 38.85684144068183)	(4, 38.99849381863254)	(5, 38.96771187302809)	(6, 38.89955601357155)	(7, 38.935328669172854)	(8, 38.95423257188754)	(9, 38.951432109690366)	(10, 38.93311277758068)	(15, 39.26320241404603)	(20, 39.30031387214873)	(25, 39.11471517774553)	(30, 39.05428525343564)	(35, 39.045225945025024)	(40, 39.04149041502154)	(45, 39.07746101587096)	(50, 39.04413440891943)	(55, 39.02235865244186)	(60, 39.002316683244466)	(65, 38.98111768037642)	(70, 38.94821363596644)	(75, 38.92456079517531)	(80, 38.89273280543209)	(85, 38.85028629911127)	(90, 38.813261546511924)	(95, 38.774603783907246)	(100, 38.70665606487133)	(105, 38.71373909543096)	(110, 38.67091188085103)	(115, 38.64329735518753)	(120, 38.59110693608179)	(125, 38.5972909438364)	(130, 38.56923557664271)	(135, 38.51484540657573)	(140, 38.519722733124595)	(145, 38.50832504083178)	(150, 38.31001485463167)
fastqc_fastp_trim | SRR30333745_2	(1, 38.58665290183042)	(2, 39.109487033248506)	(3, 39.21738098503218)	(4, 39.25631631705035)	(5, 39.25810720714526)	(6, 39.270597726096725)	(7, 39.266063872267466)	(8, 39.26370038968909)	(9, 39.293982942441644)	(10, 39.29983509423463)	(15, 39.33782860719119)	(20, 39.311922587321774)	(25, 39.16230367865501)	(30, 39.10558031325546)	(35, 39.100998363629)	(40, 39.08432916810305)	(45, 39.05785761145745)	(50, 39.01082970404983)	(55, 39.03698266765643)	(60, 39.00876047015431)	(65, 38.97747557309148)	(70, 38.94795327513823)	(75, 38.890592786440564)	(80, 38.852391010429514)	(85, 38.84075173968888)	(90, 38.82449197016732)	(95, 38.79766081804968)	(100, 38.72626694488646)	(105, 38.710023461390335)	(110, 38.66168229921937)	(115, 38.63880412506727)	(120, 38.57800018466575)	(125, 38.539474011626844)	(130, 38.46151712809401)	(135, 38.40457880549891)	(140, 38.30250951395932)	(145, 38.19802521358797)	(150, 37.88128433481893)
fastqc_fastp_trim | SRR30333746_1	(1, 38.285037022421186)	(2, 38.818791272742786)	(3, 38.801853046964474)	(4, 38.971418740512604)	(5, 38.958719794637645)	(6, 38.90059933874499)	(7, 38.92187082664765)	(8, 38.95733893772529)	(9, 38.96586492690155)	(10, 38.93660852446014)	(15, 39.273286224329)	(20, 39.307770706589835)	(25, 39.12278802458637)	(30, 39.06096940950313)	(35, 39.042773083401926)	(40, 39.03608293691664)	(45, 39.07783246241027)	(50, 39.043193474048756)	(55, 39.019653262815446)	(60, 38.99915705519486)	(65, 38.98182632465724)	(70, 38.952663128006485)	(75, 38.931743579728895)	(80, 38.90531872297636)	(85, 38.86579641508577)	(90, 38.83228707314727)	(95, 38.794171933905794)	(100, 38.724624435276326)	(105, 38.74141371147275)	(110, 38.70021747209415)	(115, 38.670239830555545)	(120, 38.61631147086568)	(125, 38.63060189441349)	(130, 38.597781365262975)	(135, 38.55224258052167)	(140, 38.56407742690077)	(145, 38.55977331924739)	(150, 38.36217031784979)
fastqc_fastp_trim | SRR30333746_2	(1, 38.541619344832895)	(2, 39.07615768931124)	(3, 39.2139949363548)	(4, 39.271769605847815)	(5, 39.28078454605053)	(6, 39.3000796316715)	(7, 39.272280810695506)	(8, 39.26985753025728)	(9, 39.31640122695007)	(10, 39.325251732352854)	(15, 39.3714027368206)	(20, 39.34407654275778)	(25, 39.206003214260775)	(30, 39.15342981337898)	(35, 39.150116561065126)	(40, 39.1302948210245)	(45, 39.10740933425652)	(50, 39.054489244410135)	(55, 39.085545528670686)	(60, 39.05970691337473)	(65, 39.030917678343414)	(70, 39.0005406027456)	(75, 38.94335151301764)	(80, 38.90167395977943)	(85, 38.891060277324925)	(90, 38.878980131265976)	(95, 38.85246906790831)	(100, 38.78170247120723)	(105, 38.772199013279256)	(110, 38.72648726092348)	(115, 38.70815590828026)	(120, 38.654983815840936)	(125, 38.62639838049007)	(130, 38.55202050294854)	(135, 38.50862305107627)	(140, 38.42040976449598)	(145, 38.33421088180919)	(150, 38.03725798151706)
fastqc_fastp_trim | SRR30333747_1	(1, 37.953209947984845)	(2, 38.56377078509441)	(3, 38.55200870045528)	(4, 38.752685043731304)	(5, 38.72866302878956)	(6, 38.78865915069534)	(7, 38.78542107868214)	(8, 38.8582181002329)	(9, 38.891934034740984)	(10, 38.80850759323458)	(15, 39.18562800734641)	(20, 39.22622388575)	(25, 39.000482865438315)	(30, 38.93974749845073)	(35, 38.91557812113545)	(40, 38.910083981286775)	(45, 38.96471859578626)	(50, 38.92942512490474)	(55, 38.891694233520255)	(60, 38.87865654584581)	(65, 38.864213813315885)	(70, 38.84097973429241)	(75, 38.82175407955105)	(80, 38.80813800456765)	(85, 38.77045802385565)	(90, 38.742802049235124)	(95, 38.70287815961511)	(100, 38.623228961877246)	(105, 38.66211823489177)	(110, 38.62432721803983)	(115, 38.601169646424765)	(120, 38.55744056190141)	(125, 38.597362642574396)	(130, 38.55503705806304)	(135, 38.54552032968826)	(140, 38.57687344543003)	(145, 38.58032882561166)	(150, 38.36700351721238)
fastqc_fastp_trim | SRR30333747_2	(1, 38.45131855456515)	(2, 38.800010649321635)	(3, 39.021382562353324)	(4, 39.062606268613855)	(5, 39.063413673455656)	(6, 39.13571937863233)	(7, 39.12897183887111)	(8, 39.137314752291665)	(9, 39.17735711270166)	(10, 39.16683816427358)	(15, 39.23489043330635)	(20, 39.205752682248814)	(25, 39.0274778008469)	(30, 38.969871166135334)	(35, 38.96989952836804)	(40, 38.946675393107576)	(45, 38.93277060656415)	(50, 38.87144727979209)	(55, 38.91146261380724)	(60, 38.89091537756499)	(65, 38.8760811036627)	(70, 38.84601022040512)	(75, 38.796531945834595)	(80, 38.748236301846745)	(85, 38.73481174374224)	(90, 38.726138913611805)	(95, 38.700240223611466)	(100, 38.63006775894081)	(105, 38.63439183067834)	(110, 38.59371319807234)	(115, 38.58184832935723)	(120, 38.54841406073707)	(125, 38.534014014233875)	(130, 38.47103152241357)	(135, 38.45034773699594)	(140, 38.38258972002346)	(145, 38.334402857523784)	(150, 38.01889008123252)
