.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
qc_bundle_trimmed | SRR30333743_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333743_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333744_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333744_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333745_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333745_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333746_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333746_2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333747_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333747_2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333748_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333748_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333749_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333749_2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333750_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333750_2	1	1	0.25	1	0.5	1	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333751_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333751_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333752_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333752_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333753_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333753_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333754_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333754_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	0.25
qc_bundle_trimmed | SRR30333755_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333755_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
qc_bundle_trimmed | SRR30333756_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333756_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	0.25
qc_bundle_trimmed | SRR30333757_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333757_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333758_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333758_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333759_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333759_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333760_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333760_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333761_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333761_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333762_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333762_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333763_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333763_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333764_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333764_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333765_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333765_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333766_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333766_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333767_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333767_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333768_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
qc_bundle_trimmed | SRR30333768_2	1	1	1	1	0.5	0.5	1	0.5	0.25	1	0.25
