Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
qc_bundle_trimmed | SRR30333743_1	(1.0, 16.49883656427924)	(2.0, 10.276242083394884)	(3.0, 8.317944380540867)	(4.0, 6.105873495375794)	(5.0, 4.665613389072985)	(6.0, 3.593230108066788)	(7.0, 2.952257109515496)	(8.0, 2.4703277406088597)	(9.0, 2.1825602300857416)	('>10', 24.69943887759482)	('>50', 6.454554308142642)	('>100', 8.738069683052744)	('>500', 1.7036228479527384)	('>1k', 1.1949828551709405)	('>5k', 0.01409807123012218)	('>10k+', 0.13234825591516067)
qc_bundle_trimmed | SRR30333743_2	(1.0, 15.23889273673556)	(2.0, 9.114088900592433)	(3.0, 7.778176457853438)	(4.0, 6.080137995689984)	(5.0, 4.888068173666221)	(6.0, 3.8663500709737355)	(7.0, 3.2009712429138104)	(8.0, 2.611284560865834)	(9.0, 2.298615154293928)	('>10', 25.850335115716085)	('>50', 6.372494402936578)	('>100', 8.899683533823442)	('>500', 1.695577625482285)	('>1k', 1.1102267298155666)	('>5k', 0.022260179555018463)	('>10k+', 0.9728371190861149)
qc_bundle_trimmed | SRR30333744_1	(1.0, 23.816914823612503)	(2.0, 10.676178011087098)	(3.0, 6.7918878823723885)	(4.0, 4.977862103270164)	(5.0, 3.910569706872634)	(6.0, 3.1998593192842177)	(7.0, 2.580013961612525)	(8.0, 2.2568751045125004)	(9.0, 1.935880051452255)	('>10', 23.146863736141533)	('>50', 6.199476588518755)	('>100', 8.137765988817197)	('>500', 1.474722019943505)	('>1k', 0.8167572028910395)	('>5k', 0.02191371612878227)	('>10k+', 0.05645978348309596)
qc_bundle_trimmed | SRR30333744_2	(1.0, 23.193190643348068)	(2.0, 10.165064658366859)	(3.0, 7.2691016407699705)	(4.0, 5.358411143261598)	(5.0, 4.234756796411558)	(6.0, 3.4118541734949175)	(7.0, 2.9166314606935853)	(8.0, 2.370366154411286)	(9.0, 2.0120200574751697)	('>10', 22.810301618436824)	('>50', 5.67741930391758)	('>100', 7.697026959659029)	('>500', 1.2645275845298842)	('>1k', 0.546474309311695)	('>5k', 0.016002599108800874)	('>10k+', 1.0568508968034012)
qc_bundle_trimmed | SRR30333745_1	(1.0, 20.446305878183107)	(2.0, 11.11786602679676)	(3.0, 7.582945154993989)	(4.0, 5.402261612021501)	(5.0, 3.988128542808892)	(6.0, 3.2145470648643295)	(7.0, 2.7033474840775513)	(8.0, 2.312152584296021)	(9.0, 1.9749519174831223)	('>10', 23.639048185689433)	('>50', 6.249898979496004)	('>100', 8.489496669706623)	('>500', 1.609099292725525)	('>1k', 1.192744187575937)	('>5k', 0.0242316431442396)	('>10k+', 0.05297477613696405)
qc_bundle_trimmed | SRR30333745_2	(1.0, 19.402707279520033)	(2.0, 10.053741663736597)	(3.0, 7.388844791751834)	(4.0, 5.656292407313141)	(5.0, 4.38098512268715)	(6.0, 3.381710927293785)	(7.0, 2.959542024049551)	(8.0, 2.476334767948533)	(9.0, 2.1839981194015303)	('>10', 24.163872456267512)	('>50', 5.99049046785868)	('>100', 8.371980501660547)	('>500', 1.6079159530078662)	('>1k', 0.9282072120053374)	('>5k', 0.024970792108001207)	('>10k+', 1.0284055133901056)
qc_bundle_trimmed | SRR30333746_1	(1.0, 25.37375915799699)	(2.0, 11.075223401939798)	(3.0, 6.906219116652562)	(4.0, 4.9153191569326165)	(5.0, 3.792676667229057)	(6.0, 3.067356673302826)	(7.0, 2.48660530304839)	(8.0, 2.2901021991634676)	(9.0, 1.9009792330395996)	('>10', 22.284506924683594)	('>50', 5.728646652847696)	('>100', 7.782719508341672)	('>500', 1.402567532236896)	('>1k', 0.9250522255997994)	('>5k', 0.043392736156027595)	('>10k+', 0.024873510829148845)
qc_bundle_trimmed | SRR30333746_2	(1.0, 22.56725301608727)	(2.0, 10.77530682169166)	(3.0, 7.34597438200363)	(4.0, 5.425038940206912)	(5.0, 4.16129292356341)	(6.0, 3.419484559076892)	(7.0, 2.871178445775333)	(8.0, 2.4125866518008414)	(9.0, 2.0200472055345227)	('>10', 22.888056657039513)	('>50', 5.626527694557126)	('>100', 7.649375981758283)	('>500', 1.351610162525802)	('>1k', 0.7128217954288479)	('>5k', 0.012135150696317982)	('>10k+', 0.7613096122535995)
qc_bundle_trimmed | SRR30333747_1	(1.0, 28.603797303069072)	(2.0, 11.226160804391407)	(3.0, 6.961753170535141)	(4.0, 5.235947675238519)	(5.0, 4.200874497967956)	(6.0, 3.171944209393819)	(7.0, 2.7504124933637097)	(8.0, 2.242787632526669)	(9.0, 2.024483960613579)	('>10', 21.690237835307357)	('>50', 4.865490737947456)	('>100', 5.7914035890811695)	('>500', 0.8270439474121146)	('>1k', 0.37330562140554624)	('>5k', 0.0)	('>10k+', 0.034356521746461255)
qc_bundle_trimmed | SRR30333747_2	(1.0, 27.682508521632055)	(2.0, 11.623497335919076)	(3.0, 7.889869969285974)	(4.0, 5.650118791676552)	(5.0, 4.410456956926162)	(6.0, 3.6241620104796803)	(7.0, 2.8416804639660294)	(8.0, 2.4886598609164534)	(9.0, 1.95570606463834)	('>10', 20.635328703193252)	('>50', 4.399714597156207)	('>100', 4.903475846013231)	('>500', 0.5643187446814141)	('>1k', 0.2729805089679889)	('>5k', 0.012910630345066646)	('>10k+', 1.0446109942026611)
