Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
qc_bundle_trimmed | SRR30333743_1	70.05642734984293	53.0	150.73182147196755	151	36.36363636363637	50.095819
qc_bundle_trimmed | SRR30333743_2	71.85276313350985	53.0	150.35239650438692	150	27.27272727272727	50.095819
qc_bundle_trimmed | SRR30333744_1	63.74647648021939	53.0	150.8112148295094	151	36.36363636363637	45.278476999999995
qc_bundle_trimmed | SRR30333744_2	64.21448895459811	54.0	150.37762419659123	150	27.27272727272727	45.278476999999995
qc_bundle_trimmed | SRR30333745_1	66.45527528218302	53.0	150.76746402074664	151	36.36363636363637	47.813387999999996
qc_bundle_trimmed | SRR30333745_2	67.79944709022178	54.0	150.37716507351456	150	27.27272727272727	47.813387999999996
qc_bundle_trimmed | SRR30333746_1	62.076516450656094	53.0	150.79293597799983	151	36.36363636363637	42.216035
qc_bundle_trimmed | SRR30333746_2	64.50665452077371	53.0	150.39254310595487	150	27.27272727272727	42.216035
qc_bundle_trimmed | SRR30333747_1	58.55801795700694	51.0	150.85040419217137	151	36.36363636363637	41.136868
qc_bundle_trimmed | SRR30333747_2	58.777309597548346	52.0	150.37737029469525	150	27.27272727272727	41.136868
qc_bundle_trimmed | SRR30333748_1	65.31123133259543	52.0	150.85677755053635	151	36.36363636363637	65.409634
qc_bundle_trimmed | SRR30333748_2	65.45857407025676	53.0	150.40279872227995	150	27.27272727272727	65.409634
qc_bundle_trimmed | SRR30333749_1	76.53263902761765	51.0	150.88694838146364	151	36.36363636363637	53.414494
qc_bundle_trimmed | SRR30333749_2	77.42909111861252	52.0	150.84941154736015	151	27.27272727272727	53.414494
qc_bundle_trimmed | SRR30333750_1	62.15190628433599	52.0	150.83427375424765	151	36.36363636363637	52.941542
qc_bundle_trimmed | SRR30333750_2	63.045708033788735	52.0	150.39843779011952	150	27.27272727272727	52.941542
qc_bundle_trimmed | SRR30333751_1	63.33325805172309	52.0	150.8184976476659	151	36.36363636363637	55.234925999999994
qc_bundle_trimmed | SRR30333751_2	64.38459647428601	52.0	150.38757443071435	150	27.27272727272727	55.234925999999994
qc_bundle_trimmed | SRR30333752_1	63.480639801384015	52.0	150.84294485433955	151	36.36363636363637	59.339029999999994
qc_bundle_trimmed | SRR30333752_2	64.21424361388213	52.0	150.3822847626596	150	27.27272727272727	59.339029999999994
qc_bundle_trimmed | SRR30333753_1	63.64829012843757	53.0	150.76497105236928	151	36.36363636363637	40.311762
qc_bundle_trimmed | SRR30333753_2	65.49483466741194	53.0	150.36653121240397	150	27.27272727272727	40.311762
qc_bundle_trimmed | SRR30333754_1	69.18401195150824	52.0	150.84106566548897	151	36.36363636363637	51.091829999999995
qc_bundle_trimmed | SRR30333754_2	69.93965619875785	54.0	150.3652256926401	150	36.36363636363637	51.091829999999995
qc_bundle_trimmed | SRR30333755_1	66.13020630244426	53.0	150.74130785533242	151	36.36363636363637	40.136901
qc_bundle_trimmed | SRR30333755_2	68.2452084891709	53.0	150.34659612858502	150	27.27272727272727	40.136901
qc_bundle_trimmed | SRR30333756_1	70.26084423829558	52.0	150.87261476618934	151	36.36363636363637	49.776986
qc_bundle_trimmed | SRR30333756_2	71.0313578643349	53.0	150.38495454505824	150	36.36363636363637	49.776986
qc_bundle_trimmed | SRR30333757_1	64.47111790550862	49.0	150.46736208378755	150	27.27272727272727	45.21459
qc_bundle_trimmed | SRR30333757_2	64.14238920708564	49.0	150.93303694720012	151	18.181818181818183	45.214441
