Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
qc_bundle_trimmed | SRR30333743_1 - illumina_universal_adapter	(1, 2.595026942268376e-05)	(2, 2.794644399365943e-05)	(3, 4.591201513244049e-05)	(4, 0.00013374369625537014)	(5, 0.00019961745709756737)	(6, 0.00031938793135610777)	(7, 0.0003672961210595239)	(8, 0.0004591201513244049)	(9, 0.0005389671341634319)	(10, 0.0009637530828670553)	(15, 0.001387341326828093)	(20, 0.0016628134176227363)	(25, 0.0024105804119102237)	(30, 0.005796491719199161)	(35, 0.015925480727243924)	(40, 0.04126531996612333)	(45, 0.08274103673202748)	(50, 0.15864437708863488)	(55, 0.2741885505455056)	(60, 0.451928732815008)	(65, 0.722322954736003)	(70, 1.1166955869111552)	(75, 1.71904365911255)	(80, 2.617788921666297)	(85, 3.9521541707901813)	(90, 5.869263860123736)	(95, 8.506161362488154)	(100, 11.944831563687979)	(105, 16.143882586289287)	(110, 20.97281531618437)	(115, 26.166203610724477)	(120, 31.51892057099615)	(125, 36.78531735353005)	(130, 41.82307669228844)	(135, 46.53481401312153)	(140, 49.176836494079474)
qc_bundle_trimmed | SRR30333743_2 - illumina_universal_adapter	(1, 1.3973221996829715e-05)	(2, 2.195792028073241e-05)	(3, 3.79273168485378e-05)	(4, 6.78699354131729e-05)	(5, 0.00010380107769073503)	(6, 0.0001816518859587863)	(7, 0.00021558685366537274)	(8, 0.00028146061450756997)	(9, 0.00034334202620781587)	(10, 0.0005090245155987968)	(15, 0.0008415871991233439)	(20, 0.0011282378675154506)	(25, 0.0017642190858283002)	(30, 0.004975664735613963)	(35, 0.014954541415921358)	(40, 0.040313144695767925)	(45, 0.08156808455412216)	(50, 0.15746863026633023)	(55, 0.27398334379960937)	(60, 0.4529372002082649)	(65, 0.7246936116564937)	(70, 1.1191409007606006)	(75, 1.7193646439835626)	(80, 2.6166351327642734)	(85, 3.955510937948733)	(90, 5.88621337840589)	(95, 8.538835546335713)	(100, 11.988763373646012)	(105, 16.196925336224165)	(110, 21.045785876861302)	(115, 26.272400896370215)	(120, 31.654830515895945)	(125, 36.94857608775695)	(130, 42.01556580999304)	(135, 46.74630910815132)	(140, 49.39035531088932)
qc_bundle_trimmed | SRR30333744_1 - illumina_universal_adapter	(1, 4.858820671022128e-05)	(2, 5.96309809625443e-05)	(3, 8.392508431765494e-05)	(4, 0.00022085548504646038)	(5, 0.0003091976790650445)	(6, 0.00044171097009292076)	(7, 0.0005057590607563942)	(8, 0.0005830584805226554)	(9, 0.0006956947778963502)	(10, 0.00118113513402847)	(15, 0.0016714343108316123)	(20, 0.002057047987722732)	(25, 0.0026772101897331924)	(30, 0.004485133190323518)	(35, 0.009597937669149074)	(40, 0.022499873394593202)	(45, 0.04444054070104876)	(50, 0.08527804501904956)	(55, 0.14591966068116646)	(60, 0.24093699087979484)	(65, 0.38493300028620664)	(70, 0.6015233242054497)	(75, 0.9410762645572198)	(80, 1.4613998611304881)	(85, 2.262948906165726)	(90, 3.4526629506553412)	(95, 5.160201832760409)	(100, 7.493474217341719)	(105, 10.480881678065277)	(110, 14.090903720105251)	(115, 18.175901985395843)	(120, 22.624340478589858)	(125, 27.24418093832971)	(130, 31.885963832219886)	(135, 36.46031247914986)	(140, 39.12556290265682)
qc_bundle_trimmed | SRR30333744_2 - illumina_universal_adapter	(1, 3.312832275696906e-05)	(2, 3.975398730836287e-05)	(3, 5.7422426112079696e-05)	(4, 0.00013251329102787623)	(5, 0.00019435282684088513)	(6, 0.00030698912421457994)	(7, 0.000340117446971549)	(8, 0.0004041655376350225)	(9, 0.0004969248413545359)	(10, 0.0007438412736364786)	(15, 0.001170092359776147)	(20, 0.001550405505026152)	(25, 0.0020261282198162276)	(30, 0.003700212796468397)	(35, 0.008676970296505335)	(40, 0.02156256271605602)	(45, 0.043116732923680276)	(50, 0.08353726208591336)	(55, 0.14448189147351403)	(60, 0.2399722941211119)	(65, 0.3844188487170185)	(70, 0.600117799898614)	(75, 0.9366958168668085)	(80, 1.4540462569003814)	(85, 2.256158925133458)	(90, 3.450557756171878)	(95, 5.162109140729269)	(100, 7.4943814916742895)	(105, 10.478535309392141)	(110, 14.09137546742131)	(115, 18.19291315827606)	(120, 22.65675322957528)	(125, 27.289070699087336)	(130, 31.946930547155993)	(135, 36.52560221935026)	(140, 39.1827357620708)
qc_bundle_trimmed | SRR30333745_1 - illumina_universal_adapter	(1, 3.346343078637305e-05)	(2, 5.019514617955958e-05)	(3, 7.529271926933937e-05)	(4, 0.00018823179817334843)	(5, 0.00023215255108046306)	(6, 0.00032208552131884064)	(7, 0.0004078355627089216)	(8, 0.0004726709598575194)	(9, 0.0005605124656717487)	(10, 0.0009662565639565219)	(15, 0.0014213592226511953)	(20, 0.0016857203258635427)	(25, 0.00223577546941455)	(30, 0.004105962957487974)	(35, 0.009001662881534353)	(40, 0.0221942021761771)	(45, 0.04549688049715281)	(50, 0.08966693596362593)	(55, 0.15905168652763116)	(60, 0.2724174241741665)	(65, 0.44899767404058455)	(70, 0.7168933521297424)	(75, 1.1437344703537846)	(80, 1.797634587199719)	(85, 2.7980451834954674)	(90, 4.281771038688996)	(95, 6.3870939244046046)	(100, 9.22837511535472)	(105, 12.807785969904495)	(110, 17.069803963693182)	(115, 21.807707916452188)	(120, 26.876130593381085)	(125, 32.04456375272967)	(130, 37.14349211145632)	(135, 42.05583130816833)	(140, 44.86611992440276)
qc_bundle_trimmed | SRR30333745_2 - illumina_universal_adapter	(1, 2.3006108665631475e-05)	(2, 3.9737824058818005e-05)	(3, 5.646953945200453e-05)	(4, 0.00011293907890400906)	(5, 0.00014849397411453044)	(6, 0.0002216952289597215)	(7, 0.00029489648380491253)	(8, 0.0003513660232569171)	(9, 0.0004203843492538115)	(10, 0.0006123807833906268)	(15, 0.000985916329543516)	(20, 0.0012527871900648413)	(25, 0.0016807008112455866)	(30, 0.003395701639047206)	(35, 0.008167586869184004)	(40, 0.021379367636528916)	(45, 0.04450887270318514)	(50, 0.08866763426176787)	(55, 0.15866685707358782)	(60, 0.27283320730168714)	(65, 0.4503993734976488)	(70, 0.7182515491267842)	(75, 1.1435169580536733)	(80, 1.795922932714996)	(85, 2.7993837207269223)	(90, 4.292255131554367)	(95, 6.4098268878164415)	(100, 9.259155615577795)	(105, 12.845748977252981)	(110, 17.1236867799454)	(115, 21.891393682455636)	(120, 26.98942814928739)	(125, 32.186844404332945)	(130, 37.31731957584767)	(135, 42.251913208911276)	(140, 45.064924075240185)
qc_bundle_trimmed | SRR30333746_1 - illumina_universal_adapter	(1, 1.8950145365380713e-05)	(2, 2.6056449877398483e-05)	(3, 5.921920426681473e-05)	(4, 0.00019187022182447973)	(5, 0.0002700395714566752)	(6, 0.0004097968935263579)	(7, 0.0004998100840119163)	(8, 0.0006135109562042006)	(9, 0.0007058929148604316)	(10, 0.001177277780824277)	(15, 0.0017192519382741654)	(20, 0.00206793461299717)	(25, 0.002622700118568691)	(30, 0.004300261737039018)	(35, 0.008546515559786702)	(40, 0.019760737833384872)	(45, 0.03992369250214996)	(50, 0.07897046702751691)	(55, 0.14165517912802567)	(60, 0.24433559428307278)	(65, 0.4069998520704277)	(70, 0.6507266729336376)	(75, 1.0345490759613025)	(80, 1.6119495826645018)	(85, 2.4896227227403047)	(90, 3.7763759670940202)	(95, 5.591166484488655)	(100, 8.043675821284495)	(105, 11.146956363855582)	(110, 14.875786416227863)	(115, 19.077491763496973)	(120, 23.64550673695434)	(125, 28.380497126269677)	(130, 33.14207835956172)	(135, 37.8333393934319)	(140, 40.55942250379506)
qc_bundle_trimmed | SRR30333746_2 - illumina_universal_adapter	(1, 1.4212609024035535e-05)	(2, 1.6581377194708125e-05)	(3, 4.026905890143402e-05)	(4, 0.00010422579950959393)	(5, 0.0001539699310937183)	(6, 0.00022503297621389597)	(7, 0.0002842521804807107)	(8, 0.0003813716754782869)	(9, 0.00045480348876913713)	(10, 0.0007002078712508174)	(15, 0.0011739615053853352)	(20, 0.0015430155863761245)	(25, 0.0019968715678769927)	(30, 0.003543203429692059)	(35, 0.007669123829369575)	(40, 0.01894351281450283)	(45, 0.03890133215968766)	(50, 0.07788083366900753)	(55, 0.14119137432020795)	(60, 0.24472786229213614)	(65, 0.40857650416482744)	(70, 0.6520072290067033)	(75, 1.0338801358299043)	(80, 1.6101213673903765)	(85, 2.491370873650261)	(90, 3.7881359535541415)	(95, 5.614839006079088)	(100, 8.07700344193859)	(105, 11.188330689985452)	(110, 14.934365579334962)	(115, 19.16960273507448)	(120, 23.77149346214063)	(125, 28.538030632199348)	(130, 33.33413097653534)	(135, 38.05025507487854)	(140, 40.78512347263309)
qc_bundle_trimmed | SRR30333747_1 - illumina_universal_adapter	(1, 4.1325460168722614e-05)	(2, 6.563455438561828e-05)	(3, 0.00012397638050616784)	(4, 0.00031601822481964353)	(5, 0.00039380732631370965)	(6, 0.0005882800800488749)	(7, 0.000687947366338147)	(8, 0.0008289401127961419)	(9, 0.000962640130989068)	(10, 0.0014245129211100855)	(15, 0.002081344646850606)	(20, 0.002642884723260896)	(25, 0.003278324446090548)	(30, 0.004732008280260909)	(35, 0.008886432481928375)	(40, 0.019702520862793928)	(45, 0.03810693609440564)	(50, 0.07192380324141352)	(55, 0.1220982598869705)	(60, 0.20091563606641127)	(65, 0.3209699873116252)	(70, 0.5017902675526975)	(75, 0.786033102957668)	(80, 1.2197326252450722)	(85, 1.8889245530311154)	(90, 2.886511924048277)	(95, 4.319163043720295)	(100, 6.285728898952638)	(105, 8.822158264455135)	(110, 11.916986485213215)	(115, 15.44572717592404)	(120, 19.32247880417148)	(125, 23.375531165863187)	(130, 27.48957796203639)	(135, 31.584809519285717)	(140, 33.97511205763161)
qc_bundle_trimmed | SRR30333747_2 - illumina_universal_adapter	(1, 4.375636959041218e-05)	(2, 5.3480007277170446e-05)	(3, 9.966728628927219e-05)	(4, 0.00024552185159064615)	(5, 0.0003233109530847122)	(6, 0.000481320065494534)	(7, 0.0005761255329404271)	(8, 0.0007073946417116636)	(9, 0.0008386637504829001)	(10, 0.0012480288970954229)	(15, 0.001902915895298592)	(20, 0.0024882788840414395)	(25, 0.003130525153251822)	(30, 0.004636716630930677)	(35, 0.008932619760940477)	(40, 0.01985615433824471)	(45, 0.0382668899343528)	(50, 0.07209348071904745)	(55, 0.12276335670474474)	(60, 0.20240092172306362)	(65, 0.3233119254484809)	(70, 0.5037101998139479)	(75, 0.7859028062126654)	(80, 1.2178515875345686)	(85, 1.8881549271082085)	(90, 2.8914058308960224)	(95, 4.3303398790593395)	(100, 6.299157728779936)	(105, 8.83383051913432)	(110, 11.93481185782058)	(115, 15.482741175142456)	(120, 19.37734394363713)	(125, 23.4444314039659)	(130, 27.576010405070214)	(135, 31.674469723849665)	(140, 34.05929931272357)
