.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
cutadapt | SRR30333743_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
cutadapt | SRR30333743_2	1	1	0.25	1	0.5	1	1	0.5	0.25	1	0.25
cutadapt | SRR30333754_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
cutadapt | SRR30333754_2	1	1	0.25	1	0.5	1	1	0.5	0.25	1	0.25
cutadapt | SRR30333756_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	0.25
cutadapt | SRR30333756_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	1	0.25
fastp | SRR30333743_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
fastp | SRR30333743_2	1	1	0.25	1	0.5	1	1	0.5	0.25	1	1
fastp | SRR30333754_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	1
fastp | SRR30333754_2	1	1	0.25	1	0.5	1	1	0.5	0.25	1	1
fastp | SRR30333756_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
fastp | SRR30333756_2	1	1	0.25	1	0.5	1	1	0.5	0.25	1	1
fastx | SRR30333743_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	0.25
fastx | SRR30333743_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	0.25
fastx | SRR30333754_1	1	1	0.25	1	0.25	1	1	0.5	0.25	1	0.25
fastx | SRR30333754_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	0.25
fastx | SRR30333756_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	0.25
fastx | SRR30333756_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	0.25
raw | SRR30333743_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	0.25
raw | SRR30333743_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.5	0.25
raw | SRR30333754_1	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
raw | SRR30333754_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.25	0.25
raw | SRR30333756_1	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
raw | SRR30333756_2	1	1	0.25	1	0.5	0.5	1	1	0.25	0.25	0.25
