Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
cutadapt | SRR30333743_1	(1, 0.0028698360455756793)	(2, 0.0703170805019701)	(3, 0.2685674682905982)	(4, 0.08787551789412895)	(5, 0.003648268910629139)	(6, 0.001961325626048534)	(7, 0.07735143075249235)	(8, 0.03894806525592546)	(9, 0.0)	(10, 0.1127926864382788)	(15, 3.12999115452305e-05)	(20, 0.05274482236964842)	(25, 0.00827537141867276)	(30, 0.009998917339540631)	(35, 0.09479694058286381)	(40, 0.1058420365407798)	(45, 0.006593891904666576)	(50, 0.020743842761614836)	(55, 0.042693689546123306)	(60, 0.033459320189163776)	(65, 0.027903043571075484)	(70, 0.031029040789695424)	(75, 0.020769171512278774)	(80, 0.006646815090752469)	(85, 0.02387090094130271)	(90, 0.023287660542582213)	(95, 0.0431343913871215)	(100, 0.11019036794898049)	(105, 0.013057985779630087)	(110, 0.025066508280622526)	(115, 0.04387916148765647)	(120, 0.08675519146551565)	(125, 0.013223271830112645)	(130, 0.0689264404639684)	(135, 0.077473048642545)	(140, 0.0344908170778802)	(145, 0.0029873678498464357)	(150, 0.0035077362613954877)
cutadapt | SRR30333743_2	(1, 0.07305480653128343)	(2, 0.044832042134071055)	(3, 0.00018292156097861976)	(4, 0.0021950587317434373)	(5, 0.04652101788044031)	(6, 9.146078048930988e-05)	(7, 0.06913215527918637)	(8, 0.08157082142573252)	(9, 5.0811544716283275e-05)	(10, 0.0763461751518254)	(15, 0.04055858797725277)	(20, 0.0783497759830779)	(25, 0.02334607558152238)	(30, 0.025999307940223204)	(35, 0.021765249849058123)	(40, 0.035233187271442354)	(45, 0.03637917044065644)	(50, 0.12028601880820897)	(55, 0.022175854813888896)	(60, 0.012702603075004872)	(65, 0.01234798898203531)	(70, 0.017070664786519783)	(75, 0.056536443860537376)	(80, 0.07641954336245836)	(85, 0.0532949579028978)	(90, 0.009030812462598042)	(95, 0.004273739988481806)	(100, 0.06955433833836791)	(105, 0.008535179258835393)	(110, 0.027138224418667957)	(115, 0.013604736853254858)	(120, 0.028998845133059954)	(125, 0.009895731869759583)	(130, 0.0689620311484917)	(135, 0.039159031328960855)	(140, 0.06587816253736396)	(145, 0.04481258992527483)	(150, 0.00018204428214055882)
cutadapt | SRR30333754_1	(1, 0.002021246370362386)	(2, 0.09229890078921943)	(3, 0.3508699036917252)	(4, 0.11323395505225785)	(5, 0.002781973653746045)	(6, 0.0016177999746892586)	(7, 0.10121486541399571)	(8, 0.05073187885889704)	(9, 0.0)	(10, 0.14598577359692233)	(15, 3.412233197235408e-05)	(20, 0.06951521901167876)	(25, 0.010854113080805998)	(30, 0.012710714079735189)	(35, 0.12227083128859338)	(40, 0.13564747744595848)	(45, 0.008231473947324711)	(50, 0.02592044118094828)	(55, 0.05483491051647601)	(60, 0.04260436036093912)	(65, 0.03662463811407757)	(70, 0.04106260731196666)	(75, 0.027741662396584692)	(80, 0.008581892474698094)	(85, 0.030084139536411102)	(90, 0.029712275496415877)	(95, 0.05486450681588125)	(100, 0.13901355655154354)	(105, 0.01602512876918135)	(110, 0.030742551005680154)	(115, 0.05468179137126595)	(120, 0.11048356054850804)	(125, 0.01788137995219972)	(130, 0.08850077700638667)	(135, 0.09888423020424715)	(140, 0.04118759300490808)	(145, 0.0015602189993441566)	(150, 0.0013222304652622083)
cutadapt | SRR30333754_2	(1, 0.06480232280749716)	(2, 0.04500133428353992)	(3, 0.00026294267578696383)	(4, 0.0017362245385933108)	(5, 0.05847965541261978)	(6, 0.00012444615189917375)	(7, 0.08837884700439545)	(8, 0.1050566385548831)	(9, 4.817270396097047e-05)	(10, 0.09742688512586474)	(15, 0.04372275043257583)	(20, 0.10176122416475306)	(25, 0.029748651891897644)	(30, 0.03328839577286813)	(35, 0.02879047626190945)	(40, 0.04488899879603308)	(45, 0.04636310796561063)	(50, 0.15398480725365188)	(55, 0.028562841863929496)	(60, 0.016057637420544883)	(65, 0.01641237293148467)	(70, 0.016381870358239983)	(75, 0.0733836610848961)	(80, 0.0985274084322198)	(85, 0.0680461817892976)	(90, 0.011419088356796336)	(95, 0.005530947658517134)	(100, 0.08891435432226422)	(105, 0.011033615095549709)	(110, 0.0343829898871747)	(115, 0.017551634061516296)	(120, 0.03686365192040701)	(125, 0.012374173933719375)	(130, 0.08800059858079795)	(135, 0.050563629434707665)	(140, 0.08466115755481743)	(145, 0.057570865649222265)	(150, 0.00014366040977695284)
cutadapt | SRR30333756_1	(1, 0.0014668382133614314)	(2, 0.10039509791309656)	(3, 0.38226667896369465)	(4, 0.12078270898520285)	(5, 0.0023370662137147066)	(6, 0.0012631678303000264)	(7, 0.10810988515027099)	(8, 0.054777046660535025)	(9, 0.0)	(10, 0.1590143143454041)	(15, 2.2218587243062354e-05)	(20, 0.07386240164700628)	(25, 0.012147806847484684)	(30, 0.013585677314607053)	(35, 0.13160974700355038)	(40, 0.14797901979152975)	(45, 0.008924501058978776)	(50, 0.027876142180024398)	(55, 0.05958225895092826)	(60, 0.0466539859597789)	(65, 0.03790511924976296)	(70, 0.04230337918902006)	(75, 0.028179930282241982)	(80, 0.009021588460119337)	(85, 0.03290210788400894)	(90, 0.031967893412524144)	(95, 0.05939752262664354)	(100, 0.15023652620109237)	(105, 0.017245403817019025)	(110, 0.03272737508172708)	(115, 0.05950198067934179)	(120, 0.12134944710221272)	(125, 0.019166824192884478)	(130, 0.09607498331951612)	(135, 0.10703156615468103)	(140, 0.045390023526662215)	(145, 0.0013107667672097526)	(150, 0.001089755532326662)
cutadapt | SRR30333756_2	(1, 0.05825384410875497)	(2, 0.04365129482623121)	(3, 0.00021189948944772433)	(4, 0.0015264992346622468)	(5, 0.06265641602543584)	(6, 7.200468088029466e-05)	(7, 0.09530333833656143)	(8, 0.1137241929823374)	(9, 2.674459575553802e-05)	(10, 0.105487268944951)	(15, 0.04411829661365483)	(20, 0.10920147611241625)	(25, 0.0321391864470897)	(30, 0.03583613021526194)	(35, 0.028997456651799057)	(40, 0.048450643531667434)	(45, 0.05016987937158904)	(50, 0.16715929919017294)	(55, 0.03179912553580551)	(60, 0.01725864281981282)	(65, 0.01685645750202284)	(70, 0.015691907263008197)	(75, 0.07713172448338858)	(80, 0.10589060841082357)	(85, 0.0739794875094933)	(90, 0.012283105791982189)	(95, 0.006293156950436739)	(100, 0.09569309990380737)	(105, 0.011712956942295629)	(110, 0.037545154389960755)	(115, 0.018465187706102098)	(120, 0.039643700584106656)	(125, 0.013186505781056292)	(130, 0.09501153871885434)	(135, 0.05425194086939065)	(140, 0.09068266392197395)	(145, 0.06346296640908684)	(150, 0.00013242848132227988)
fastp | SRR30333743_1	(1, 0.0022258248449952287)	(2, 0.06881491288618706)	(3, 0.2697683209262336)	(4, 0.08691443762204261)	(5, 0.0032139342988902375)	(6, 0.0019370245870718441)	(7, 0.07737990339260058)	(8, 0.03907673775601911)	(9, 0.0)	(10, 0.11326828630114552)	(15, 4.125717970334066e-07)	(20, 0.052847146625603116)	(25, 0.008035248319022626)	(30, 0.0090586463182416)	(35, 0.09271404117555468)	(40, 0.1046458382030229)	(45, 0.004819302600624269)	(50, 0.018673503415715834)	(55, 0.040971086076103266)	(60, 0.031520911333755924)	(65, 0.025779365321522262)	(70, 0.029435085983634125)	(75, 0.01970060170892906)	(80, 0.0053827128349781634)	(85, 0.02292919217422092)	(90, 0.022501715098738877)	(95, 0.042210900005463965)	(100, 0.10267132211574964)	(105, 0.009414278021278933)	(110, 0.02219470834196041)	(115, 0.041602538817184884)	(120, 0.0847066320589544)	(125, 0.012937046396560955)	(130, 0.06798091324599663)	(135, 0.07601588148052293)	(140, 0.03336908658108812)	(145, 0.0010566573554346885)	(150, 0.001486881195092557)
fastp | SRR30333743_2	(1, 0.0683115752938063)	(2, 0.04192142029656445)	(3, 0.00015884014185786155)	(4, 0.0010046123257763451)	(5, 0.04627198989628172)	(6, 4.125717970334066e-06)	(7, 0.06894487300225258)	(8, 0.08154894140162315)	(9, 3.5068602747839565e-05)	(10, 0.07626430925342224)	(15, 0.03962133252810321)	(20, 0.07836677513110449)	(25, 0.023134550946851243)	(30, 0.025813459717818857)	(35, 0.021333684562150387)	(40, 0.03461973385833498)	(45, 0.03563307967941551)	(50, 0.11980080394950376)	(55, 0.021985014554608457)	(60, 0.012459471374807084)	(65, 0.0117919098957712)	(70, 0.016681381656011268)	(75, 0.055846619887250634)	(80, 0.07596950432102367)	(85, 0.05307926368691466)	(90, 0.008509185879657098)	(95, 0.004129241791091603)	(100, 0.06821864788405978)	(105, 0.008447078613573047)	(110, 0.027306501814183495)	(115, 0.012699021863990054)	(120, 0.028794058842894932)	(125, 0.009275195591871756)	(130, 0.06821201709935454)	(135, 0.038825603200697806)	(140, 0.06461485497191544)	(145, 0.046187027049051116)	(150, 1.0991063358726628e-05)
fastp | SRR30333754_1	(1, 0.0015174648842550076)	(2, 0.09066903879944732)	(3, 0.35242456382048754)	(4, 0.11218181694937829)	(5, 0.002545491027164608)	(6, 0.0016055229004803319)	(7, 0.10136706384040299)	(8, 0.050920059847504404)	(9, 0.0)	(10, 0.14654246445266833)	(15, 4.095721684898806e-07)	(20, 0.06960883789569766)	(25, 0.01052846216320087)	(30, 0.011674233661390235)	(35, 0.11952328821957309)	(40, 0.13409440034386114)	(45, 0.00604018247063806)	(50, 0.023413549458220217)	(55, 0.05262587575432973)	(60, 0.040279198435240166)	(65, 0.03434464615880176)	(70, 0.03923666106954786)	(75, 0.026456640249399137)	(80, 0.007071074439682278)	(85, 0.02908777259714808)	(90, 0.028865578748412907)	(95, 0.05414782289328001)	(100, 0.13097330838770344)	(105, 0.012219553086462208)	(110, 0.028008065041898678)	(115, 0.0533593896972499)	(120, 0.10862769405466019)	(125, 0.01706014842105951)	(130, 0.08743475496508656)	(135, 0.09822795236777063)	(140, 0.04274536231109533)	(145, 0.000837621482221284)	(150, 0.0008908281605204472)
fastp | SRR30333754_2	(1, 0.06080917985569257)	(2, 0.042867871014993356)	(3, 0.00024574330109392836)	(4, 0.0008314315020344576)	(5, 0.05845618774771821)	(6, 2.047860842449403e-06)	(7, 0.08840410470769827)	(8, 0.10497949036648374)	(9, 3.276577347919045e-05)	(10, 0.09741919770832903)	(15, 0.04310501330054899)	(20, 0.10183766226199786)	(25, 0.029658759009026214)	(30, 0.033177457905444956)	(35, 0.028494592443992682)	(40, 0.044489220218473194)	(45, 0.045838735923121446)	(50, 0.15361422237005345)	(55, 0.028455508138098454)	(60, 0.015948411316878932)	(65, 0.01591594686963362)	(70, 0.016084583963360027)	(75, 0.07298032534085822)	(80, 0.09824820684413073)	(85, 0.06801659139477188)	(90, 0.010990936520721872)	(95, 0.005452581073620243)	(100, 0.08795275085008372)	(105, 0.011080858760125495)	(110, 0.03470934841109013)	(115, 0.016797858818731366)	(120, 0.036992833079679495)	(125, 0.01183191159265954)	(130, 0.08839913046766038)	(135, 0.050368454477921744)	(140, 0.08454844950528723)	(145, 0.05942968735011024)	(150, 7.503949140834092e-06)
