Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
cutadapt | SRR30333743_1	(1, 38.33879621800323)	(2, 38.84889286826841)	(3, 38.83529732487176)	(4, 38.957781724050754)	(5, 38.92170898248723)	(6, 38.85005584290388)	(7, 38.88453659779758)	(8, 38.898463635711956)	(9, 38.89209621747276)	(10, 38.87195881370652)	(15, 39.208897361634925)	(20, 39.24813586568045)	(25, 39.02956188436605)	(30, 38.9587578636652)	(35, 38.95067543270617)	(40, 38.948485279994614)	(45, 38.98243361737008)	(50, 38.949777387390476)	(55, 38.92970965700026)	(60, 38.911071916535064)	(65, 38.89107250177333)	(70, 38.85860370145333)	(75, 38.83803591814421)	(80, 38.80494399444579)	(85, 38.76381702312224)	(90, 38.724691219122825)	(95, 38.68694289504327)	(100, 38.612744827299956)	(105, 38.61697428761157)	(110, 38.56855691962967)	(115, 38.53881247930798)	(120, 38.48171514445112)	(125, 38.480512396395895)	(130, 38.448708421625)	(135, 38.38513507640381)	(140, 38.390587729880295)	(145, 38.42426147567453)	(150, 38.73862423344076)
cutadapt | SRR30333743_2	(1, 38.464220898353396)	(2, 38.93428370162591)	(3, 39.05728300467444)	(4, 39.084538479857194)	(5, 39.04345238674732)	(6, 39.062714840103084)	(7, 39.09017848002223)	(8, 39.096442445956384)	(9, 39.12224280044617)	(10, 39.13119447758994)	(15, 39.170830539291174)	(20, 39.14918837398525)	(25, 38.9275663259861)	(30, 38.85693031950287)	(35, 38.85908861539283)	(40, 38.84772756558404)	(45, 38.824648128278895)	(50, 38.78087566992913)	(55, 38.808264944949045)	(60, 38.78194881652914)	(65, 38.751687507377994)	(70, 38.719674390424586)	(75, 38.65927189572841)	(80, 38.611034496063894)	(85, 38.582987576723575)	(90, 38.53744357206429)	(95, 38.46468562456711)	(100, 38.3195479282616)	(105, 38.19385913804893)	(110, 37.98605073029052)	(115, 37.756952504557304)	(120, 37.43532759193074)	(125, 37.07144525634493)	(130, 36.66172574138443)	(135, 36.25698405842859)	(140, 35.84745976715984)	(145, 35.707087222847534)	(150, 36.6514504104322)
cutadapt | SRR30333754_1	(1, 38.18602018095073)	(2, 38.75305228775684)	(3, 38.7601839354269)	(4, 38.952600648585246)	(5, 38.94490819035324)	(6, 38.90448197834055)	(7, 38.91601018812545)	(8, 38.953957633511905)	(9, 38.96762956876699)	(10, 38.94007352961101)	(15, 39.269151362549884)	(20, 39.30000838807207)	(25, 39.09369239661109)	(30, 39.027707531655906)	(35, 39.00333397162787)	(40, 38.99758886800599)	(45, 39.041398636374595)	(50, 39.008313275167716)	(55, 38.98427850702491)	(60, 38.96766088372523)	(65, 38.94961225697595)	(70, 38.923114058130196)	(75, 38.902371308139394)	(80, 38.87847085055129)	(85, 38.83826948681495)	(90, 38.80439008173501)	(95, 38.763731317857584)	(100, 38.68749095791124)	(105, 38.701107554065274)	(110, 38.65007694591378)	(115, 38.59774627912384)	(120, 38.50604748955057)	(125, 38.44633759311372)	(130, 38.281727556597374)	(135, 38.045255233564006)	(140, 37.81210263838492)	(145, 37.61833372601024)	(150, 38.16333268924035)
cutadapt | SRR30333754_2	(1, 38.25941611270566)	(2, 38.77884483662378)	(3, 38.93708474251037)	(4, 39.00010186519692)	(5, 38.98418006394726)	(6, 39.00853654436521)	(7, 38.97648463506517)	(8, 38.97976009792708)	(9, 39.019200616128884)	(10, 39.03091069392881)	(15, 39.077874913351856)	(20, 39.0544432765909)	(25, 38.79617725507718)	(30, 38.720539926638075)	(35, 38.729557369610085)	(40, 38.71707890154486)	(45, 38.70068232383489)	(50, 38.65233970268257)	(55, 38.69070471391641)	(60, 38.66958511542889)	(65, 38.64635085583149)	(70, 38.620026667478534)	(75, 38.563721804837215)	(80, 38.5207590372092)	(85, 38.502104431847)	(90, 38.474528632079355)	(95, 38.41805510799436)	(100, 38.29599922969303)	(105, 38.20840842822562)	(110, 38.04679763624453)	(115, 37.870069508908564)	(120, 37.61922196667238)	(125, 37.34284480906132)	(130, 37.014086997128274)	(135, 36.71053594568603)	(140, 36.38858632099329)	(145, 36.34948406578612)	(150, 37.23349701489912)
cutadapt | SRR30333756_1	(1, 38.18961589226421)	(2, 38.736222310625685)	(3, 38.72364922356015)	(4, 38.94119141125698)	(5, 38.94136265896088)	(6, 38.90232830427269)	(7, 38.891507769994256)	(8, 38.92613510904831)	(9, 38.941037609258615)	(10, 38.910418536259634)	(15, 39.26205154378961)	(20, 39.29881840935858)	(25, 39.09683414550842)	(30, 39.03884317907839)	(35, 39.01116270155628)	(40, 39.01124439049529)	(45, 39.05824666771842)	(50, 39.03154602633789)	(55, 39.005091868408556)	(60, 38.99272506739758)	(65, 38.97717126612724)	(70, 38.956224457732624)	(75, 38.938596537498064)	(80, 38.91861794593609)	(85, 38.88514210005614)	(90, 38.856131089650304)	(95, 38.824829373834305)	(100, 38.7520228643938)	(105, 38.786353036078275)	(110, 38.75094567980471)	(115, 38.72422448940267)	(120, 38.66932501076873)	(125, 38.678794996951545)	(130, 38.59880945362481)	(135, 38.47927970400409)	(140, 38.39690752302274)	(145, 38.34382078665825)	(150, 38.683137726661855)
cutadapt | SRR30333756_2	(1, 38.31344481070597)	(2, 38.79384201979631)	(3, 38.91471166929048)	(4, 38.967974436939336)	(5, 38.973727405214014)	(6, 38.992734131088966)	(7, 38.98600050020623)	(8, 38.97563404801819)	(9, 39.02110726699836)	(10, 39.018989843863196)	(15, 39.06804897001315)	(20, 39.03949923748071)	(25, 38.775142190214936)	(30, 38.69543824331156)	(35, 38.704298824306555)	(40, 38.68748883922052)	(45, 38.67177799293334)	(50, 38.61849461985288)	(55, 38.660216976678946)	(60, 38.63922797537096)	(65, 38.61838345117802)	(70, 38.59168684069589)	(75, 38.53742113165763)	(80, 38.49568734515043)	(85, 38.48318652696911)	(90, 38.469634893986736)	(95, 38.43155501449094)	(100, 38.33741460480951)	(105, 38.292724331910364)	(110, 38.18569281973849)	(115, 38.072921920499155)	(120, 37.889483755941235)	(125, 37.6835886169958)	(130, 37.39740668929452)	(135, 37.12078870457172)	(140, 36.807544242864246)	(145, 36.71334576688905)	(150, 37.50177857792696)
fastp | SRR30333743_1	(1, 38.36546467930557)	(2, 38.87302807957462)	(3, 38.85775595062101)	(4, 38.98242058390007)	(5, 38.94724425865603)	(6, 38.875857249415596)	(7, 38.910005239455536)	(8, 38.923905773469905)	(9, 38.91761648773875)	(10, 38.89732714742435)	(15, 39.234853397047075)	(20, 39.27494320485071)	(25, 39.07921726301067)	(30, 39.015895480204975)	(35, 39.008989006397634)	(40, 39.006660218699515)	(45, 39.04071446453768)	(50, 39.00735156331548)	(55, 38.9856985745738)	(60, 38.96538990552258)	(65, 38.943529204311425)	(70, 38.908755773993924)	(75, 38.88576799748115)	(80, 38.85081820632659)	(85, 38.80851157399434)	(90, 38.76952324421298)	(95, 38.73322753290408)	(100, 38.664103686452094)	(105, 38.67152196217991)	(110, 38.62788677278266)	(115, 38.60359659940063)	(120, 38.553299274452506)	(125, 38.56128254276872)	(130, 38.542083548472974)	(135, 38.50048002275949)	(140, 38.543879318468235)	(145, 38.66324744797878)	(150, 38.53394679413)
fastp | SRR30333743_2	(1, 38.558140989439174)	(2, 39.09806144683442)	(3, 39.21508566300422)	(4, 39.2442133969035)	(5, 39.21180414944497)	(6, 39.232730244819486)	(7, 39.260968391409996)	(8, 39.26759478955651)	(9, 39.295569178997184)	(10, 39.305967952124185)	(15, 39.34919247219024)	(20, 39.32769064937584)	(25, 39.18403591387984)	(30, 39.128754023657336)	(35, 39.12423965362573)	(40, 39.10833425527598)	(45, 39.08129581598379)	(50, 39.03387792762919)	(55, 39.05829095959283)	(60, 39.02971445782259)	(65, 38.99775931845814)	(70, 38.96713503081544)	(75, 38.91041864457631)	(80, 38.872066468479524)	(85, 38.86065856279865)	(90, 38.84263469171694)	(95, 38.815298668821654)	(100, 38.744088312054224)	(105, 38.724915884494834)	(110, 38.67663842984913)	(115, 38.65348851795788)	(120, 38.59620261491068)	(125, 38.560589468507985)	(130, 38.49940158419405)	(135, 38.472525050501055)	(140, 38.44308962236454)	(145, 38.53837227569413)	(150, 38.34901685570702)
fastp | SRR30333754_1	(1, 38.214123182884435)	(2, 38.77863551974084)	(3, 38.78420336667094)	(4, 38.97855674672567)	(5, 38.971869539059085)	(6, 38.93161682729712)	(7, 38.94256522380467)	(8, 38.98077527629073)	(9, 38.99414055816454)	(10, 38.96674991152729)	(15, 39.296085491473185)	(20, 39.327714767716365)	(25, 39.1447528101924)	(30, 39.08639940638068)	(35, 39.063640942975766)	(40, 39.05795143315308)	(45, 39.10186140806513)	(50, 39.0684843410487)	(55, 39.04312782104547)	(60, 39.024985346215054)	(65, 39.00494279756251)	(70, 38.97611666701489)	(75, 38.95295611419265)	(80, 38.927185418174965)	(85, 38.886144648155806)	(90, 38.852782797954056)	(95, 38.81442333304445)	(100, 38.744377702139424)	(105, 38.76476729810997)	(110, 38.72664166485526)	(115, 38.6982529484244)	(120, 38.64816705982932)	(125, 38.66750296630316)	(130, 38.64069912407658)	(135, 38.61139752014639)	(140, 38.66223455687463)	(145, 38.78265596135566)	(150, 38.650014037344036)
fastp | SRR30333754_2	(1, 38.40226470473134)	(2, 39.010839429832124)	(3, 39.162697444759104)	(4, 39.22533896858219)	(5, 39.219624576730205)	(6, 39.24981258489535)	(7, 39.21962605119001)	(8, 39.22327697749993)	(9, 39.26691980001492)	(10, 39.28023866097915)	(15, 39.331309885722604)	(20, 39.307181432258716)	(25, 39.15518741479747)	(30, 39.098923227759045)	(35, 39.09694260507299)	(40, 39.0774437044308)	(45, 39.05551402801058)	(50, 39.00199766440384)	(55, 39.03632857693437)	(60, 39.011685208185675)	(65, 38.98504579424424)	(70, 38.957088380070665)	(75, 38.89973808464727)	(80, 38.86061763478639)	(85, 38.849977730734125)	(90, 38.83857245343245)	(95, 38.81203739277481)	(100, 38.740763460554994)	(105, 38.73234392797396)	(110, 38.68793033526683)	(115, 38.6692518326945)	(120, 38.62009206569887)	(125, 38.59910838196792)	(130, 38.53452340755748)	(135, 38.51910457811586)	(140, 38.49644465928339)	(145, 38.60097383380965)	(150, 38.411088719074456)
fastp | SRR30333756_1	(1, 38.21767805031926)	(2, 38.76157448593082)	(3, 38.74752860140486)	(4, 38.96654739124293)	(5, 38.96746634439476)	(6, 38.929016584426016)	(7, 38.917276199702734)	(8, 38.95241874346465)	(9, 38.96718248279899)	(10, 38.93629183925178)	(15, 39.288345916836356)	(20, 39.32551841288355)	(25, 39.146160067192184)	(30, 39.095746364443485)	(35, 39.06989536644021)	(40, 39.070055286317135)	(45, 39.11774137516352)	(50, 39.091264228686)	(55, 39.06384869735972)	(60, 39.05058039323425)	(65, 39.03346693710246)	(70, 39.0106967032524)	(75, 38.99063315708366)	(80, 38.968416343911734)	(85, 38.93284346092837)	(90, 38.902056277884995)	(95, 38.86873542798802)	(100, 38.796707982302294)	(105, 38.828456489758935)	(110, 38.7914257453305)	(115, 38.76486827780937)	(120, 38.714032818231864)	(125, 38.74070804527681)	(130, 38.70807721411599)	(135, 38.681891028838585)	(140, 38.73285653683505)	(145, 38.84259619865447)	(150, 38.70924032232455)
fastp | SRR30333756_2	(1, 38.43869557479823)	(2, 39.01798015926158)	(3, 39.1317488833725)	(4, 39.184187856223076)	(5, 39.197660857962966)	(6, 39.22223097302507)	(7, 39.21746745077123)	(8, 39.20854240090826)	(9, 39.258165996950595)	(10, 39.258601785534324)	(15, 39.31222612279646)	(20, 39.28397978403741)	(25, 39.12257016602884)	(30, 39.06300162863215)	(35, 39.063264119248345)	(40, 39.040973772622955)	(45, 39.021283387108404)	(50, 38.96372268296875)	(55, 39.00217211430994)	(60, 38.977343308689726)	(65, 38.95258489177436)	(70, 38.92192156566274)	(75, 38.86400997580044)	(80, 38.819995883130765)	(85, 38.807688185396024)	(90, 38.798393438337946)	(95, 38.771103130440146)	(100, 38.69951674645159)	(105, 38.694964290025204)	(110, 38.65362101143868)	(115, 38.63914802843591)	(120, 38.59452208873007)	(125, 38.5794854680277)	(130, 38.517438170659005)	(135, 38.50483682311601)	(140, 38.48329249804819)	(145, 38.581195366140264)	(150, 38.413810483556034)
fastx | SRR30333743_1	(1, 38.32352160965768)	(2, 38.836145307854935)	(3, 38.8262191301833)	(4, 38.9476182832743)	(5, 38.911935784501296)	(6, 38.84052140159641)	(7, 38.874261502741376)	(8, 38.88873656302535)	(9, 38.88290645572638)	(10, 38.86259141107165)	(15, 39.19985848719231)	(20, 39.239170726004104)	(25, 39.01178715932362)	(30, 38.9361020487558)	(35, 38.92440429809122)	(40, 38.909797873551085)	(45, 38.92723010676799)	(50, 38.87934531223054)	(55, 38.8428632177867)	(60, 38.819784389591476)	(65, 38.79801434127666)	(70, 38.771348834520495)	(75, 38.75440525685387)	(80, 38.7159862662391)	(85, 38.6697865384734)	(90, 38.6258945881292)	(95, 38.57867984551765)	(100, 38.4896362069657)	(105, 38.46404836299812)	(110, 38.370970088342105)	(115, 38.26925447108951)	(120, 38.10519778909825)	(125, 37.94531365145641)	(130, 37.67212709058304)	(135, 37.27389483015789)	(140, 36.858077931701565)	(145, 36.57401789744448)	(150, 37.57799433349636)
fastx | SRR30333743_2	(1, 38.38306933359049)	(2, 38.83595463325992)	(3, 38.97074983443229)	(4, 38.99201947372095)	(5, 38.938495605790976)	(6, 38.95231460334045)	(7, 38.98013912099132)	(8, 38.98277415127198)	(9, 39.00384193738803)	(10, 39.003111760684064)	(15, 39.03300221521481)	(20, 39.009646940795605)	(25, 38.73299380133899)	(30, 38.635966941672315)	(35, 38.61866406056761)	(40, 38.5957312405652)	(45, 38.5714113826545)	(50, 38.522698087838435)	(55, 38.550439444856664)	(60, 38.52106995196545)	(65, 38.48577594868745)	(70, 38.4482693296221)	(75, 38.384003455458036)	(80, 38.33096680298952)	(85, 38.29435793711004)	(90, 38.23727612860186)	(95, 38.15016140002235)	(100, 37.988376540621495)	(105, 37.84223385015879)	(110, 37.60930780504985)	(115, 37.34968190866867)	(120, 36.99044908282376)	(125, 36.57790145932655)	(130, 36.108523103475044)	(135, 35.625342258816566)	(140, 35.10856169201234)	(145, 34.82538510564049)	(150, 36.33196683023267)
fastx | SRR30333754_1	(1, 38.170879532011284)	(2, 38.73955323189637)	(3, 38.751077501040776)	(4, 38.94226352823925)	(5, 38.93528378216243)	(6, 38.8953096414828)	(7, 38.906331286235)	(8, 38.944563073978756)	(9, 38.95888074472964)	(10, 38.93089360079684)	(15, 39.26076321791567)	(20, 39.291682642802186)	(25, 39.07700756070002)	(30, 39.00448949274278)	(35, 38.97875443490672)	(40, 38.963440675348686)	(45, 38.98659780242751)	(50, 38.943554411732755)	(55, 38.915871339899155)	(60, 38.893915195443185)	(65, 38.864978858655086)	(70, 38.83964059224341)	(75, 38.826908364801184)	(80, 38.8018356594391)	(85, 38.761785592725886)	(90, 38.726072493390824)	(95, 38.679646417049454)	(100, 38.59240294191851)	(105, 38.59063143363626)	(110, 38.5175439204272)	(115, 38.43538862799958)	(120, 38.30270095115277)	(125, 38.190504942973014)	(130, 37.9647553869208)	(135, 37.65043916227201)	(140, 37.29161067462444)	(145, 36.95595862482469)	(150, 37.80080343698029)
fastx | SRR30333754_2	(1, 38.12572515018546)	(2, 38.62923625949589)	(3, 38.805517555350825)	(4, 38.861303382556464)	(5, 38.83081874342727)	(6, 38.8447779615645)	(7, 38.810823922337484)	(8, 38.80914118754408)	(9, 38.84150487465413)	(10, 38.838975609211886)	(15, 38.87271203243258)	(20, 38.84439884028425)	(25, 38.509853297484156)	(30, 38.39772718260434)	(35, 38.38836156778882)	(40, 38.366796663967605)	(45, 38.34299937191524)	(50, 38.283952616298926)	(55, 38.31942779109693)	(60, 38.29505808658645)	(65, 38.26779182503348)	(70, 38.23786452745968)	(75, 38.18051669192651)	(80, 38.135750811950196)	(85, 38.111116107861406)	(90, 38.07518813516853)	(95, 38.008726188203674)	(100, 37.87528231708832)	(105, 37.77345347396694)	(110, 37.59289387740957)	(115, 37.39175774691298)	(120, 37.11173467486613)	(125, 36.797480336797)	(130, 36.42048119907021)	(135, 36.05321943316343)	(140, 35.64918233338133)	(145, 35.48029044388742)	(150, 36.8044718251968)
fastx | SRR30333756_1	(1, 38.17560082886497)	(2, 38.72498125941173)	(3, 38.71397782099543)	(4, 38.93211589789707)	(5, 38.93192942618101)	(6, 38.89306640623038)	(7, 38.882595744145696)	(8, 38.91698384470285)	(9, 38.932025092881275)	(10, 38.901988159749166)	(15, 39.253924333626784)	(20, 39.29073933885832)	(25, 39.080995791910745)	(30, 39.019222312897774)	(35, 38.98909227649902)	(40, 38.98582342450385)	(45, 39.026587628266604)	(50, 38.99478167681748)	(55, 38.965851721114646)	(60, 38.95120299971557)	(65, 38.931807723352314)	(70, 38.90906907863003)	(75, 38.88982482788332)	(80, 38.86583030157752)	(85, 38.82852052151169)	(90, 38.79583581054908)	(95, 38.76008681602378)	(100, 38.68057304232924)	(105, 38.70536924835103)	(110, 38.656807465200885)	(115, 38.61134155370833)	(120, 38.52899979734629)	(125, 38.50070991389939)	(130, 38.3750850941036)	(135, 38.19548661099206)	(140, 38.00039390949518)	(145, 37.819255126570525)	(150, 38.40690339468993)
fastx | SRR30333756_2	(1, 38.197763520676)	(2, 38.660220769493755)	(3, 38.79454573645741)	(4, 38.841851011228364)	(5, 38.83588034036452)	(6, 38.84446020898091)	(7, 38.83579230771425)	(8, 38.82003884284999)	(9, 38.85801812106502)	(10, 38.841782987824935)	(15, 38.87816601029239)	(20, 38.841918801592364)	(25, 38.50939893387679)	(30, 38.39622219794505)	(35, 38.38686636430739)	(40, 38.35988739053023)	(45, 38.337136338467744)	(50, 38.27804249939921)	(55, 38.316066432788844)	(60, 38.29234433760212)	(65, 38.26877776006767)	(70, 38.239238213418545)	(75, 38.18279950497606)	(80, 38.1384620033041)	(85, 38.12154570052705)	(90, 38.10293771689609)	(95, 38.05865782801006)	(100, 37.95774116383495)	(105, 37.903708009484966)	(110, 37.78421658540535)	(115, 37.65471276162837)	(120, 37.45121155597068)	(125, 37.21870905951956)	(130, 36.89705259636891)	(135, 36.57280941580724)	(140, 36.19058715787975)	(145, 35.99011297918557)	(150, 37.187006506810306)
raw | SRR30333743_1	(1, 38.32352160965768)	(2, 38.836145307854935)	(3, 38.8262191301833)	(4, 38.9476182832743)	(5, 38.911935784501296)	(6, 38.84052140159641)	(7, 38.874261502741376)	(8, 38.88873656302535)	(9, 38.88290645572638)	(10, 38.86259141107165)	(15, 39.19985848719231)	(20, 39.239170726004104)	(25, 39.01178715932362)	(30, 38.9361020487558)	(35, 38.92440429809122)	(40, 38.909797873551085)	(45, 38.92723010676799)	(50, 38.87934531223054)	(55, 38.8428632177867)	(60, 38.819784389591476)	(65, 38.79801434127666)	(70, 38.771348834520495)	(75, 38.75440525685387)	(80, 38.7159862662391)	(85, 38.6697865384734)	(90, 38.6258945881292)	(95, 38.57867984551765)	(100, 38.4896362069657)	(105, 38.46404836299812)	(110, 38.370970088342105)	(115, 38.269254366317476)	(120, 38.10519622805248)	(125, 37.94528653179619)	(130, 37.67137741375183)	(135, 37.26419839547887)	(140, 36.783661406952945)	(145, 36.13179656370126)	(150, 35.49808739527744)
raw | SRR30333743_2	(1, 38.38306933359049)	(2, 38.83595463325992)	(3, 38.97074983443229)	(4, 38.99201947372095)	(5, 38.938495605790976)	(6, 38.95231460334045)	(7, 38.98013912099132)	(8, 38.98277415127198)	(9, 39.00384193738803)	(10, 39.003111760684064)	(15, 39.03300221521481)	(20, 39.009646940795605)	(25, 38.73299380133899)	(30, 38.635966941672315)	(35, 38.61866406056761)	(40, 38.5957312405652)	(45, 38.5714113826545)	(50, 38.522698087838435)	(55, 38.550439444856664)	(60, 38.52106995196545)	(65, 38.48577594868745)	(70, 38.4482693296221)	(75, 38.384003455458036)	(80, 38.33096638264363)	(85, 38.29435657295073)	(90, 38.237267960425996)	(95, 38.150145743699696)	(100, 37.98834491157835)	(105, 37.84218124071392)	(110, 37.60924279129961)	(115, 37.34958722203943)	(120, 36.990288167561445)	(125, 36.577579075012224)	(130, 36.107732783049215)	(135, 35.62227866561079)	(140, 35.08912095039308)	(145, 34.58911226104518)	(150, 33.417361157425134)
raw | SRR30333754_1	(1, 38.170879532011284)	(2, 38.73955323189637)	(3, 38.751077501040776)	(4, 38.94226352823925)	(5, 38.93528378216243)	(6, 38.8953096414828)	(7, 38.906331286235)	(8, 38.944563073978756)	(9, 38.95888074472964)	(10, 38.93089360079684)	(15, 39.26076321791567)	(20, 39.291682642802186)	(25, 39.07700756070002)	(30, 39.00448949274278)	(35, 38.97875443490672)	(40, 38.963440675348686)	(45, 38.98659780242751)	(50, 38.943554411732755)	(55, 38.915871339899155)	(60, 38.893915195443185)	(65, 38.864978858655086)	(70, 38.83964059224341)	(75, 38.826908364801184)	(80, 38.8018356594391)	(85, 38.761785592725886)	(90, 38.726072493390824)	(95, 38.679646417049454)	(100, 38.59240294191851)	(105, 38.59063143363626)	(110, 38.5175439204272)	(115, 38.43538842120159)	(120, 38.30269817307386)	(125, 38.190492342904925)	(130, 37.964676982601716)	(135, 37.64972256425342)	(140, 37.282687372912655)	(145, 36.800571136324535)	(150, 36.15852959269613)
