Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR35329977_1	(1, 29.896862769806962)	(2, 36.04030668544923)	(3, 38.22460300169905)	(4, 38.620676484922505)	(5, 38.61095622755474)	(6, 38.74802227584131)	(7, 38.763641328220295)	(8, 38.644121371248765)	(9, 38.66458207129779)	(10, 38.896264276208015)	(15, 39.1281358400873)	(20, 39.21315938895643)	(25, 39.1788289998311)	(30, 39.16918690441051)	(35, 39.164316018790004)	(40, 39.15115802571471)	(45, 39.123851736515846)	(50, 39.12790098891936)	(55, 39.09998412218884)	(60, 39.049753561416466)	(65, 39.05275494758122)	(70, 39.01515301912937)	(75, 39.00931581129178)	(80, 38.97383337721267)	(85, 38.924590464351944)	(90, 38.84840701059461)	(95, 38.80843851143608)	(100, 38.78245258951178)	(105, 38.78451539107194)	(110, 38.730364462888545)	(115, 38.66337374616096)	(120, 38.572577458691164)	(125, 38.53113992683727)	(130, 38.47199343565903)	(135, 38.3966452964843)	(140, 38.375728618376115)	(145, 38.46107549484715)	(150, 37.95035482942351)
fastp | SRR35329977_2	(1, 21.57856261755453)	(2, 33.66978795890748)	(3, 35.73512127202378)	(4, 36.90740988718789)	(5, 37.701965621734765)	(6, 38.23746231901918)	(7, 38.349598196635455)	(8, 38.597019631094284)	(9, 38.68713009764445)	(10, 38.84662422632918)	(15, 38.94661584456411)	(20, 39.04190095497207)	(25, 39.065137608906525)	(30, 39.069342340043605)	(35, 39.06610780029264)	(40, 39.06015470505759)	(45, 39.0586955205324)	(50, 39.02332327798891)	(55, 38.98700394388957)	(60, 38.97586190863028)	(65, 38.977579247665105)	(70, 38.946095530672274)	(75, 38.89340683610324)	(80, 38.876037769604764)	(85, 38.8347971385193)	(90, 38.78304043771966)	(95, 38.722077990422676)	(100, 38.69899198553216)	(105, 38.640684456028715)	(110, 38.579121858083724)	(115, 38.5216723656685)	(120, 38.45890687144544)	(125, 38.37650400520651)	(130, 38.29792790782176)	(135, 38.252107389933414)	(140, 38.15805153151099)	(145, 38.259759406235695)	(150, 37.61772324492397)
fastp | SRR35329978_1	(1, 29.610410124438506)	(2, 35.934104876306414)	(3, 38.380204474939895)	(4, 38.74871831680863)	(5, 38.75416478059382)	(6, 38.691922461127774)	(7, 38.695194564875884)	(8, 38.78087530527726)	(9, 38.75994310408267)	(10, 38.921884366463814)	(15, 39.14345475162143)	(20, 39.22426332794428)	(25, 39.19206449551594)	(30, 39.18161778645817)	(35, 39.17269050806938)	(40, 39.150603282553725)	(45, 39.112606629701794)	(50, 39.100357462566706)	(55, 39.07433174393372)	(60, 39.01820682473283)	(65, 39.039378351759254)	(70, 38.993024170626484)	(75, 38.98581441191273)	(80, 38.94713132100209)	(85, 38.895757473127254)	(90, 38.81930439859563)	(95, 38.77581583170074)	(100, 38.752052697514564)	(105, 38.74771717471768)	(110, 38.696188282011164)	(115, 38.626829182162716)	(120, 38.54298642136955)	(125, 38.499397868558006)	(130, 38.447494450307275)	(135, 38.373889739372736)	(140, 38.36327906648074)	(145, 38.46103569312412)	(150, 37.96095390740946)
fastp | SRR35329978_2	(1, 22.552826279245636)	(2, 34.09622684303708)	(3, 36.02942871925971)	(4, 37.11955504618705)	(5, 37.87804003466652)	(6, 38.40872928120414)	(7, 38.49481538700275)	(8, 38.708422313016)	(9, 38.79004123214583)	(10, 38.927804474920336)	(15, 39.008364814250925)	(20, 39.093439260651074)	(25, 39.113401594240514)	(30, 39.11674627730244)	(35, 39.11504240995865)	(40, 39.10660097478321)	(45, 39.10497154662987)	(50, 39.068906590477)	(55, 39.03330399867848)	(60, 39.01905694369329)	(65, 39.02262439336971)	(70, 38.99191066468873)	(75, 38.933610786103735)	(80, 38.92603366815278)	(85, 38.88701066479244)	(90, 38.83788023495352)	(95, 38.77943008210575)	(100, 38.756775326823934)	(105, 38.70140247897216)	(110, 38.642007460741965)	(115, 38.58658471811841)	(120, 38.524888848906315)	(125, 38.44476846340133)	(130, 38.369704229572484)	(135, 38.324556214072274)	(140, 38.23688517152037)	(145, 38.33978880177068)	(150, 37.70604381507401)
fastp | SRR35329979_1	(1, 29.059732980128985)	(2, 35.93591496757996)	(3, 38.38642844642833)	(4, 38.62375356898967)	(5, 38.65255573871263)	(6, 38.814873356994745)	(7, 38.82329554820723)	(8, 38.62257233623532)	(9, 38.68905803492666)	(10, 38.91988764400183)	(15, 39.1570153613603)	(20, 39.23464300271342)	(25, 39.200016617275935)	(30, 39.19184898901047)	(35, 39.18761966623827)	(40, 39.171194694894716)	(45, 39.14758238196829)	(50, 39.150382938183824)	(55, 39.131057910339244)	(60, 39.082095814707436)	(65, 39.07681464652509)	(70, 39.027614638530906)	(75, 39.02101984325705)	(80, 38.98343860167861)	(85, 38.934761019484064)	(90, 38.85839306996952)	(95, 38.817222287999755)	(100, 38.793011684000405)	(105, 38.79289328952065)	(110, 38.74014327008645)	(115, 38.67168447465923)	(120, 38.586494417181605)	(125, 38.543694515096455)	(130, 38.490247271984195)	(135, 38.41662477194789)	(140, 38.40139439983224)	(145, 38.489000553736716)	(150, 37.98620195135355)
fastp | SRR35329979_2	(1, 20.25518251153687)	(2, 33.549161742129314)	(3, 35.52479189875099)	(4, 36.82165773654555)	(5, 37.665702358741406)	(6, 38.19294556795322)	(7, 38.301149200137075)	(8, 38.54608850584363)	(9, 38.63962510979092)	(10, 38.8105257017532)	(15, 38.925520237637976)	(20, 39.02450161647927)	(25, 39.05255767386082)	(30, 39.06244365175025)	(35, 39.06027468589805)	(40, 39.05512029637358)	(45, 39.05209453809209)	(50, 39.01680023508772)	(55, 38.978897823369316)	(60, 38.96835224851823)	(65, 38.96913158043701)	(70, 38.93642015086307)	(75, 38.885124647981044)	(80, 38.86510957938064)	(85, 38.82275326770862)	(90, 38.769657529740805)	(95, 38.709733888876556)	(100, 38.68395863947872)	(105, 38.626833520819815)	(110, 38.56393023401749)	(115, 38.507403102758396)	(120, 38.44342471058685)	(125, 38.36307820013091)	(130, 38.28450075005774)	(135, 38.24020382353045)	(140, 38.149401973421426)	(145, 38.257998286929805)	(150, 37.62153843866794)
fastp | SRR35329980_1	(1, 27.984236729554034)	(2, 36.412039800004884)	(3, 38.483538607550955)	(4, 38.648360872338245)	(5, 38.62725980033318)	(6, 38.59940263761061)	(7, 38.805189490075726)	(8, 38.79929688551839)	(9, 38.71290734308542)	(10, 38.90147342415222)	(15, 39.16130603578748)	(20, 39.23760768933549)	(25, 39.201391117147445)	(30, 39.184117285613674)	(35, 39.17742263791939)	(40, 39.158734436196895)	(45, 39.13229975003212)	(50, 39.1191781370848)	(55, 39.0935294106266)	(60, 39.04382136851733)	(65, 39.038786591340354)	(70, 38.99789317039543)	(75, 38.98865830138007)	(80, 38.94861722725502)	(85, 38.89406151515046)	(90, 38.81342472381727)	(95, 38.76631862286856)	(100, 38.738057689429176)	(105, 38.73156660022467)	(110, 38.67429416818813)	(115, 38.59962487333932)	(120, 38.51025563259437)	(125, 38.463331671966024)	(130, 38.40593403414949)	(135, 38.329893650181326)	(140, 38.31690300930952)	(145, 38.41891762197032)	(150, 37.89840217677333)
fastp | SRR35329980_2	(1, 20.718482130031187)	(2, 33.71387363858214)	(3, 35.394309952289085)	(4, 36.69430992677386)	(5, 37.59776328456439)	(6, 38.16773341559441)	(7, 38.313064789018455)	(8, 38.53195440565819)	(9, 38.64713683907387)	(10, 38.83971852967339)	(15, 38.96113027672875)	(20, 39.064406371763425)	(25, 39.091559222489934)	(30, 39.101061622696754)	(35, 39.10065187186474)	(40, 39.09582170099779)	(45, 39.095944281065684)	(50, 39.061186063077685)	(55, 39.025685198535086)	(60, 39.01364905846466)	(65, 39.016631036386926)	(70, 38.98334793959463)	(75, 38.93198722606769)	(80, 38.913862696707824)	(85, 38.873774990904785)	(90, 38.823095046234094)	(95, 38.76315803138404)	(100, 38.73996658967783)	(105, 38.68256948359809)	(110, 38.62342435431607)	(115, 38.56554087557443)	(120, 38.50365989841733)	(125, 38.42135142970714)	(130, 38.34533756969793)	(135, 38.29711345006111)	(140, 38.20785909285651)	(145, 38.31277052047493)	(150, 37.66817792282532)
fastp | SRR35329981_1	(1, 27.8702085592227)	(2, 35.96740140492339)	(3, 38.45858311792502)	(4, 38.71759452946321)	(5, 38.66024432618781)	(6, 38.79850159278677)	(7, 38.65026860921773)	(8, 38.63675915181904)	(9, 38.747539858660396)	(10, 38.94387900458441)	(15, 39.16431522445758)	(20, 39.24740751809688)	(25, 39.215703439637494)	(30, 39.20470270467653)	(35, 39.19641382292386)	(40, 39.17610625948103)	(45, 39.14198651567865)	(50, 39.117204145651705)	(55, 39.07983342199537)	(60, 39.02054379720143)	(65, 39.04440440034241)	(70, 39.01828143437504)	(75, 39.01057981717584)	(80, 38.97146768121683)	(85, 38.91976408831245)	(90, 38.84329495912972)	(95, 38.79821537696667)	(100, 38.77381717564025)	(105, 38.76627276684569)	(110, 38.71315572372767)	(115, 38.63999396902792)	(120, 38.554179798295266)	(125, 38.508585183418276)	(130, 38.45394453592311)	(135, 38.37999584420817)	(140, 38.36706344374772)	(145, 38.46629069225035)	(150, 37.94815452352846)
fastp | SRR35329981_2	(1, 20.915072439683126)	(2, 33.75990911594196)	(3, 35.77468263608977)	(4, 36.9859637147693)	(5, 37.79270044037822)	(6, 38.29590669501566)	(7, 38.39480446644199)	(8, 38.614305700615944)	(9, 38.70937441348679)	(10, 38.86899717135317)	(15, 38.9700337183512)	(20, 39.06387753346043)	(25, 39.08389248075446)	(30, 39.08585715515082)	(35, 39.081630184293125)	(40, 39.07301499446882)	(45, 39.07254660319499)	(50, 39.03619765792237)	(55, 38.999717825490706)	(60, 38.9840453034108)	(65, 38.985712459485605)	(70, 38.956565016531826)	(75, 38.8938485029134)	(80, 38.88769085098324)	(85, 38.847967520454645)	(90, 38.79685696089548)	(95, 38.73675125725123)	(100, 38.711630570144585)	(105, 38.655007004001035)	(110, 38.59311302256018)	(115, 38.53478913019027)	(120, 38.47139406444147)	(125, 38.38822719431992)	(130, 38.31015374039096)	(135, 38.262994576050495)	(140, 38.174308865240036)	(145, 38.28534828424067)	(150, 37.64102947710553)
