Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastp | SRR35329977_1										68.85017874360626	49.0	133.27376703401993	142	18.181818181818183	89.957186
fastp | SRR35329977_2										60.02026993682049	50.0	133.20231444322857	142	27.27272727272727	89.957186
fastp | SRR35329978_1										65.51797586786013	49.0	131.7715484288162	142	18.181818181818183	61.342186999999996
fastp | SRR35329978_2										57.25022663752581	50.0	131.740617317736	142	27.27272727272727	61.342186999999996
fastp | SRR35329979_1										68.63642743401651	49.0	133.63489060347283	147	18.181818181818183	89.605541
fastp | SRR35329979_2										58.145896110638496	50.0	133.5739020759888	142	27.27272727272727	89.605541
fastp | SRR35329980_1										62.35977194824511	50.0	133.38265155383027	142	18.181818181818183	58.788435
fastp | SRR35329980_2										54.69246354779935	50.0	133.32126374855872	142	27.27272727272727	58.788435
fastp | SRR35329981_1										65.734460889599	50.0	131.69550705459798	142	18.181818181818183	75.914744
fastp | SRR35329981_2										56.87402126431251	50.0	131.6578911469424	142	27.27272727272727	75.914744
fastp | SRR35329982_1										65.95852020088338	49.0	131.73107600674248	142	18.181818181818183	69.28609
fastp | SRR35329982_2										56.470594638476726	50.0	131.67752242910518	142	27.27272727272727	69.28609
fastp | SRR35329983_1										66.05723589118296	50.0	132.09356647965905	142	18.181818181818183	67.768714
fastp | SRR35329983_2										56.78283048352535	50.0	132.03944644722046	142	27.27272727272727	67.768714
fastp | SRR35329984_1										63.98516147720664	49.0	131.84876191333703	142	18.181818181818183	59.618686
fastp | SRR35329984_2										54.479041545996246	50.0	131.7908875583068	142	27.27272727272727	59.618686
fastp | SRR35329985_1										65.11176913671332	49.0	132.3828264560131	142	18.181818181818183	55.822711999999996
fastp | SRR35329985_2										53.39638344416463	50.0	132.35531514484643	142	27.27272727272727	55.822711999999996
fastp | SRR35329986_1										62.25956825559373	50.0	133.24721445365495	142	18.181818181818183	56.06997
fastp | SRR35329986_2										53.06484175418166	50.0	133.17771452347844	142	27.27272727272727	56.06997
fastp | SRR35329987_1										64.86638905174141	50.0	133.25988977048047	142	18.181818181818183	83.988754
fastp | SRR35329987_2										58.615992904336224	50.0	133.2206154290609	142	27.27272727272727	83.988754
fastp | SRR35329988_1										63.44253348497056	50.0	132.38198749913943	142	18.181818181818183	61.557682
fastp | SRR35329988_2										53.31961505367237	50.0	132.32377393612708	142	27.27272727272727	61.557682
fastp | SRR35329989_1										64.21143346089099	49.0	132.39481455286955	142	18.181818181818183	59.104797
fastp | SRR35329989_2										53.35912943378557	50.0	132.3447806444543	142	27.27272727272727	59.104797
fastp | SRR35329990_1										65.00680741649236	49.0	132.12141550152234	142	18.181818181818183	58.326465
fastp | SRR35329990_2										55.58243076516553	50.0	132.07484319510877	142	27.27272727272727	58.326465
fastp | SRR35329991_1										66.33548696191772	49.0	131.95608012485167	142	18.181818181818183	64.802666
fastp | SRR35329991_2										56.973513134125774	50.0	131.92459861142132	142	27.27272727272727	64.802666
fastp | SRR35329992_1										65.7862214903396	50.0	132.9684282358278	142	18.181818181818183	76.04443599999999
fastp | SRR35329992_2										56.18485923264159	50.0	132.92784859368277	142	27.27272727272727	76.04443599999999
fastp | SRR35329993_1										66.67078847219588	50.0	132.25278604640033	142	18.181818181818183	82.376679
fastp | SRR35329993_2										57.545491901344974	50.0	132.21465331225602	142	27.27272727272727	82.376679
fastp | SRR35329994_1										65.80431200560214	49.0	131.97896079591447	142	18.181818181818183	63.454254
fastp | SRR35329994_2										54.8420659764591	50.0	131.92402928572764	142	27.27272727272727	63.454254
fastp | SRR35329995_1										66.43683220093675	49.0	132.06950568820932	142	18.181818181818183	65.704421
fastp | SRR35329995_2										55.54611670526647	50.0	132.03684841846487	142	27.27272727272727	65.704421
fastp | SRR35329996_1										58.89039407324872	50.0	132.15620214997082	142	18.181818181818183	63.089042
fastp | SRR35329996_2										55.90779421991431	50.0	132.1232310993088	142	27.27272727272727	63.089042
reports | SRR35329977	9.68378	93.4232	22395.88958	179.914372	49.9367	98.2497476619411	53.532609407945706	151.0	151.0						
reports | SRR35329978	8.56523	93.582	15127.846173	122.68437399999999	50.0815	98.25554414051432	55.8768215410248	151.0	151.0						
reports | SRR35329979	8.933530000000001	93.4053	22365.377106	179.211082	50.1819	98.14866372942824	53.305094262237795	151.0	151.0						
reports | SRR35329980	7.122140000000001	93.4231	14648.592059999999	117.57687	50.2136	98.3560122001509	53.77958471677867	151.0	151.0						
reports | SRR35329981	8.18672	93.4588	18685.704533	151.829488	50.2627	98.24661649495786	55.43764857723562	151.0	151.0						
reports | SRR35329982	8.34777	93.14909999999999	17001.140821	138.57218	50.1436	97.91190133541056	55.5298545274042	151.0	151.0						
reports | SRR35329983	8.53853	93.2381	16690.395184999998	135.537428	50.2196	98.17808753598067	55.689241289767274	151.0	151.0						
reports | SRR35329984	7.07381	93.54299999999999	14703.702034	119.237372	49.9853	98.24531354005326	56.14041057723591	151.0	151.0						
reports | SRR35329985	8.059520000000001	93.527	13822.589833999999	111.64542399999999	50.0955	98.31558986355984	55.16421754094222	151.0	151.0						
reports | SRR35329986	6.75563	93.5845	13980.704386	112.13994	50.3945	98.33518633379046	53.834221974991806	151.0	151.0						
reports | SRR35329987	8.03647	93.6507	20961.345853	167.977508	50.416700000000006	98.56616203618485	53.57690219877155	151.0	151.0						
reports | SRR35329988	7.040589999999999	93.3554	15212.654129999999	123.115364	50.344500000000004	98.29021281303002	55.11755064340041	151.0	151.0						
reports | SRR35329989	7.25686	93.426	14619.429817	118.209594	50.07430000000001	98.28431791122567	55.49380294502766	151.0	151.0						
reports | SRR35329990	8.68928	93.527	14412.914089	116.65293	49.899100000000004	98.322068371272	55.68143404845214	151.0	151.0						
reports | SRR35329991	8.79729	93.53829999999999	15996.174793999999	129.605332	50.0436	98.40547623383053	55.185292849710365	151.0	151.0						
reports | SRR35329992	8.2888	93.4961	18905.658624	152.08887199999998	50.4266	98.33823890186648	54.46698604556527	151.0	151.0						
reports | SRR35329993	8.576400000000001	93.3934	20347.955716	164.753358	50.4299	98.16606528292218	54.86210633186279	151.0	151.0						
reports | SRR35329994	7.917549999999999	93.4746	15653.909587999999	126.908508	50.169200000000004	98.26454458180307	55.44868400385084	151.0	151.0						
reports | SRR35329995	8.72357	93.551	16234.719337999999	131.408842	50.047399999999996	98.44480410922017	55.949578136211954	151.0	151.0						
reports | SRR35329996	6.8634	93.7265	15627.998345999998	126.178084	50.1305	98.73492025770378	55.321414902751506	151.0	151.0						
