contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	8.521581023593055e-20	1230	158	45	25907	['GO:0009653', 'GO:0032502']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007275	multicellular organism development	1.8025026025998607e-19	4907	158	85	25907	['GO:0032501', 'GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009653	anatomical structure morphogenesis	3.8795352301745e-19	2781	158	64	25907	['GO:0032502', 'GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0072359	circulatory system development	5.564742292818201e-18	1230	158	43	25907	['GO:0048731']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035295	tube development	1.2530688661023454e-17	1190	158	42	25907	['GO:0007275', 'GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048513	animal organ development	1.56469361469941e-17	3272	158	67	25907	['GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009888	tissue development	2.6614720122343954e-17	2116	158	54	25907	['GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048731	system development	1.6812692152292016e-16	4155	158	74	25907	['GO:0007275', 'GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048856	anatomical structure development	2.209895240671503e-15	6280	158	90	25907	['GO:0032502']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0001944	vasculature development	3.970651189983976e-15	801	158	33	25907	['GO:0048731', 'GO:0072359']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032502	developmental process	4.264074266024188e-15	6873	158	94	25907	['GO:0008150']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035239	tube morphogenesis	5.411397975022673e-15	930	158	35	25907	['GO:0009653', 'GO:0035295']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0001568	blood vessel development	1.0476360054852107e-14	769	158	32	25907	['GO:0001944', 'GO:0048856']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007155	cell adhesion	1.1988097022020464e-14	1435	158	42	25907	['GO:0009987']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032501	multicellular organismal process	1.2021226664277758e-13	8499	158	103	25907	['GO:0008150']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007166	cell surface receptor signaling pathway	4.5413565267849704e-13	2731	158	55	25907	['GO:0007165']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048514	blood vessel morphogenesis	1.0490879315864357e-12	662	158	28	25907	['GO:0001568', 'GO:0035239']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0042127	regulation of cell population proliferation	1.849470036735533e-12	1736	158	43	25907	['GO:0008283', 'GO:0050794']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008283	cell population proliferation	2.989836068749003e-12	2103	158	47	25907	['GO:0009987']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:2000026	regulation of multicellular organismal development	5.267577635176784e-12	1543	158	40	25907	['GO:0007275', 'GO:0050793', 'GO:0051239']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0045229	external encapsulating structure organization	7.440872644045765e-12	308	158	20	25907	['GO:0016043']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030198	extracellular matrix organization	7.440872644045765e-12	308	158	20	25907	['GO:0043062', 'GO:0045229']
geno_in_contra	bend-point selected genes (log2FC > 0)	GO:BP	GO:0043062	extracellular structure organization	8.417745063447233e-12	310	158	20	25907	['GO:0016043']
