Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
reports | SRR35329977	179914372.0	2855408.0	63808.0	nan	285836.0	0.0
reports | SRR35329978	122684374.0	1968292.0	42764.0	nan	167116.0	0.0
reports | SRR35329979	179211082.0	3084096.0	63548.0	nan	232738.0	0.0
reports | SRR35329980	117576870.0	1801576.0	40600.0	nan	123082.0	0.0
reports | SRR35329981	151829488.0	2461536.0	51958.0	nan	196170.0	0.0
reports | SRR35329982	138572180.0	2531324.0	48518.0	nan	375390.0	0.0
reports | SRR35329983	135537428.0	2221354.0	47000.0	nan	246844.0	0.0
reports | SRR35329984	119237372.0	1932086.0	41086.0	nan	156438.0	0.0
reports | SRR35329985	111645424.0	1760042.0	39242.0	nan	113502.0	0.0
reports | SRR35329986	112139940.0	1707686.0	38678.0	nan	152164.0	0.0
reports | SRR35329987	167977508.0	2192236.0	58406.0	nan	192920.0	0.0
reports | SRR35329988	123115364.0	1943520.0	43232.0	nan	154876.0	0.0
reports | SRR35329989	118209594.0	1853896.0	41174.0	nan	168434.0	0.0
reports | SRR35329990	116652930.0	1794842.0	41232.0	nan	154686.0	0.0
reports | SRR35329991	129605332.0	1861120.0	45786.0	nan	193168.0	0.0
reports | SRR35329992	152088872.0	2336750.0	52390.0	nan	180922.0	0.0
reports | SRR35329993	164753358.0	2780576.0	56824.0	nan	240516.0	0.0
reports | SRR35329994	126908508.0	2029446.0	44780.0	nan	167112.0	0.0
reports | SRR35329995	131408842.0	1885382.0	45984.0	nan	144584.0	0.0
reports | SRR35329996	126178084.0	1435178.0	41086.0	nan	140442.0	0.0
