Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR35329977_1	(1, 0.0)	(2, 0.09634472114323363)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007792595913349268)	(9, 0.0)	(10, 0.025226222616612306)	(15, 9.693500194637036e-05)	(20, 1.578528701420251e-05)	(25, 0.0)	(30, 0.0009660178058091664)	(35, 0.0001614130534469524)	(40, 0.012347178595650512)	(45, 0.033148782274089454)	(50, 0.0013493253760230545)	(55, 0.01659087709702219)	(60, 0.015997678732691912)	(65, 9.834170209670476e-05)	(70, 0.06568130346297352)	(75, 2.481645916008333e-06)	(80, 0.0005610105694050029)	(85, 0.0005667072184076235)	(90, 0.049259272258407705)	(95, 0.017087402420819246)	(100, 0.00020229921881633465)	(105, 6.812962484923947e-05)	(110, 0.001998735331192459)	(115, 0.001465698281732055)	(120, 0.02134797666819949)	(125, 0.018665853321668736)	(130, 7.211667942182356e-07)	(135, 0.001903140625057523)	(140, 0.034903577449037555)	(145, 0.0)	(150, 0.0019631199134292356)
fastp | SRR35329977_2	(1, 0.042870393922726756)	(2, 3.557247777848454e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08375317564958068)	(6, 0.0)	(7, 0.0)	(8, 0.0009271077021017532)	(9, 0.0)	(10, 0.004145305301124026)	(15, 0.08453354688084617)	(20, 1.356200715304723e-05)	(25, 0.019290954699272164)	(30, 0.00014540368512922696)	(35, 0.002268276445696009)	(40, 0.0017367908362939824)	(45, 1.6234303971619056e-05)	(50, 0.036700461178754674)	(55, 0.08356933870744056)	(60, 0.06657035426794256)	(65, 3.530247366108694e-05)	(70, 1.5470133974790557e-05)	(75, 0.03350455689666493)	(80, 3.1858454669974766e-06)	(85, 4.401454995660753e-05)	(90, 0.0014896952490803907)	(95, 0.03175346244195868)	(100, 0.017009409161055696)	(105, 0.0002549935570413666)	(110, 0.00015224043191515747)	(115, 0.001646464234073516)	(120, 4.3612763444688825e-06)	(125, 0.033343842133860234)	(130, 0.00417242847771218)	(135, 0.0007513518652478238)	(140, 0.0342905250032042)	(145, 0.0013016771777448056)	(150, 0.0)
fastp | SRR35329978_1	(1, 0.0)	(2, 0.09689742558412533)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007824957398405114)	(9, 0.0)	(10, 0.024307252038470686)	(15, 9.976820682966521e-05)	(20, 1.6301994580010653e-05)	(25, 0.0)	(30, 0.0009464973510822376)	(35, 0.00017541413140807302)	(40, 0.012201690434322725)	(45, 0.032650901775163055)	(50, 0.0013681974283229247)	(55, 0.0168197940358394)	(60, 0.015747301634455788)	(65, 0.00010911301230383305)	(70, 0.06565050016167505)	(75, 6.647486894313401e-07)	(80, 0.0005186947421817544)	(85, 0.0006237785748630037)	(90, 0.048915236674415)	(95, 0.01697723422836053)	(100, 0.00020437564153569717)	(105, 6.593274264904441e-05)	(110, 0.0020307812212858735)	(115, 0.0014691844701018252)	(120, 0.021524138633852576)	(125, 0.018720548043546646)	(130, 0.0)	(135, 0.0018686330571382533)	(140, 0.03527240688533115)	(145, 0.0)	(150, 0.0018798286670443465)
fastp | SRR35329978_2	(1, 0.04288239674271802)	(2, 3.260398916002131e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08310756836889431)	(6, 0.0)	(7, 0.0)	(8, 0.0009406250872666148)	(9, 0.0)	(10, 0.004244713348743174)	(15, 0.08497479882808873)	(20, 1.597595468841044e-05)	(25, 0.019535658224901567)	(30, 0.00016106496467644809)	(35, 0.002362907895467459)	(40, 0.0017859569905100598)	(45, 1.3698432166494033e-05)	(50, 0.036899534202320554)	(55, 0.08407259485373064)	(60, 0.06652451941316914)	(65, 3.084466966274287e-05)	(70, 1.4499567034689954e-05)	(75, 0.03393401001876263)	(80, 2.014754294182663e-06)	(85, 3.4757343277622785e-05)	(90, 0.0015282749046973511)	(95, 0.030728957429146154)	(100, 0.017076137372810343)	(105, 0.00030211315623285766)	(110, 0.0001459718404854132)	(115, 0.0016801272242403043)	(120, 6.158436455601716e-06)	(125, 0.033570065014649056)	(130, 0.004194349744117533)	(135, 0.0007822047775793199)	(140, 0.034462787504353914)	(145, 0.001304385736666574)	(150, 0.0)
fastp | SRR35329979_1	(1, 0.0)	(2, 0.09371630265588152)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007588816410360158)	(9, 0.0)	(10, 0.02267069622402034)	(15, 9.374420271621373e-05)	(20, 1.3392028959459105e-05)	(25, 0.0)	(30, 0.0009294105749111955)	(35, 0.00014820880695077697)	(40, 0.01124794700689775)	(45, 0.03276127665343603)	(50, 0.001318844575060658)	(55, 0.01685861405510733)	(60, 0.015248240411334197)	(65, 8.773429164909223e-05)	(70, 0.06528125822494499)	(75, 1.810240695440892e-06)	(80, 0.0005233254928457163)	(85, 0.0005871505915854819)	(90, 0.04913361397095526)	(95, 0.01714730927337747)	(100, 0.0002096563939372498)	(105, 6.344590249775098e-05)	(110, 0.0020024450379940713)	(115, 0.0014441835409565507)	(120, 0.02140917344720169)	(125, 0.01863533253867315)	(130, 3.586055914199797e-07)	(135, 0.001852363571063849)	(140, 0.03522541044722783)	(145, 0.0)	(150, 0.0018676032854514023)
fastp | SRR35329979_2	(1, 0.04155323385637502)	(2, 3.4596074811936016e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0811344914484697)	(6, 0.0)	(7, 0.0)	(8, 0.0009642260850810555)	(9, 0.0)	(10, 0.00418500904983097)	(15, 0.08547306243036913)	(20, 1.0936823650224933e-05)	(25, 0.019499686966903084)	(30, 0.00013883183218029555)	(35, 0.002234996510610861)	(40, 0.001721975939308353)	(45, 1.2279670641997189e-05)	(50, 0.036813248617000555)	(55, 0.08401318376616361)	(60, 0.06659712050534054)	(65, 3.5436989668098955e-05)	(70, 1.2150353715022176e-05)	(75, 0.03386784051352583)	(80, 1.3684700611457056e-06)	(85, 3.5538313699076546e-05)	(90, 0.001499241564775935)	(95, 0.029340244493651614)	(100, 0.01710133094146817)	(105, 0.00025158790574703467)	(110, 0.00014536689905760984)	(115, 0.0015805533988923885)	(120, 2.1662063070811028e-06)	(125, 0.03355390042644108)	(130, 0.004229116151050993)	(135, 0.0006748774234895009)	(140, 0.0344365535489001)	(145, 0.001319667652443213)	(150, 0.0)
fastp | SRR35329980_1	(1, 0.0)	(2, 0.09434338573564682)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0006310765033973094)	(9, 0.0)	(10, 0.023648869033509736)	(15, 8.096830609625856e-05)	(20, 1.6329742405968115e-05)	(25, 0.0)	(30, 0.0009488292635900664)	(35, 0.0001578574304901001)	(40, 0.011888212493003444)	(45, 0.032824602245246894)	(50, 0.0013162284045874675)	(55, 0.01674344047280152)	(60, 0.015870408379210103)	(65, 9.9445048784802e-05)	(70, 0.06550058316726785)	(75, 2.41322919835646e-06)	(80, 0.0005326711116038232)	(85, 0.0005591104115909228)	(90, 0.04931285342357982)	(95, 0.01689946973720943)	(100, 0.00020582960089644183)	(105, 6.262008466370199e-05)	(110, 0.0019422976025585798)	(115, 0.0014979051164497623)	(120, 0.021452944377410858)	(125, 0.018483808146264675)	(130, 5.519863352470791e-07)	(135, 0.0018420259756382921)	(140, 0.03509964746951231)	(145, 0.0)	(150, 0.0019377948567559358)
fastp | SRR35329980_2	(1, 0.042322950083634646)	(2, 1.871116317350513e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08271014528622848)	(6, 0.0)	(7, 0.0)	(8, 0.0008998368471622012)	(9, 0.0)	(10, 0.004080054180724491)	(15, 0.08461494169729132)	(20, 9.185480103357063e-06)	(25, 0.019215343970289393)	(30, 0.00012009251546361239)	(35, 0.0021828207651031738)	(40, 0.0017335085269106919)	(45, 1.2930901976215458e-05)	(50, 0.036493779013975464)	(55, 0.08383643168494201)	(60, 0.06633123513235141)	(65, 3.246339332940895e-05)	(70, 1.2340488008917484e-05)	(75, 0.03334374946409862)	(80, 1.737747743657935e-06)	(85, 3.833924978304733e-05)	(90, 0.00142883434329898)	(95, 0.031007419882254115)	(100, 0.016791871627794074)	(105, 0.0002625062997546589)	(110, 0.00015014602872348736)	(115, 0.001556400592834052)	(120, 4.75698008694361e-06)	(125, 0.03350352330707058)	(130, 0.004087096937091621)	(135, 0.0007111948881779949)	(140, 0.0344863761985666)	(145, 0.0012959781877430103)	(150, 0.0)
fastp | SRR35329981_1	(1, 0.0)	(2, 0.09453367846435733)	(3, 0.0)	(4, 1.3172671701296917e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007429386839531462)	(9, 0.0)	(10, 0.02188586712483678)	(15, 7.956293707583339e-05)	(20, 1.0801590795063472e-05)	(25, 0.0)	(30, 0.0009365813130214007)	(35, 0.00015807668102200528)	(40, 0.011353186358476687)	(45, 0.033013949704203883)	(50, 0.0013363055490408352)	(55, 0.01677464738680532)	(60, 0.015205115618367087)	(65, 9.351419843608767e-05)	(70, 0.0656507714700954)	(75, 2.4219435187163355e-06)	(80, 0.0005118197329345846)	(85, 0.0005599077972111031)	(90, 0.049229469491853535)	(95, 0.01722428436997541)	(100, 0.00020531462647359103)	(105, 6.484046665816698e-05)	(110, 0.0020140487704756365)	(115, 0.0014570691422481736)	(120, 0.021542540435399687)	(125, 0.018823571519583648)	(130, 4.4579422614629323e-07)	(135, 0.0018495886500354683)	(140, 0.03556996521525359)	(145, 0.0)	(150, 0.001973242556030276)
fastp | SRR35329981_2	(1, 0.04222236460416701)	(2, 4.3469816614279825e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08145189819779937)	(6, 0.0)	(7, 0.0)	(8, 0.000986633110427139)	(9, 0.0)	(10, 0.0042618862022376055)	(15, 0.08503012273873967)	(20, 1.1855404531167227e-05)	(25, 0.01964862056308851)	(30, 0.0001480621959650164)	(35, 0.0022845108648435974)	(40, 0.001768548069463256)	(45, 1.2650511469798385e-05)	(50, 0.03704254368985514)	(55, 0.08460694347617598)	(60, 0.06660701366331853)	(65, 3.369722944881861e-05)	(70, 1.3061448844251834e-05)	(75, 0.03388145937331139)	(80, 1.3600821228466432e-06)	(85, 3.8110389671001845e-05)	(90, 0.001520874102913977)	(95, 0.028983591101308562)	(100, 0.017065615747500294)	(105, 0.00029145692290413755)	(110, 0.00013973907016034314)	(115, 0.0015627705524219073)	(120, 3.831469723701338e-06)	(125, 0.03395610335907348)	(130, 0.004235237138153574)	(135, 0.0006749205316175698)	(140, 0.03468524999829532)	(145, 0.0013414156470090465)	(150, 0.0)
fastp | SRR35329982_1	(1, 0.0)	(2, 0.09416897388783232)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000788036963840794)	(9, 0.0)	(10, 0.020805907794768038)	(15, 8.284491158326296e-05)	(20, 1.27009620545769e-05)	(25, 0.0)	(30, 0.0009413180236823433)	(35, 0.0001506834011841637)	(40, 0.010787672652091901)	(45, 0.03235362255352872)	(50, 0.001372295280482924)	(55, 0.016961613951184496)	(60, 0.014615400915104812)	(65, 0.00010737245368081107)	(70, 0.06525641647167137)	(75, 1.4730077154523828e-06)	(80, 0.0005381541579672891)	(85, 0.0005564505101027442)	(90, 0.049112313387710035)	(95, 0.017415719312375257)	(100, 0.00020507811184205957)	(105, 6.399284564136617e-05)	(110, 0.0019929777562503123)	(115, 0.0014050844555452057)	(120, 0.02171175376087247)	(125, 0.018784793753029085)	(130, 4.891292994178056e-07)	(135, 0.0017867657621450418)	(140, 0.03532190731625738)	(145, 0.0)	(150, 0.0018649058508743732)
fastp | SRR35329982_2	(1, 0.04129111629765802)	(2, 3.463898742157336e-05)	(3, 0.0)	(4, 0.0)	(5, 0.07896823157433187)	(6, 0.0)	(7, 0.0)	(8, 0.0010175202555087175)	(9, 0.0)	(10, 0.004266657275652299)	(15, 0.08601582222347949)	(20, 1.0391696226472009e-05)	(25, 0.019613171994551863)	(30, 0.00016684582771785025)	(35, 0.002299837329881643)	(40, 0.001752389181282706)	(45, 1.2994275680823813e-05)	(50, 0.03671648693828629)	(55, 0.08480096407230557)	(60, 0.06670230156605607)	(65, 3.4585777032825326e-05)	(70, 1.050973382645238e-05)	(75, 0.03432241896862412)	(80, 1.1908926874720165e-06)	(85, 3.8980797080305665e-05)	(90, 0.0015541821398576301)	(95, 0.0270637563222699)	(100, 0.01738793525616779)	(105, 0.0002703067149528369)	(110, 0.00011623751044450866)	(115, 0.0016066768773312437)	(120, 2.0987877746015095e-06)	(125, 0.03426622242826594)	(130, 0.004275164403402866)	(135, 0.0006700667092357566)	(140, 0.03455335675795383)	(145, 0.0012877958934884343)	(150, 0.0)
