Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR35329977_1	(30, 864.0)	(35, 2571.0)	(40, 9187.0)	(45, 30231.0)	(50, 52115.0)	(55, 82269.0)	(60, 191934.0)	(65, 284234.0)	(70, 418060.0)	(75, 634557.0)	(80, 918812.0)	(85, 1388654.0)	(90, 1886821.0)	(95, 2562151.0)	(100, 3136469.0)	(105, 3750253.0)	(110, 4138359.0)	(115, 4381861.0)	(120, 4487876.0)	(125, 4390130.0)	(130, 4294552.0)	(135, 4063707.0)	(140, 4001173.0)	(145, 3796994.0)	(150, 41053352.0)
fastp | SRR35329977_2	(30, 2072.0)	(35, 4059.0)	(40, 10958.0)	(45, 20753.0)	(50, 53866.0)	(55, 83782.0)	(60, 173305.0)	(65, 256532.0)	(70, 411843.0)	(75, 711258.0)	(80, 922620.0)	(85, 1392737.0)	(90, 1891378.0)	(95, 2566796.0)	(100, 3141790.0)	(105, 3757298.0)	(110, 4147053.0)	(115, 4393000.0)	(120, 4502779.0)	(125, 4410112.0)	(130, 4322074.0)	(135, 4104764.0)	(140, 4067942.0)	(145, 3909234.0)	(150, 40699181.0)
fastp | SRR35329978_1	(30, 863.0)	(35, 2586.0)	(40, 9138.0)	(45, 46181.0)	(50, 54239.0)	(55, 79481.0)	(60, 208299.0)	(65, 235842.0)	(70, 339085.0)	(75, 522125.0)	(80, 730791.0)	(85, 1096666.0)	(90, 1443365.0)	(95, 1942971.0)	(100, 2314225.0)	(105, 2735511.0)	(110, 2957732.0)	(115, 3089017.0)	(120, 3128839.0)	(125, 3012941.0)	(130, 2947572.0)	(135, 2736978.0)	(140, 2713128.0)	(145, 2522323.0)	(150, 26472289.0)
fastp | SRR35329978_2	(30, 1467.0)	(35, 3319.0)	(40, 10054.0)	(45, 19160.0)	(50, 49931.0)	(55, 75788.0)	(60, 149363.0)	(65, 219715.0)	(70, 337646.0)	(75, 642298.0)	(80, 733103.0)	(85, 1098918.0)	(90, 1445730.0)	(95, 1945520.0)	(100, 2317512.0)	(105, 2739597.0)	(110, 2962853.0)	(115, 3095762.0)	(120, 3137631.0)	(125, 3025249.0)	(130, 2963692.0)	(135, 2760844.0)	(140, 2745528.0)	(145, 2575741.0)	(150, 26285766.0)
fastp | SRR35329979_1	(30, 1239.0)	(35, 3369.0)	(40, 49027.0)	(45, 31168.0)	(50, 53190.0)	(55, 78825.0)	(60, 166498.0)	(65, 236982.0)	(70, 383785.0)	(75, 580152.0)	(80, 855111.0)	(85, 1282032.0)	(90, 1781300.0)	(95, 2424577.0)	(100, 3031190.0)	(105, 3656473.0)	(110, 4094772.0)	(115, 4391858.0)	(120, 4505010.0)	(125, 4472816.0)	(130, 4342812.0)	(135, 4168926.0)	(140, 4043886.0)	(145, 3866865.0)	(150, 41103678.0)
fastp | SRR35329979_2	(30, 2179.0)	(35, 4467.0)	(40, 12409.0)	(45, 21738.0)	(50, 54822.0)	(55, 80283.0)	(60, 167437.0)	(65, 237889.0)	(70, 385662.0)	(75, 634870.0)	(80, 858894.0)	(85, 1285905.0)	(90, 1785698.0)	(95, 2428988.0)	(100, 3036130.0)	(105, 3662962.0)	(110, 4103174.0)	(115, 4402687.0)	(120, 4519849.0)	(125, 4492701.0)	(130, 4371415.0)	(135, 4214310.0)	(140, 4122949.0)	(145, 3995910.0)	(150, 40722213.0)
fastp | SRR35329980_1	(30, 691.0)	(35, 1681.0)	(40, 5679.0)	(45, 11413.0)	(50, 30322.0)	(55, 47361.0)	(60, 107572.0)	(65, 176802.0)	(70, 247732.0)	(75, 392146.0)	(80, 566205.0)	(85, 881049.0)	(90, 1198381.0)	(95, 1662982.0)	(100, 2044271.0)	(105, 2477734.0)	(110, 2730454.0)	(115, 2915131.0)	(120, 2976457.0)	(125, 2920545.0)	(130, 2850195.0)	(135, 2700720.0)	(140, 2661169.0)	(145, 2517659.0)	(150, 26664084.0)
fastp | SRR35329980_2	(30, 1303.0)	(35, 2454.0)	(40, 6628.0)	(45, 12193.0)	(50, 31537.0)	(55, 48507.0)	(60, 101643.0)	(65, 151920.0)	(70, 245651.0)	(75, 431935.0)	(80, 568178.0)	(85, 883406.0)	(90, 1200804.0)	(95, 1665561.0)	(100, 2047208.0)	(105, 2481603.0)	(110, 2735502.0)	(115, 2921440.0)	(120, 2985023.0)	(125, 2931763.0)	(130, 2865285.0)	(135, 2722647.0)	(140, 2690671.0)	(145, 2568051.0)	(150, 26487522.0)
fastp | SRR35329981_1	(30, 1242.0)	(35, 3247.0)	(40, 12089.0)	(45, 39157.0)	(50, 67768.0)	(55, 105557.0)	(60, 271463.0)	(65, 377870.0)	(70, 459415.0)	(75, 688195.0)	(80, 931364.0)	(85, 1394776.0)	(90, 1793337.0)	(95, 2414532.0)	(100, 2834792.0)	(105, 3352318.0)	(110, 3595184.0)	(115, 3768825.0)	(120, 3802867.0)	(125, 3666622.0)	(130, 3586947.0)	(135, 3339413.0)	(140, 3313364.0)	(145, 3087056.0)	(150, 33007344.0)
fastp | SRR35329981_2	(30, 2151.0)	(35, 4237.0)	(40, 13277.0)	(45, 25912.0)	(50, 68205.0)	(55, 105191.0)	(60, 204901.0)	(65, 299046.0)	(70, 447949.0)	(75, 870166.0)	(80, 934522.0)	(85, 1397678.0)	(90, 1796299.0)	(95, 2417439.0)	(100, 2838248.0)	(105, 3357393.0)	(110, 3601240.0)	(115, 3776912.0)	(120, 3813471.0)	(125, 3681141.0)	(130, 3607032.0)	(135, 3370136.0)	(140, 3360785.0)	(145, 3168367.0)	(150, 32753046.0)
