contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes	GO:BP	GO:0032502	developmental process	1.8259399834525978e-57	6873	1605	722	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0051179	localization	3.0455379173541893e-57	5309	1605	605	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0048856	anatomical structure development	3.0304122281254997e-55	6280	1605	673	25907	['GO:0032502']
interaction	bend-point selected genes	GO:BP	GO:0048731	system development	6.033549890314982e-55	4155	1605	508	25907	['GO:0007275', 'GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0007275	multicellular organism development	1.0239781231128211e-53	4907	1605	565	25907	['GO:0032501', 'GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0051234	establishment of localization	1.0733349813041191e-51	4666	1605	541	25907	['GO:0051179']
interaction	bend-point selected genes	GO:BP	GO:0006810	transport	6.832928750649132e-51	4364	1605	515	25907	['GO:0051234']
interaction	bend-point selected genes	GO:BP	GO:0009653	anatomical structure morphogenesis	1.7544090561510415e-46	2781	1605	372	25907	['GO:0032502', 'GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0048518	positive regulation of biological process	3.0935989649401012e-40	6447	1605	643	25907	['GO:0008150', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0065008	regulation of biological quality	4.099497212283945e-40	3180	1605	391	25907	['GO:0065007']
interaction	bend-point selected genes	GO:BP	GO:0023051	regulation of signaling	4.1719743183883403e-38	3558	1605	417	25907	['GO:0023052', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0010646	regulation of cell communication	4.801245695122087e-38	3560	1605	417	25907	['GO:0007154', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0048522	positive regulation of cellular process	9.295468975601525e-38	6095	1605	610	25907	['GO:0009987', 'GO:0048518', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0065007	biological regulation	2.341746938229833e-37	13503	1605	1092	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0030154	cell differentiation	2.8313318874444773e-36	4795	1605	509	25907	['GO:0048869']
interaction	bend-point selected genes	GO:BP	GO:0048869	cellular developmental process	3.0037809658878375e-36	4796	1605	509	25907	['GO:0009987', 'GO:0032502']
interaction	bend-point selected genes	GO:BP	GO:0048513	animal organ development	5.276895987750912e-36	3272	1605	388	25907	['GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0048519	negative regulation of biological process	1.8993021944814027e-33	5759	1605	572	25907	['GO:0008150', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0050789	regulation of biological process	5.216441436842856e-33	13108	1605	1054	25907	['GO:0008150', 'GO:0065007']
interaction	bend-point selected genes	GO:BP	GO:0048583	regulation of response to stimulus	6.669488448167204e-31	3939	1605	427	25907	['GO:0050789', 'GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0051641	cellular localization	1.2328097333515082e-30	3493	1605	391	25907	['GO:0009987', 'GO:0051179']
interaction	bend-point selected genes	GO:BP	GO:0016477	cell migration	1.4368333417917199e-30	1539	1605	223	25907	['GO:0048870']
interaction	bend-point selected genes	GO:BP	GO:0050793	regulation of developmental process	3.387509151220374e-30	2689	1605	324	25907	['GO:0032502', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0072359	circulatory system development	4.5157558603195916e-30	1230	1605	192	25907	['GO:0048731']
interaction	bend-point selected genes	GO:BP	GO:0009966	regulation of signal transduction	7.084614625848644e-30	2940	1605	344	25907	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']
interaction	bend-point selected genes	GO:BP	GO:0007399	nervous system development	7.4370594427349e-30	2593	1605	315	25907	['GO:0048731']
interaction	bend-point selected genes	GO:BP	GO:0048523	negative regulation of cellular process	8.852721229681108e-30	5540	1605	544	25907	['GO:0009987', 'GO:0048519', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	1.3775179913479113e-29	1230	1605	191	25907	['GO:0009653', 'GO:0032502']
interaction	bend-point selected genes	GO:BP	GO:0050896	response to stimulus	2.0446235979744246e-29	10427	1605	875	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0009888	tissue development	4.22514506789601e-29	2116	1605	272	25907	['GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0050794	regulation of cellular process	9.732915032761704e-29	12715	1605	1015	25907	['GO:0009987', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0007166	cell surface receptor signaling pathway	8.033201800984764e-28	2731	1605	321	25907	['GO:0007165']
interaction	bend-point selected genes	GO:BP	GO:0032879	regulation of localization	2.0677795209558107e-27	2108	1605	267	25907	['GO:0050789', 'GO:0051179']
interaction	bend-point selected genes	GO:BP	GO:0048870	cell motility	2.2695113475298958e-27	1804	1605	240	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0051239	regulation of multicellular organismal process	2.846134085780752e-27	3080	1605	348	25907	['GO:0032501', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0032501	multicellular organismal process	5.094720768724809e-27	8499	1605	740	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0001568	blood vessel development	3.054933003562085e-25	769	1605	135	25907	['GO:0001944', 'GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0001944	vasculature development	5.137632027918254e-25	801	1605	138	25907	['GO:0048731', 'GO:0072359']
interaction	bend-point selected genes	GO:BP	GO:0033036	macromolecule localization	1.266199566835249e-24	3054	1605	338	25907	['GO:0051179']
interaction	bend-point selected genes	GO:BP	GO:0009719	response to endogenous stimulus	2.3938291967776865e-24	1620	1605	216	25907	['GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0051128	regulation of cellular component organization	5.6545055303916406e-24	2537	1605	294	25907	['GO:0016043', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0051049	regulation of transport	1.489812548894121e-23	1709	1605	222	25907	['GO:0006810', 'GO:0032879']
interaction	bend-point selected genes	GO:BP	GO:0009987	cellular process	2.282822738902708e-23	21471	1605	1474	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0035239	tube morphogenesis	2.6643639681603464e-23	930	1605	148	25907	['GO:0009653', 'GO:0035295']
interaction	bend-point selected genes	GO:BP	GO:0070727	cellular macromolecule localization	8.335465641708418e-23	2603	1605	296	25907	['GO:0033036', 'GO:0051641']
interaction	bend-point selected genes	GO:BP	GO:0035295	tube development	1.3378590494499281e-22	1190	1605	172	25907	['GO:0007275', 'GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0008104	protein localization	1.947170566881492e-22	2592	1605	294	25907	['GO:0070727']
interaction	bend-point selected genes	GO:BP	GO:0022008	neurogenesis	3.068499581850983e-22	1931	1605	238	25907	['GO:0007399', 'GO:0030154']
interaction	bend-point selected genes	GO:BP	GO:0051094	positive regulation of developmental process	3.4234619490196016e-22	1480	1605	198	25907	['GO:0032502', 'GO:0048518', 'GO:0050793']
interaction	bend-point selected genes	GO:BP	GO:0048468	cell development	5.116651945566569e-22	3233	1605	344	25907	['GO:0030154', 'GO:0048856', 'GO:0048869']
interaction	bend-point selected genes	GO:BP	GO:0001501	skeletal system development	6.472517841765004e-22	534	1605	103	25907	['GO:0048731']
interaction	bend-point selected genes	GO:BP	GO:0071840	cellular component organization or biogenesis	7.847345659876045e-22	7867	1605	677	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0016043	cellular component organization	1.0725840487301949e-21	7668	1605	663	25907	['GO:0071840']
interaction	bend-point selected genes	GO:BP	GO:0051716	cellular response to stimulus	1.5861545241468994e-21	8484	1605	717	25907	['GO:0009987', 'GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0048514	blood vessel morphogenesis	3.073567345759559e-21	662	1605	116	25907	['GO:0001568', 'GO:0035239']
interaction	bend-point selected genes	GO:BP	GO:0016192	vesicle-mediated transport	1.2898105032833587e-20	1524	1605	198	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0045595	regulation of cell differentiation	1.3532077672467242e-20	1740	1605	217	25907	['GO:0030154', 'GO:0050793', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0040011	locomotion	1.7808669406383164e-20	1264	1605	174	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0035556	intracellular signal transduction	5.423369884184733e-20	2810	1605	304	25907	['GO:0007165']
interaction	bend-point selected genes	GO:BP	GO:0007155	cell adhesion	7.954437214950199e-20	1435	1605	188	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0048585	negative regulation of response to stimulus	1.232588956576352e-19	1655	1605	207	25907	['GO:0048519', 'GO:0048583', 'GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0007154	cell communication	2.386807900226764e-19	7475	1605	640	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:2000026	regulation of multicellular organismal development	3.355699666598724e-19	1543	1605	196	25907	['GO:0007275', 'GO:0050793', 'GO:0051239']
interaction	bend-point selected genes	GO:BP	GO:0023052	signaling	3.712657518032715e-19	7443	1605	637	25907	['GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0022603	regulation of anatomical structure morphogenesis	4.952437701119308e-19	890	1605	135	25907	['GO:0009653', 'GO:0050793']
interaction	bend-point selected genes	GO:BP	GO:0019538	protein metabolic process	5.010349397164204e-19	4467	1605	427	25907	['GO:0043170', 'GO:0044238']
interaction	bend-point selected genes	GO:BP	GO:0006950	response to stress	5.466601001940743e-19	3917	1605	386	25907	['GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0030334	regulation of cell migration	9.064682498937122e-19	978	1605	143	25907	['GO:0016477', 'GO:2000145']
interaction	bend-point selected genes	GO:BP	GO:0023057	negative regulation of signaling	1.3818641778473916e-18	1426	1605	184	25907	['GO:0023051', 'GO:0023052', 'GO:0048519']
interaction	bend-point selected genes	GO:BP	GO:0010648	negative regulation of cell communication	1.8929807888605874e-18	1430	1605	184	25907	['GO:0007154', 'GO:0010646', 'GO:0048523']
interaction	bend-point selected genes	GO:BP	GO:0040012	regulation of locomotion	2.0381380638420608e-18	1081	1605	152	25907	['GO:0040011', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0001525	angiogenesis	2.329707078863417e-18	564	1605	100	25907	['GO:0048514', 'GO:0048646']
interaction	bend-point selected genes	GO:BP	GO:0008283	cell population proliferation	3.3363728741183453e-18	2103	1605	241	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0071705	nitrogen compound transport	3.7428552005306214e-18	1949	1605	228	25907	['GO:0006810']
