contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051179	localization	3.322268273265819e-56	5309	818	371	25907	['GO:0008150']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051234	establishment of localization	4.314812331592054e-53	4666	818	338	25907	['GO:0051179']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006810	transport	1.6751904299831615e-50	4364	818	320	25907	['GO:0051234']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051641	cellular localization	2.9262252251822917e-35	3493	818	251	25907	['GO:0009987', 'GO:0051179']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0065008	regulation of biological quality	3.12412578943674e-29	3180	818	224	25907	['GO:0065007']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032879	regulation of localization	1.7428274467417486e-28	2108	818	172	25907	['GO:0050789', 'GO:0051179']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051649	establishment of localization in cell	2.8057313499301645e-28	2036	818	168	25907	['GO:0051234', 'GO:0051641']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051049	regulation of transport	1.4776052220190094e-26	1709	818	148	25907	['GO:0006810', 'GO:0032879']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0033036	macromolecule localization	1.1695185649424653e-24	3054	818	208	25907	['GO:0051179']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016192	vesicle-mediated transport	9.309811201114958e-24	1524	818	133	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007399	nervous system development	2.9610120809758343e-23	2593	818	184	25907	['GO:0048731']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0070727	cellular macromolecule localization	4.696384350890898e-23	2603	818	184	25907	['GO:0033036', 'GO:0051641']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008104	protein localization	7.745318515399106e-23	2592	818	183	25907	['GO:0070727']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032502	developmental process	6.246139274029394e-22	6873	818	352	25907	['GO:0008150']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0071705	nitrogen compound transport	1.3820545529632512e-21	1949	818	150	25907	['GO:0006810']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0065007	biological regulation	1.0843966465234621e-20	13503	818	566	25907	['GO:0008150']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0023051	regulation of signaling	2.4218690884918006e-20	3558	818	219	25907	['GO:0023052', 'GO:0050789']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010646	regulation of cell communication	6.218021027675556e-20	3560	818	218	25907	['GO:0007154', 'GO:0050794']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048856	anatomical structure development	7.560210285817006e-20	6280	818	324	25907	['GO:0032502']
