stage,report_id,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
raw,SRR35329977_1,SRR35329977_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,91559712,0,151,50,9.0,29.896240084285104,42.76557575891021,30.930911672115958,SRR35329977,1
raw,SRR35329977_2,SRR35329977_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,91559712,0,151,50,9.0,21.568306942686757,43.08485701658826,40.00223328306692,SRR35329977,2
raw,SRR35329978_1,SRR35329978_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,62431273,0,151,50,9.0,29.614318243999286,45.26515261029516,34.05266385154559,SRR35329978,1
raw,SRR35329978_2,SRR35329978_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,62431273,0,151,50,9.0,22.53616198087135,45.544065712067095,42.615308833439904,SRR35329978,2
raw,SRR35329979_1,SRR35329979_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,91295732,0,151,50,9.0,29.068913845830163,42.41954596519364,31.248025903439302,SRR35329979,1
raw,SRR35329979_2,SRR35329979_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,91295732,0,151,50,9.0,20.24528344873778,42.675024501693024,42.01751504936703,SRR35329979,2
raw,SRR35329980_1,SRR35329980_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59771064,0,151,50,9.0,27.996597099225138,42.619457133973725,37.3325232267948,SRR35329980,1
raw,SRR35329980_2,SRR35329980_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59771064,0,151,50,9.0,20.701631461671823,43.18961931144475,45.28921339019368,SRR35329980,2
raw,SRR35329981_1,SRR35329981_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,77269576,0,151,50,9.0,27.881587663946803,44.84210836099321,33.753870404978095,SRR35329981,1
raw,SRR35329981_2,SRR35329981_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,77269576,0,151,50,9.0,20.905683421894278,45.434659820056474,42.9215460109037,SRR35329981,2
raw,SRR35329982_1,SRR35329982_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,70763706,0,151,50,9.0,29.45485230804616,44.918498191714264,33.54007709851682,SRR35329982,1
raw,SRR35329982_2,SRR35329982_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,70763706,0,151,50,9.0,21.309063066877815,45.29103097002862,43.326043484223845,SRR35329982,2
raw,SRR35329983_1,SRR35329983_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,69026313,0,151,50,9.0,30.25548063098778,45.02797360768784,33.486419402624705,SRR35329983,1
raw,SRR35329983_2,SRR35329983_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,69026313,0,151,50,9.0,21.469311826056824,45.27827525714723,43.078543061464345,SRR35329983,2
raw,SRR35329984_1,SRR35329984_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60683491,0,151,50,9.0,28.968656763665756,45.23188028190402,35.549799147246596,SRR35329984,1
raw,SRR35329984_2,SRR35329984_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60683491,0,151,50,9.0,21.487301529834532,45.66983465074546,45.335728602342776,SRR35329984,2
raw,SRR35329985_1,SRR35329985_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,56779105,0,151,50,9.0,29.22538793100032,44.18099933065165,34.54852832434064,SRR35329985,1
raw,SRR35329985_2,SRR35329985_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,56779105,0,151,50,9.0,20.58682291663456,44.872435026934646,46.50587827261819,SRR35329985,2
raw,SRR35329986_1,SRR35329986_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57019234,0,151,50,9.0,28.292595495056982,43.08455459082456,37.4042779419881,SRR35329986,1
raw,SRR35329986_2,SRR35329986_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57019234,0,151,50,9.0,21.189650811513882,43.34248685276972,46.80034674815485,SRR35329986,2
raw,SRR35329987_1,SRR35329987_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,85210535,0,151,50,9.0,27.42841677968575,42.405332861717156,34.759928134476304,SRR35329987,1
raw,SRR35329987_2,SRR35329987_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,85210535,0,151,50,9.0,20.693575248647367,43.375333812890624,41.20047626820522,SRR35329987,2
raw,SRR35329988_1,SRR35329988_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,62628496,0,151,50,9.0,28.594152109289038,44.426188998694776,36.198734142800426,SRR35329988,1
raw,SRR35329988_2,SRR35329988_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,62628496,0,151,50,9.0,20.39410366808106,44.75186343290122,46.60016937805925,SRR35329988,2
raw,SRR35329989_1,SRR35329989_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60136549,0,151,50,9.0,29.534819981106665,44.52583569436284,35.457995812538066,SRR35329989,1
raw,SRR35329989_2,SRR35329989_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60136549,0,151,50,9.0,20.89581595378877,44.94904089025793,46.505363336327875,SRR35329989,2
raw,SRR35329990_1,SRR35329990_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59321845,0,151,50,9.0,29.982906280140142,44.627233020146285,34.6706614086877,SRR35329990,1
raw,SRR35329990_2,SRR35329990_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59321845,0,151,49,9.0,21.99328894777295,45.285673431094395,44.31691950768473,SRR35329990,2
raw,SRR35329991_1,SRR35329991_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65852703,0,151,50,9.0,29.97101989875799,44.44128588009516,33.09047790954523,SRR35329991,1
raw,SRR35329991_2,SRR35329991_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,65852703,0,151,50,9.0,21.819639248521053,45.01178334319853,42.68137019405623,SRR35329991,2
raw,SRR35329992_1,SRR35329992_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,77329467,0,151,50,9.0,28.70219582659221,43.768818424676326,33.94078959584711,SRR35329992,1
raw,SRR35329992_2,SRR35329992_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,77329467,0,151,50,9.0,20.564740372515434,43.958496442242385,43.74868871446064,SRR35329992,2
raw,SRR35329993_1,SRR35329993_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,83915637,0,151,50,9.0,28.668348045787937,44.22541891685813,32.965103315620574,SRR35329993,1
raw,SRR35329993_2,SRR35329993_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,83915637,0,151,50,9.0,20.659314330176628,44.68228609168515,42.36165278201917,SRR35329993,2
raw,SRR35329994_1,SRR35329994_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,64574923,0,151,50,9.0,30.007846141760012,44.83597913078425,33.75740564845867,SRR35329994,1
raw,SRR35329994_2,SRR35329994_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,64574923,0,151,50,9.0,21.12784495306328,45.23599973940348,44.93295674960559,SRR35329994,2
