module,stage_raw,pass_raw,warn_raw,fail_raw,n_raw,stage_trimmed,pass_trimmed,warn_trimmed,fail_trimmed,n_trimmed,pass_delta,warn_delta,fail_delta,n_delta
Adapter Content,raw,0,0,40,40,trimmed,80,0,0,80,80,0,-40,40
Basic Statistics,raw,40,0,0,40,trimmed,80,0,0,80,40,0,0,40
Overrepresented sequences,raw,14,26,0,40,trimmed,54,26,0,80,40,0,0,40
Per base N content,raw,40,0,0,40,trimmed,80,0,0,80,40,0,0,40
Per sequence quality scores,raw,40,0,0,40,trimmed,80,0,0,80,40,0,0,40
Per base sequence quality,raw,12,28,0,40,trimmed,24,56,0,80,12,28,0,40
Per sequence GC content,raw,3,37,0,40,trimmed,14,66,0,80,11,29,0,40
Sequence Length Distribution,raw,40,0,0,40,trimmed,0,80,0,80,-40,80,0,40
Per tile sequence quality,raw,0,20,20,40,trimmed,0,40,40,80,0,20,20,40
Per base sequence content,raw,0,0,40,40,trimmed,0,0,80,80,0,0,40,40
Sequence Duplication Levels,raw,0,0,40,40,trimmed,0,0,80,80,0,0,40,40
