stage,report_id,fail_count,warn_count,severity
raw,SRR35329977_1,3,2,11
raw,SRR35329977_2,4,3,15
raw,SRR35329978_1,3,3,12
raw,SRR35329978_2,4,3,15
raw,SRR35329979_1,3,2,11
raw,SRR35329979_2,4,3,15
raw,SRR35329980_1,3,3,12
raw,SRR35329980_2,4,2,14
raw,SRR35329981_1,3,4,13
raw,SRR35329981_2,4,2,14
raw,SRR35329982_1,3,3,12
raw,SRR35329982_2,4,3,15
raw,SRR35329983_1,3,3,12
raw,SRR35329983_2,4,3,15
raw,SRR35329984_1,3,2,11
raw,SRR35329984_2,4,2,14
raw,SRR35329985_1,3,3,12
raw,SRR35329985_2,4,3,15
raw,SRR35329986_1,3,3,12
raw,SRR35329986_2,4,3,15
raw,SRR35329987_1,3,3,12
raw,SRR35329987_2,4,3,15
raw,SRR35329988_1,3,3,12
raw,SRR35329988_2,4,3,15
raw,SRR35329989_1,3,2,11
raw,SRR35329989_2,4,3,15
raw,SRR35329990_1,3,2,11
raw,SRR35329990_2,4,3,15
raw,SRR35329991_1,3,3,12
raw,SRR35329991_2,4,3,15
raw,SRR35329992_1,3,3,12
raw,SRR35329992_2,4,3,15
raw,SRR35329993_1,3,3,12
raw,SRR35329993_2,4,3,15
raw,SRR35329994_1,3,3,12
raw,SRR35329994_2,4,3,15
raw,SRR35329995_1,3,2,11
raw,SRR35329995_2,4,3,15
raw,SRR35329996_1,3,3,12
raw,SRR35329996_2,4,2,14
trimmed,SRR35329977_1,2,3,9
trimmed,SRR35329977_1.fastp,2,3,9
trimmed,SRR35329977_2,3,2,11
trimmed,SRR35329977_2.fastp,3,2,11
trimmed,SRR35329978_1,2,3,9
trimmed,SRR35329978_1.fastp,2,3,9
trimmed,SRR35329978_2,3,3,12
trimmed,SRR35329978_2.fastp,3,3,12
trimmed,SRR35329979_1,2,3,9
trimmed,SRR35329979_1.fastp,2,3,9
trimmed,SRR35329979_2,3,3,12
trimmed,SRR35329979_2.fastp,3,3,12
trimmed,SRR35329980_1,2,4,10
trimmed,SRR35329980_1.fastp,2,4,10
trimmed,SRR35329980_2,3,3,12
trimmed,SRR35329980_2.fastp,3,3,12
trimmed,SRR35329981_1,2,4,10
trimmed,SRR35329981_1.fastp,2,4,10
trimmed,SRR35329981_2,3,3,12
trimmed,SRR35329981_2.fastp,3,3,12
trimmed,SRR35329982_1,2,3,9
trimmed,SRR35329982_1.fastp,2,3,9
trimmed,SRR35329982_2,3,3,12
trimmed,SRR35329982_2.fastp,3,3,12
trimmed,SRR35329983_1,2,3,9
trimmed,SRR35329983_1.fastp,2,3,9
trimmed,SRR35329983_2,3,4,13
trimmed,SRR35329983_2.fastp,3,4,13
trimmed,SRR35329984_1,2,3,9
trimmed,SRR35329984_1.fastp,2,3,9
trimmed,SRR35329984_2,3,3,12
trimmed,SRR35329984_2.fastp,3,3,12
trimmed,SRR35329985_1,2,3,9
trimmed,SRR35329985_1.fastp,2,3,9
trimmed,SRR35329985_2,3,4,13
trimmed,SRR35329985_2.fastp,3,4,13
trimmed,SRR35329986_1,2,4,10
trimmed,SRR35329986_1.fastp,2,4,10
trimmed,SRR35329986_2,3,3,12
trimmed,SRR35329986_2.fastp,3,3,12
trimmed,SRR35329987_1,2,4,10
trimmed,SRR35329987_1.fastp,2,4,10
trimmed,SRR35329987_2,3,4,13
trimmed,SRR35329987_2.fastp,3,4,13
trimmed,SRR35329988_1,2,4,10
trimmed,SRR35329988_1.fastp,2,4,10
trimmed,SRR35329988_2,3,3,12
trimmed,SRR35329988_2.fastp,3,3,12
trimmed,SRR35329989_1,2,3,9
trimmed,SRR35329989_1.fastp,2,3,9
trimmed,SRR35329989_2,3,3,12
trimmed,SRR35329989_2.fastp,3,3,12
trimmed,SRR35329990_1,2,3,9
trimmed,SRR35329990_1.fastp,2,3,9
trimmed,SRR35329990_2,3,4,13
trimmed,SRR35329990_2.fastp,3,4,13
trimmed,SRR35329991_1,2,3,9
trimmed,SRR35329991_1.fastp,2,3,9
trimmed,SRR35329991_2,3,4,13
trimmed,SRR35329991_2.fastp,3,4,13
trimmed,SRR35329992_1,2,4,10
trimmed,SRR35329992_1.fastp,2,4,10
trimmed,SRR35329992_2,3,3,12
trimmed,SRR35329992_2.fastp,3,3,12
trimmed,SRR35329993_1,2,4,10
trimmed,SRR35329993_1.fastp,2,4,10
trimmed,SRR35329993_2,3,4,13
trimmed,SRR35329993_2.fastp,3,4,13
trimmed,SRR35329994_1,2,3,9
trimmed,SRR35329994_1.fastp,2,3,9
trimmed,SRR35329994_2,3,3,12
trimmed,SRR35329994_2.fastp,3,3,12
trimmed,SRR35329995_1,2,3,9
trimmed,SRR35329995_1.fastp,2,3,9
trimmed,SRR35329995_2,3,4,13
trimmed,SRR35329995_2.fastp,3,4,13
trimmed,SRR35329996_1,2,4,10
trimmed,SRR35329996_1.fastp,2,4,10
trimmed,SRR35329996_2,3,3,12
trimmed,SRR35329996_2.fastp,3,3,12
