stage	run	read	qc_severity_score
raw	SRR35329977	2	11
raw	SRR35329978	2	11
raw	SRR35329979	2	11
raw	SRR35329982	2	11
raw	SRR35329983	2	11
raw	SRR35329985	2	11
raw	SRR35329986	2	11
raw	SRR35329987	2	11
raw	SRR35329988	2	11
raw	SRR35329989	2	11
raw	SRR35329990	2	11
raw	SRR35329991	2	11
raw	SRR35329992	2	11
raw	SRR35329993	2	11
raw	SRR35329994	2	11
raw	SRR35329995	2	11
raw	SRR35329980	2	10
raw	SRR35329981	1	10
raw	SRR35329981	2	10
raw	SRR35329984	2	10
raw	SRR35329996	2	10
raw	SRR35329978	1	9
raw	SRR35329980	1	9
raw	SRR35329982	1	9
raw	SRR35329983	1	9
raw	SRR35329985	1	9
raw	SRR35329986	1	9
raw	SRR35329987	1	9
raw	SRR35329988	1	9
raw	SRR35329991	1	9
raw	SRR35329992	1	9
raw	SRR35329993	1	9
raw	SRR35329994	1	9
raw	SRR35329996	1	9
raw	SRR35329977	1	8
raw	SRR35329979	1	8
raw	SRR35329984	1	8
raw	SRR35329989	1	8
raw	SRR35329990	1	8
raw	SRR35329995	1	8
