gene_id	symbol	name	summary
ENSMUSG00000026628	Atf3	activating transcription factor 3	
ENSMUSG00000036390	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	
ENSMUSG00000051379	Flrt3	fibronectin leucine rich transmembrane protein 3	
ENSMUSG00000063632	Sox11	SRY (sex determining region Y)-box 11	
ENSMUSG00000052684	Jun	Jun proto-oncogene, AP-1 transcription factor subunit	
ENSMUSG00000073680	Tmem278	transmembrane protein 278	
ENSMUSG00000019647	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	
ENSMUSG00000001473	Tubb6	tubulin, beta 6 class V	
ENSMUSG00000031574	Star	steroidogenic acute regulatory protein	
ENSMUSG00000042816	Gpr151	G protein-coupled receptor 151	
ENSMUSG00000003752	Itpkc	inositol 1,4,5-trisphosphate 3-kinase C	
ENSMUSG00000004951	Hspb1	heat shock protein family B (small) member 1	
ENSMUSG00000039328	Rnf122	ring finger protein 122	
ENSMUSG00000038059	Smim3	small integral membrane protein 3	
ENSMUSG00000028494	Plin2	perilipin 2	
ENSMUSG00000030898	Cckbr	cholecystokinin B receptor	This gene encodes a multipass transmembrane receptor protein expressed in the central nervous system and gastrointestinal tract. Cholecystokinin and gastrin bind to the encoded protein to stimulate gastric acid secretion and mucosal growth in the gastrointestinal tract, and anxiety, pain sensation and memory in the brain. Mice lacking the encoded protein exhibit an increase in the basal gastric pH and gastrin levels in the bloodstream as well as mild hypocalcemia, secondary hyperparathyroidism and increased bone resorption. [provided by RefSeq, Apr 2015].
ENSMUSG00000050164	Mchr1	melanin-concentrating hormone receptor 1	
ENSMUSG00000046223	Plaur	plasminogen activator, urokinase receptor	
ENSMUSG00000030102	Itpr1	inositol 1,4,5-trisphosphate receptor 1	
ENSMUSG00000022044	Stmn4	stathmin-like 4	
ENSMUSG00000037428	Vgf	VGF nerve growth factor inducible	
ENSMUSG00000046731	Kctd11	potassium channel tetramerisation domain containing 11	
ENSMUSG00000056749	Nfil3	nuclear factor, interleukin 3, regulated	The protein encoded by this gene is a transcriptional regulator that binds as a homodimer to activating transcription factor (ATF) sites in many cellular and viral promoters. The encoded protein represses Per1 and Per2 expression and therefore plays a role in the regulation of circadian rhythm. [provided by RefSeq, Feb 2014].
ENSMUSG00000025473	Adam8	a disintegrin and metallopeptidase domain 8	This gene encodes a member of the Adam family of proteins that contain the disintegrin and metalloprotease domains. The encoded protein is localized to the cell surface, where it is involved in the remodeling of extracellular matrix and cell migration. Mice lacking the encoded protein display persistent inflammation upon treatment with allergens. Alternative splicing of this gene results in multiple variants. [provided by RefSeq, Mar 2015].
ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)	
