stage,report_id,srr,read,fail_count,warn_count,severity
raw,SRR34002410_2,SRR34002410,2,3,2,11
raw,SRR34002415_1,SRR34002415,1,3,2,11
raw,SRR34002417_1,SRR34002417,1,3,2,11
raw,SRR34002418_1,SRR34002418,1,3,2,11
raw,SRR34002418_2,SRR34002418,2,3,2,11
raw,SRR34002420_1,SRR34002420,1,3,2,11
raw,SRR34002420_2,SRR34002420,2,3,2,11
raw,SRR34002426_2,SRR34002426,2,3,2,11
raw,SRR34002427_2,SRR34002427,2,3,2,11
raw,SRR34002428_1,SRR34002428,1,3,2,11
raw,SRR34002429_2,SRR34002429,2,3,2,11
raw,SRR34002412_1,SRR34002412,1,3,1,10
raw,SRR34002413_1,SRR34002413,1,3,1,10
raw,SRR34002432_2,SRR34002432,2,3,1,10
raw,SRR34002433_2,SRR34002433,2,3,1,10
raw,SRR34002434_1,SRR34002434,1,3,1,10
raw,SRR34002435_1,SRR34002435,1,3,1,10
raw,SRR34002437_1,SRR34002437,1,3,1,10
raw,SRR34002439_1,SRR34002439,1,3,1,10
raw,SRR34002410_1,SRR34002410,1,2,3,9
raw,SRR34002413_2,SRR34002413,2,2,3,9
raw,SRR34002414_2,SRR34002414,2,2,3,9
raw,SRR34002415_2,SRR34002415,2,2,3,9
raw,SRR34002416_1,SRR34002416,1,2,3,9
raw,SRR34002416_2,SRR34002416,2,2,3,9
raw,SRR34002417_2,SRR34002417,2,2,3,9
raw,SRR34002419_1,SRR34002419,1,2,3,9
raw,SRR34002419_2,SRR34002419,2,2,3,9
raw,SRR34002421_1,SRR34002421,1,2,3,9
raw,SRR34002421_2,SRR34002421,2,2,3,9
raw,SRR34002423_1,SRR34002423,1,2,3,9
raw,SRR34002423_2,SRR34002423,2,2,3,9
raw,SRR34002424_1,SRR34002424,1,2,3,9
raw,SRR34002424_2,SRR34002424,2,2,3,9
raw,SRR34002425_1,SRR34002425,1,2,3,9
raw,SRR34002425_2,SRR34002425,2,2,3,9
raw,SRR34002426_1,SRR34002426,1,2,3,9
raw,SRR34002427_1,SRR34002427,1,2,3,9
raw,SRR34002428_2,SRR34002428,2,2,3,9
raw,SRR34002429_1,SRR34002429,1,2,3,9
raw,SRR34002430_1,SRR34002430,1,2,3,9
raw,SRR34002430_2,SRR34002430,2,2,3,9
raw,SRR34002431_1,SRR34002431,1,2,3,9
raw,SRR34002431_2,SRR34002431,2,2,3,9
raw,SRR34002437_2,SRR34002437,2,2,3,9
raw,SRR34002411_1,SRR34002411,1,2,2,8
raw,SRR34002411_2,SRR34002411,2,2,2,8
raw,SRR34002412_2,SRR34002412,2,2,2,8
raw,SRR34002414_1,SRR34002414,1,2,2,8
raw,SRR34002432_1,SRR34002432,1,2,2,8
raw,SRR34002433_1,SRR34002433,1,2,2,8
raw,SRR34002434_2,SRR34002434,2,2,2,8
raw,SRR34002435_2,SRR34002435,2,2,2,8
raw,SRR34002436_1,SRR34002436,1,2,2,8
raw,SRR34002436_2,SRR34002436,2,2,2,8
raw,SRR34002438_1,SRR34002438,1,2,2,8
raw,SRR34002438_2,SRR34002438,2,2,2,8
raw,SRR34002439_2,SRR34002439,2,2,2,8
raw,SRR34002422_1,SRR34002422,1,1,4,7
raw,SRR34002422_2,SRR34002422,2,1,4,7
