stage,report_id,srr,read,module_key,module,status
raw,SRR34002410_1,SRR34002410,1,basic_statistics,Basic Statistics,pass
raw,SRR34002410_1,SRR34002410,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002410_1,SRR34002410,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002410_1,SRR34002410,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002410_1,SRR34002410,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002410_1,SRR34002410,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002410_1,SRR34002410,1,per_base_n_content,Per base N content,pass
raw,SRR34002410_1,SRR34002410,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002410_1,SRR34002410,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002410_1,SRR34002410,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002410_1,SRR34002410,1,adapter_content,Adapter Content,fail
raw,SRR34002410_2,SRR34002410,2,basic_statistics,Basic Statistics,pass
raw,SRR34002410_2,SRR34002410,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002410_2,SRR34002410,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002410_2,SRR34002410,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002410_2,SRR34002410,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002410_2,SRR34002410,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002410_2,SRR34002410,2,per_base_n_content,Per base N content,pass
raw,SRR34002410_2,SRR34002410,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002410_2,SRR34002410,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002410_2,SRR34002410,2,overrepresented_sequences,Overrepresented sequences,fail
raw,SRR34002410_2,SRR34002410,2,adapter_content,Adapter Content,fail
raw,SRR34002411_1,SRR34002411,1,basic_statistics,Basic Statistics,pass
raw,SRR34002411_1,SRR34002411,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002411_1,SRR34002411,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002411_1,SRR34002411,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002411_1,SRR34002411,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002411_1,SRR34002411,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002411_1,SRR34002411,1,per_base_n_content,Per base N content,pass
raw,SRR34002411_1,SRR34002411,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002411_1,SRR34002411,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002411_1,SRR34002411,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002411_1,SRR34002411,1,adapter_content,Adapter Content,pass
raw,SRR34002411_2,SRR34002411,2,basic_statistics,Basic Statistics,pass
raw,SRR34002411_2,SRR34002411,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002411_2,SRR34002411,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002411_2,SRR34002411,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002411_2,SRR34002411,2,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002411_2,SRR34002411,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002411_2,SRR34002411,2,per_base_n_content,Per base N content,pass
raw,SRR34002411_2,SRR34002411,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002411_2,SRR34002411,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002411_2,SRR34002411,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002411_2,SRR34002411,2,adapter_content,Adapter Content,pass
raw,SRR34002412_1,SRR34002412,1,basic_statistics,Basic Statistics,pass
raw,SRR34002412_1,SRR34002412,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002412_1,SRR34002412,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002412_1,SRR34002412,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002412_1,SRR34002412,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002412_1,SRR34002412,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002412_1,SRR34002412,1,per_base_n_content,Per base N content,pass
raw,SRR34002412_1,SRR34002412,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002412_1,SRR34002412,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002412_1,SRR34002412,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002412_1,SRR34002412,1,adapter_content,Adapter Content,pass
raw,SRR34002412_2,SRR34002412,2,basic_statistics,Basic Statistics,pass
raw,SRR34002412_2,SRR34002412,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002412_2,SRR34002412,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002412_2,SRR34002412,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002412_2,SRR34002412,2,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002412_2,SRR34002412,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002412_2,SRR34002412,2,per_base_n_content,Per base N content,pass
raw,SRR34002412_2,SRR34002412,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002412_2,SRR34002412,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002412_2,SRR34002412,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002412_2,SRR34002412,2,adapter_content,Adapter Content,pass
raw,SRR34002413_1,SRR34002413,1,basic_statistics,Basic Statistics,pass
raw,SRR34002413_1,SRR34002413,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002413_1,SRR34002413,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002413_1,SRR34002413,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002413_1,SRR34002413,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002413_1,SRR34002413,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002413_1,SRR34002413,1,per_base_n_content,Per base N content,pass
raw,SRR34002413_1,SRR34002413,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002413_1,SRR34002413,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002413_1,SRR34002413,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002413_1,SRR34002413,1,adapter_content,Adapter Content,pass
raw,SRR34002413_2,SRR34002413,2,basic_statistics,Basic Statistics,pass
raw,SRR34002413_2,SRR34002413,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002413_2,SRR34002413,2,per_tile_sequence_quality,Per tile sequence quality,warn
raw,SRR34002413_2,SRR34002413,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002413_2,SRR34002413,2,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002413_2,SRR34002413,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002413_2,SRR34002413,2,per_base_n_content,Per base N content,pass
raw,SRR34002413_2,SRR34002413,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002413_2,SRR34002413,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002413_2,SRR34002413,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002413_2,SRR34002413,2,adapter_content,Adapter Content,pass
raw,SRR34002414_1,SRR34002414,1,basic_statistics,Basic Statistics,pass
raw,SRR34002414_1,SRR34002414,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002414_1,SRR34002414,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002414_1,SRR34002414,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002414_1,SRR34002414,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002414_1,SRR34002414,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002414_1,SRR34002414,1,per_base_n_content,Per base N content,pass
