stage,report_id,srr,read,fail_count,warn_count,severity
raw,SRR34002410_2,SRR34002410,2,3,2,11
raw,SRR34002415_1,SRR34002415,1,3,2,11
raw,SRR34002417_1,SRR34002417,1,3,2,11
raw,SRR34002418_1,SRR34002418,1,3,2,11
raw,SRR34002418_2,SRR34002418,2,3,2,11
raw,SRR34002420_1,SRR34002420,1,3,2,11
raw,SRR34002420_2,SRR34002420,2,3,2,11
raw,SRR34002426_2,SRR34002426,2,3,2,11
raw,SRR34002427_2,SRR34002427,2,3,2,11
raw,SRR34002428_1,SRR34002428,1,3,2,11
raw,SRR34002429_2,SRR34002429,2,3,2,11
raw,SRR34002412_1,SRR34002412,1,3,1,10
raw,SRR34002413_1,SRR34002413,1,3,1,10
raw,SRR34002432_2,SRR34002432,2,3,1,10
raw,SRR34002433_2,SRR34002433,2,3,1,10
raw,SRR34002434_1,SRR34002434,1,3,1,10
raw,SRR34002435_1,SRR34002435,1,3,1,10
raw,SRR34002437_1,SRR34002437,1,3,1,10
raw,SRR34002439_1,SRR34002439,1,3,1,10
raw,SRR34002410_1,SRR34002410,1,2,3,9
raw,SRR34002413_2,SRR34002413,2,2,3,9
raw,SRR34002414_2,SRR34002414,2,2,3,9
raw,SRR34002415_2,SRR34002415,2,2,3,9
raw,SRR34002416_1,SRR34002416,1,2,3,9
raw,SRR34002416_2,SRR34002416,2,2,3,9
raw,SRR34002417_2,SRR34002417,2,2,3,9
raw,SRR34002419_1,SRR34002419,1,2,3,9
raw,SRR34002419_2,SRR34002419,2,2,3,9
raw,SRR34002421_1,SRR34002421,1,2,3,9
raw,SRR34002421_2,SRR34002421,2,2,3,9
