stage,run,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
raw,GSM794483_C1_R1_1,GSM794483_C1_R1_1.fq,Conventional base calls,Illumina 1.5,11607353,0,75,51,9.0,9.0,0.0018867350721564168,,GSM794483_C1_R1,1
raw,GSM794483_C1_R1_2,GSM794483_C1_R1_2.fq.gz,Conventional base calls,Illumina 1.5,11607353,0,75,51,9.0,9.0,0.0020762701022360567,,GSM794483_C1_R1,2
raw,GSM794484_C1_R2_1,GSM794484_C1_R2_1.fq.gz,Conventional base calls,Illumina 1.5,11607291,0,75,51,9.0,9.0,0.0019556673473595174,,GSM794484_C1_R2,1
raw,GSM794484_C1_R2_2,GSM794484_C1_R2_2.fq.gz,Conventional base calls,Illumina 1.5,11607291,0,75,51,9.0,9.0,0.0018522840514638601,,GSM794484_C1_R2,2
raw,GSM794485_C1_R3_1,GSM794485_C1_R3_1.fq.gz,Conventional base calls,Illumina 1.5,11607337,0,75,51,9.0,9.0,0.0019039681539357392,,GSM794485_C1_R3,1
raw,GSM794485_C1_R3_2,GSM794485_C1_R3_2.fq.gz,Conventional base calls,Illumina 1.5,11607337,0,75,51,9.0,9.0,0.0020418120021844805,,GSM794485_C1_R3,2
raw,GSM794486_C2_R1_1,GSM794486_C2_R1_1.fq.gz,Conventional base calls,Illumina 1.5,11607325,0,75,51,9.0,9.0,0.002317502094582516,,GSM794486_C2_R1,1
raw,GSM794486_C2_R1_2,GSM794486_C2_R1_2.fq.gz,Conventional base calls,Illumina 1.5,11607325,0,75,51,9.0,9.0,0.0022399648497823574,,GSM794486_C2_R1,2
raw,GSM794487_C2_R2_1,GSM794487_C2_R2_1.fq.gz,Conventional base calls,Illumina 1.5,11607377,0,75,51,9.0,9.0,0.002214109182462153,,GSM794487_C2_R2,1
raw,GSM794487_C2_R2_2,GSM794487_C2_R2_2.fq.gz,Conventional base calls,Illumina 1.5,11607377,0,75,51,9.0,9.0,0.002386413398996173,,GSM794487_C2_R2,2
raw,GSM794488_C2_R3_1,GSM794488_C2_R3_1.fq.gz,Conventional base calls,Illumina 1.5,11607313,0,75,51,9.0,9.0,0.00225719768218536,,GSM794488_C2_R3,1
raw,GSM794488_C2_R3_2,GSM794488_C2_R3_2.fq.gz,Conventional base calls,Illumina 1.5,11607313,0,75,51,9.0,9.0,0.002481194398738106,,GSM794488_C2_R3,2
raw,SRR34002411_1,SRR34002411_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,115735928,0,151,45,25.0,34.322364801878976,0.9717397349593982,,SRR34002411,1
raw,SRR34002411_2,SRR34002411_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,115735928,0,151,47,11.0,32.61181193017262,1.088799322540534,,SRR34002411,2
raw,SRR34002413_1,SRR34002413_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,107593069,0,151,45,25.0,34.29795742233173,0.620444240697326,,SRR34002413,1
raw,SRR34002413_2,SRR34002413_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,107593069,0,151,47,11.0,32.83195284633065,0.6878751641520701,,SRR34002413,2
raw,SRR34002414_1,SRR34002414_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,137016495,0,151,45,25.0,34.29384172686653,1.6920612368605692,,SRR34002414,1
raw,SRR34002414_2,SRR34002414_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,137016495,0,151,47,11.0,32.83085017245551,1.9213650152122195,,SRR34002414,2
raw,SRR34002416_1,SRR34002416_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,54663832,0,151,44,24.0,36.424264722239016,13.173324548487564,,SRR34002416,1
raw,SRR34002416_2,SRR34002416_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,54663832,0,151,44,24.0,35.74144965724321,13.219217781878154,,SRR34002416,2
raw,SRR34002417_1,SRR34002417_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53229525,0,151,46,24.0,36.72938690510577,11.969349717097796,,SRR34002417,1
raw,SRR34002417_2,SRR34002417_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53229525,0,151,46,24.0,36.12931251030325,12.013067935511353,,SRR34002417,2
raw,SRR34002418_1,SRR34002418_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,64751108,0,151,46,24.0,36.25514845244038,15.948150261768493,,SRR34002418,1
raw,SRR34002418_2,SRR34002418_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,64751108,0,151,46,24.0,35.69024387196586,15.893090200093564,,SRR34002418,2
raw,SRR34002420_1,SRR34002420_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,84304246,0,151,46,24.0,36.6446862000284,14.564076642118359,,SRR34002420,1
raw,SRR34002420_2,SRR34002420_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,84304246,0,151,46,24.0,35.88324451060271,14.533582329886444,,SRR34002420,2
raw,SRR34002421_1,SRR34002421_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,79439623,0,151,45,24.0,36.56417817466229,10.098118164533586,,SRR34002421,1
raw,SRR34002421_2,SRR34002421_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,79439623,0,151,45,24.0,36.24000444337456,10.069524121482802,,SRR34002421,2
raw,SRR34002423_1,SRR34002423_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52933534,0,151,46,24.0,36.76853425278577,9.356730272344937,,SRR34002423,1
raw,SRR34002423_2,SRR34002423_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,52933534,0,151,46,24.0,36.14796940442329,9.323917424444021,,SRR34002423,2
raw,SRR34002424_1,SRR34002424_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58952686,0,151,46,24.0,36.35172857094247,16.575427962688586,,SRR34002424,1
raw,SRR34002424_2,SRR34002424_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58952686,0,151,47,16.5,35.56454701656851,16.56129289851187,,SRR34002424,2
raw,SRR34002426_1,SRR34002426_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53393784,0,151,46,24.0,36.399884020207296,14.798078368073707,,SRR34002426,1
raw,SRR34002426_2,SRR34002426_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,53393784,0,151,46,24.0,35.692686305956514,14.721532004549443,,SRR34002426,2
raw,SRR34002427_1,SRR34002427_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50911670,0,151,46,24.0,36.26394675326895,14.471446330477866,,SRR34002427,1
raw,SRR34002427_2,SRR34002427_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50911670,0,151,46,24.0,35.81382131051682,14.496878613488812,,SRR34002427,2
raw,SRR34002429_1,SRR34002429_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57087438,0,151,44,24.0,36.42683030371761,11.395834579229147,,SRR34002429,1
raw,SRR34002429_2,SRR34002429_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57087438,0,151,44,24.0,35.920079860651654,11.325915519277638,,SRR34002429,2
raw,SRR34002430_1,SRR34002430_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58525250,0,151,44,24.0,36.39082395205489,11.828036616674,,SRR34002430,1
raw,SRR34002430_2,SRR34002430_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58525250,0,151,45,24.0,35.98677900564286,11.800918407012357,,SRR34002430,2
raw,SRR34002432_1,SRR34002432_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,106737543,0,151,41,25.0,34.01768934291471,0.9507648119649896,,SRR34002432,1
raw,SRR34002432_2,SRR34002432_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,106737543,0,151,43,11.0,32.52978785543152,1.0529144370505137,,SRR34002432,2
raw,SRR34002433_1,SRR34002433_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,113034961,0,151,40,25.0,33.98601329636412,1.0600720249728754,,SRR34002433,1
raw,SRR34002433_2,SRR34002433_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,113034961,0,151,42,11.0,32.392206814668604,1.154080992693933,,SRR34002433,2
raw,SRR34002435_1,SRR34002435_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,116320632,0,151,45,25.0,34.383580214729236,1.1841682565823748,,SRR34002435,1
raw,SRR34002435_2,SRR34002435_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,116320632,0,151,47,18.0,32.928795864864284,1.3200426902769924,,SRR34002435,2
raw,SRR34002436_1,SRR34002436_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,100363463,0,151,46,25.0,34.41559759650781,1.502609570177944,,SRR34002436,1
raw,SRR34002436_2,SRR34002436_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,100363463,0,151,48,11.0,32.87124578891822,1.663938200299047,,SRR34002436,2
raw,SRR34002437_1,SRR34002437_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,173268353,0,151,45,25.0,34.333132109820426,1.2482285209925208,,SRR34002437,1
raw,SRR34002437_2,SRR34002437_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,173268353,0,151,47,18.0,32.99727741106883,1.4263822314972892,,SRR34002437,2
raw,SRR34002438_1,SRR34002438_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,93539497,0,151,45,25.0,34.36896627207649,0.5483031408646553,,SRR34002438,1
