stage,run,fail_count,warn_count,severity
raw,SRR34002417_1,3,2,11
raw,SRR34002418_1,3,2,11
raw,SRR34002418_2,3,2,11
raw,SRR34002420_1,3,2,11
raw,SRR34002420_2,3,2,11
raw,SRR34002426_2,3,2,11
raw,SRR34002427_2,3,2,11
raw,SRR34002429_2,3,2,11
raw,SRR34002413_1,3,1,10
raw,SRR34002432_2,3,1,10
raw,SRR34002433_2,3,1,10
raw,SRR34002435_1,3,1,10
raw,SRR34002437_1,3,1,10
raw,SRR34002439_1,3,1,10
raw,GSM794483_C1_R1_1,3,0,9
raw,GSM794483_C1_R1_2,3,0,9
raw,GSM794484_C1_R2_1,3,0,9
raw,GSM794484_C1_R2_2,3,0,9
raw,GSM794485_C1_R3_1,3,0,9
raw,GSM794485_C1_R3_2,3,0,9
raw,GSM794486_C2_R1_1,3,0,9
raw,GSM794486_C2_R1_2,3,0,9
raw,GSM794487_C2_R2_1,3,0,9
raw,GSM794487_C2_R2_2,3,0,9
raw,GSM794488_C2_R3_1,3,0,9
